ampl.tab 3 2
load_area	period	breakpoint_id	breakpoint_mmbtu_per_year	price_dollars_per_mmbtu_surplus_adjusted
AZ_APS_E	2014	1	451147	1.6341
AZ_APS_E	2014	2	712565	2.9186
AZ_APS_E	2014	3	3826572	3.4704
AZ_APS_E	2014	4	3826658	199.7468
AZ_APS_E	2014	5	3842053	271.3456
AZ_APS_E	2014	6	3851995	372.3194
AZ_APS_E	2014	7	3862373	502.7996
AZ_APS_E	2014	8	3870150	563.8718
AZ_APS_E	2014	9	3901032	711.2617
AZ_APS_E	2014	10	0	999999999
AZ_APS_E	2016	1	665208	1.5992
AZ_APS_E	2016	2	3848834	3.3218
AZ_APS_E	2016	3	3874386	407.2946
AZ_APS_E	2016	4	3884763	470.4591
AZ_APS_E	2016	5	3892540	531.8917
AZ_APS_E	2016	6	3923423	680.139
AZ_APS_E	2016	7	0	999999999
AZ_APS_E	2026	1	699348	1.5989
AZ_APS_E	2026	2	3882994	3.337
AZ_APS_E	2026	3	3884020	397.0961
AZ_APS_E	2026	4	3908901	410.917
AZ_APS_E	2026	5	3919278	471.8541
AZ_APS_E	2026	6	3927055	533.8423
AZ_APS_E	2026	7	3957938	683.4113
AZ_APS_E	2026	8	0	999999999
AZ_APS_E	2036	1	699348	1.5989
AZ_APS_E	2036	2	3882994	3.337
AZ_APS_E	2036	3	3884020	397.0961
AZ_APS_E	2036	4	3908901	410.917
AZ_APS_E	2036	5	3919278	471.8541
AZ_APS_E	2036	6	3927055	533.8423
AZ_APS_E	2036	7	3957938	683.4113
AZ_APS_E	2036	8	0	999999999
AZ_APS_E	2046	1	699348	1.5989
AZ_APS_E	2046	2	3882994	3.337
AZ_APS_E	2046	3	3884020	397.0961
AZ_APS_E	2046	4	3908901	410.917
AZ_APS_E	2046	5	3919278	471.8541
AZ_APS_E	2046	6	3927055	533.8423
AZ_APS_E	2046	7	3957938	683.4113
AZ_APS_E	2046	8	0	999999999
AZ_APS_N	2014	1	551193	1.4333
AZ_APS_N	2014	2	1127320	2.5036
AZ_APS_N	2014	3	7636898	3.4255
AZ_APS_N	2014	4	7639749	734.4342
AZ_APS_N	2014	5	7641448	1109.2057
AZ_APS_N	2014	6	7654952	1150.1386
AZ_APS_N	2014	7	7657911	1818.9116
AZ_APS_N	2014	8	7660999	2644.495
AZ_APS_N	2014	9	7663314	3057.8066
AZ_APS_N	2014	10	7672504	4043.0623
AZ_APS_N	2014	11	0	999999999
AZ_APS_N	2016	1	991193	1.5498
AZ_APS_N	2016	2	7646336	3.245
AZ_APS_N	2016	3	7659622	521.3455
AZ_APS_N	2016	4	7667027	2366.8792
AZ_APS_N	2016	5	7670115	2777.6948
AZ_APS_N	2016	6	7672429	3191.4996
AZ_APS_N	2016	7	7681620	4177.9282
AZ_APS_N	2016	8	0	999999999
AZ_APS_N	2026	1	1006061	1.5397
AZ_APS_N	2026	2	7661864	3.2497
AZ_APS_N	2026	3	7682196	236.842
AZ_APS_N	2026	4	7689600	2471.7123
AZ_APS_N	2026	5	7692688	2883.7423
AZ_APS_N	2026	6	7695003	3298.7681
AZ_APS_N	2026	7	7704193	4288.1013
AZ_APS_N	2026	8	0	999999999
AZ_APS_N	2036	1	1006061	1.5397
AZ_APS_N	2036	2	7661864	3.2497
AZ_APS_N	2036	3	7682196	236.842
