ampl.tab 3 1
load_area	period	breakpoint_id	breakpoint_mmbtu_per_year
AZ_APS_E	2012	1	451147
AZ_APS_E	2012	2	702291
AZ_APS_E	2012	3	3816298
AZ_APS_E	2012	4	3831643
AZ_APS_E	2012	5	3841585
AZ_APS_E	2012	6	3851962
AZ_APS_E	2012	7	3859739
AZ_APS_E	2012	8	3890622
AZ_APS_E	2015	1	651929
AZ_APS_E	2015	2	3845638
AZ_APS_E	2015	3	3871799
AZ_APS_E	2015	4	3882177
AZ_APS_E	2015	5	3889953
AZ_APS_E	2015	6	3920836
AZ_APS_E	2025	1	699348
AZ_APS_E	2025	2	3882994
AZ_APS_E	2025	3	3884020
AZ_APS_E	2025	4	3908901
AZ_APS_E	2025	5	3919278
AZ_APS_E	2025	6	3927055
AZ_APS_E	2025	7	3957938
AZ_APS_E	2035	1	699348
AZ_APS_E	2035	2	3882994
AZ_APS_E	2035	3	3884020
AZ_APS_E	2035	4	3908901
AZ_APS_E	2035	5	3919278
AZ_APS_E	2035	6	3927055
AZ_APS_E	2035	7	3957938
AZ_APS_E	2045	1	699348
AZ_APS_E	2045	2	3882994
AZ_APS_E	2045	3	3884020
AZ_APS_E	2045	4	3908901
AZ_APS_E	2045	5	3919278
AZ_APS_E	2045	6	3927055
AZ_APS_E	2045	7	3957938
AZ_APS_N	2012	1	788674
AZ_APS_N	2012	2	7630543
AZ_APS_N	2012	3	7633393
AZ_APS_N	2012	4	7641445
AZ_APS_N	2012	5	7645891
AZ_APS_N	2012	6	7648849
AZ_APS_N	2012	7	7651938
AZ_APS_N	2012	8	7654252
AZ_APS_N	2012	9	7663443
AZ_APS_N	2015	1	964840
AZ_APS_N	2015	2	7645517
AZ_APS_N	2015	3	7670881
AZ_APS_N	2015	4	7678285
AZ_APS_N	2015	5	7681374
AZ_APS_N	2015	6	7683688
AZ_APS_N	2015	7	7692879
AZ_APS_N	2025	1	1006061
AZ_APS_N	2025	2	7661864
AZ_APS_N	2025	3	7682196
AZ_APS_N	2025	4	7689600
AZ_APS_N	2025	5	7692688
AZ_APS_N	2025	6	7695003
AZ_APS_N	2025	7	7704193
AZ_APS_N	2035	1	1006061
AZ_APS_N	2035	2	7661864
AZ_APS_N	2035	3	7682196
AZ_APS_N	2035	4	7689600
AZ_APS_N	2035	5	7692688
AZ_APS_N	2035	6	7695003
AZ_APS_N	2035	7	7704193
AZ_APS_N	2045	1	1006061
AZ_APS_N	2045	2	7661864
AZ_APS_N	2045	3	7682196
AZ_APS_N	2045	4	7689600
AZ_APS_N	2045	5	7692688
AZ_APS_N	2045	6	7695003
AZ_APS_N	2045	7	7704193
AZ_APS_SW	2012	1	338554
AZ_APS_SW	2012	2	4221517
AZ_APS_SW	2012	3	5381357
AZ_APS_SW	2012	4	5437660
AZ_APS_SW	2012	5	6365810
AZ_APS_SW	2012	6	6596058
AZ_APS_SW	2015	1	3901
AZ_APS_SW	2015	2	338554
AZ_APS_SW	2015	3	3357601
AZ_APS_SW	2015	4	5172170
AZ_APS_SW	2015	5	5438493
AZ_APS_SW	2015	6	5560638
AZ_APS_SW	2015	7	5565377
AZ_APS_SW	2015	8	5769510
AZ_APS_SW	2015	9	6808488
AZ_APS_SW	2015	10	7237947
AZ_APS_SW	2015	11	7600587
AZ_APS_SW	2025	1	3901
AZ_APS_SW	2025	2	5017556
AZ_APS_SW	2025	3	5875831
AZ_APS_SW	2025	4	6154823
AZ_APS_SW	2025	5	6276968
AZ_APS_SW	2025	6	6281707
AZ_APS_SW	2025	7	6620194
AZ_APS_SW	2025	8	7835362
AZ_APS_SW	2025	9	8416736
AZ_APS_SW	2035	1	3901
AZ_APS_SW	2035	2	5017556
AZ_APS_SW	2035	3	5875831
AZ_APS_SW	2035	4	6154823
AZ_APS_SW	2035	5	6276968
AZ_APS_SW	2035	6	6281707
AZ_APS_SW	2035	7	6620194
AZ_APS_SW	2035	8	7835362
AZ_APS_SW	2035	9	8416736
AZ_APS_SW	2045	1	3901
AZ_APS_SW	2045	2	5017556
AZ_APS_SW	2045	3	5875831
AZ_APS_SW	2045	4	6154823
AZ_APS_SW	2045	5	6276968
AZ_APS_SW	2045	6	6281707
AZ_APS_SW	2045	7	6620194
AZ_APS_SW	2045	8	7835362
AZ_APS_SW	2045	9	8416736
AZ_NM_N	2012	1	785982
AZ_NM_N	2012	2	6647026
AZ_NM_N	2012	3	6677038
AZ_NM_N	2012	4	6688930
AZ_NM_N	2012	5	6697134
AZ_NM_N	2012	6	6729718
AZ_NM_N	2015	1	1120720
AZ_NM_N	2015	2	6685451
AZ_NM_N	2015	3	6715463
AZ_NM_N	2015	4	6727355
AZ_NM_N	2015	5	6735559
AZ_NM_N	2015	6	6768143
AZ_NM_N	2025	1	1202824
AZ_NM_N	2025	2	6728981
AZ_NM_N	2025	3	6758993
