ampl.tab 3 1
load_area	period	breakpoint_id	price_dollars_per_mmbtu_surplus_adjusted
AZ_APS_E	2015	1	1.8308
AZ_APS_E	2015	2	3.6451
AZ_APS_E	2015	3	4.396
AZ_APS_E	2015	4	580.6591
AZ_APS_E	2015	5	592.7262
AZ_APS_E	2015	6	1021.6472
AZ_APS_E	2015	7	1332.555
AZ_APS_E	2015	8	1715.348
AZ_APS_E	2015	9	999999999
AZ_APS_E	2025	1	1.864
AZ_APS_E	2025	2	3.8482
AZ_APS_E	2025	3	4.4504
AZ_APS_E	2025	4	4.7604
AZ_APS_E	2025	5	565.1593
AZ_APS_E	2025	6	1213.9689
AZ_APS_E	2025	7	1248.813
AZ_APS_E	2025	8	1634.5481
AZ_APS_E	2025	9	999999999
AZ_APS_E	2035	1	1.864
AZ_APS_E	2035	2	3.8482
AZ_APS_E	2035	3	4.4504
AZ_APS_E	2035	4	4.7604
AZ_APS_E	2035	5	565.1593
AZ_APS_E	2035	6	1213.9689
AZ_APS_E	2035	7	1248.813
AZ_APS_E	2035	8	1634.5481
AZ_APS_E	2035	9	999999999
AZ_APS_E	2045	1	1.864
AZ_APS_E	2045	2	3.8482
AZ_APS_E	2045	3	4.4504
AZ_APS_E	2045	4	4.7604
AZ_APS_E	2045	5	565.1593
AZ_APS_E	2045	6	1213.9689
AZ_APS_E	2045	7	1248.813
AZ_APS_E	2045	8	1634.5481
AZ_APS_E	2045	9	999999999
AZ_APS_N	2015	1	1.7017
AZ_APS_N	2015	2	4.1536
AZ_APS_N	2015	3	4.2652
AZ_APS_N	2015	4	291.568
AZ_APS_N	2015	5	554.6009
AZ_APS_N	2015	6	781.3061
AZ_APS_N	2015	7	1759.8356
AZ_APS_N	2015	8	3368.3485
AZ_APS_N	2015	9	4495.2281
AZ_APS_N	2015	10	5881.44
AZ_APS_N	2015	11	999999999
AZ_APS_N	2025	1	1.7342
AZ_APS_N	2025	2	4.1609
AZ_APS_N	2025	3	4.2994
AZ_APS_N	2025	4	318.0962
AZ_APS_N	2025	5	1862.6814
AZ_APS_N	2025	6	3481.2377
AZ_APS_N	2025	7	4615.1428
AZ_APS_N	2025	8	6009.994
AZ_APS_N	2025	9	999999999
AZ_APS_N	2035	1	1.7342
AZ_APS_N	2035	2	4.1609
AZ_APS_N	2035	3	4.2994
AZ_APS_N	2035	4	318.0962
AZ_APS_N	2035	5	1862.6814
AZ_APS_N	2035	6	3481.2377
AZ_APS_N	2035	7	4615.1428
AZ_APS_N	2035	8	6009.994
AZ_APS_N	2035	9	999999999
AZ_APS_N	2045	1	1.7342
AZ_APS_N	2045	2	4.1609
AZ_APS_N	2045	3	4.2994
AZ_APS_N	2045	4	318.0962
AZ_APS_N	2045	5	1862.6814
AZ_APS_N	2045	6	3481.2377
AZ_APS_N	2045	7	4615.1428
AZ_APS_N	2045	8	6009.994
AZ_APS_N	2045	9	999999999
AZ_APS_SW	2015	1	1.4348
AZ_APS_SW	2015	2	1.911
AZ_APS_SW	2015	3	2.5091
AZ_APS_SW	2015	4	12.0867
AZ_APS_SW	2015	5	13.8792
AZ_APS_SW	2015	6	14.9148
AZ_APS_SW	2015	7	30.0792
AZ_APS_SW	2015	8	999999999
AZ_APS_SW	2025	1	1.428
AZ_APS_SW	2025	2	1.8843
AZ_APS_SW	2025	3	2.5166
AZ_APS_SW	2025	4	6.4221
AZ_APS_SW	2025	5	12.6394
AZ_APS_SW	2025	6	13.4516
AZ_APS_SW	2025	7	13.9543
AZ_APS_SW	2025	8	27.8413
AZ_APS_SW	2025	9	999999999
AZ_APS_SW	2035	1	1.428
AZ_APS_SW	2035	2	1.8843
AZ_APS_SW	2035	3	2.5166
AZ_APS_SW	2035	4	6.4221
AZ_APS_SW	2035	5	12.6394
AZ_APS_SW	2035	6	13.4516
AZ_APS_SW	2035	7	13.9543
AZ_APS_SW	2035	8	27.8413
AZ_APS_SW	2035	9	999999999
AZ_APS_SW	2045	1	1.428
AZ_APS_SW	2045	2	1.8843
AZ_APS_SW	2045	3	2.5166
AZ_APS_SW	2045	4	6.4221
AZ_APS_SW	2045	5	12.6394
AZ_APS_SW	2045	6	13.4516
AZ_APS_SW	2045	7	13.9543
AZ_APS_SW	2045	8	27.8413
AZ_APS_SW	2045	9	999999999
AZ_NM_N	2015	1	1.7188
AZ_NM_N	2015	2	3.6836
AZ_NM_N	2015	3	4.302
AZ_NM_N	2015	4	485.0275
AZ_NM_N	2015	5	867.1815
AZ_NM_N	2015	6	1287.0633
AZ_NM_N	2015	7	1587.9567
AZ_NM_N	2015	8	999999999
AZ_NM_N	2025	1	1.8404
AZ_NM_N	2025	2	3.7605
AZ_NM_N	2025	3	4.4176
AZ_NM_N	2025	4	508.2558
AZ_NM_N	2025	5	909.243
AZ_NM_N	2025	6	1349.7554
AZ_NM_N	2025	7	1665.3427
AZ_NM_N	2025	8	999999999
AZ_NM_N	2035	1	1.8404
AZ_NM_N	2035	2	3.7605
AZ_NM_N	2035	3	4.4176
AZ_NM_N	2035	4	508.2558
AZ_NM_N	2035	5	909.243
AZ_NM_N	2035	6	1349.7554
AZ_NM_N	2035	7	1665.3427
AZ_NM_N	2035	8	999999999
AZ_NM_N	2045	1	1.8404
AZ_NM_N	2045	2	3.7605
AZ_NM_N	2045	3	4.4176
AZ_NM_N	2045	4	508.2558
AZ_NM_N	2045	5	909.243
AZ_NM_N	2045	6	1349.7554
AZ_NM_N	2045	7	1665.3427
AZ_NM_N	2045	8	999999999
AZ_NW	2015	1	1.3323
AZ_NW	2015	2	1.8364
AZ_NW	2015	3	2.8458
AZ_NW	2015	4	3.4931
AZ_NW	2015	5	4.0347
AZ_NW	2015	6	4.0695
AZ_NW	2015	7	4.1063
AZ_NW	2015	8	4.1472
AZ_NW	2015	9	999999999
AZ_NW	2025	1	1.3323
AZ_NW	2025	2	1.8378
AZ_NW	2025	3	2.7485
AZ_NW	2025	4	3.4464
AZ_NW	2025	5	4.0368
AZ_NW	2025	6	4.0756
AZ_NW	2025	7	4.1154
AZ_NW	2025	8	4.158
AZ_NW	2025	9	999999999
AZ_NW	2035	1	1.3323
AZ_NW	2035	2	1.8378
AZ_NW	2035	3	2.7485
AZ_NW	2035	4	3.4464
AZ_NW	2035	5	4.0368
AZ_NW	2035	6	4.0756
AZ_NW	2035	7	4.1154
AZ_NW	2035	8	4.158
AZ_NW	2035	9	999999999
AZ_NW	2045	1	1.3323
AZ_NW	2045	2	1.8378
AZ_NW	2045	3	2.7485
AZ_NW	2045	4	3.4464
AZ_NW	2045	5	4.0368
AZ_NW	2045	6	4.0756
AZ_NW	2045	7	4.1154
AZ_NW	2045	8	4.158
AZ_NW	2045	9	999999999
AZ_PHX	2015	1	1.5825
AZ_PHX	2015	2	1.985
AZ_PHX	2015	3	8.8832
AZ_PHX	2015	4	10.5604
AZ_PHX	2015	5	30.2242
AZ_PHX	2015	6	43.1452
AZ_PHX	2015	7	65.6918
AZ_PHX	2015	8	999999999
AZ_PHX	2025	1	1.5825
AZ_PHX	2025	2	1.9772
AZ_PHX	2025	3	9.2068
AZ_PHX	2025	4	25.2536
AZ_PHX	2025	5	39.1405
AZ_PHX	2025	6	53.1548
AZ_PHX	2025	7	999999999
AZ_PHX	2035	1	1.5825
AZ_PHX	2035	2	1.9772
AZ_PHX	2035	3	9.2068
AZ_PHX	2035	4	25.2536
AZ_PHX	2035	5	39.1405
AZ_PHX	2035	6	53.1548
AZ_PHX	2035	7	999999999
