ampl.tab 1 1
year	carbon_emissions_relative_to_base
2016	1.10667
2017	1.08
2018	1.05333
2019	1.02667
2020	1
2021	0.973333
2022	0.946667
2023	0.92
2024	0.893333
2025	0.866667
2026	0.84
2027	0.813333
2028	0.786667
2029	0.76
2030	0.733333
2031	0.706667
2032	0.68
2033	0.653333
2034	0.626667
2035	0.6
2036	0.573333
2037	0.546667
2038	0.52
2039	0.493333
2040	0.466667
2041	0.44
2042	0.413333
2043	0.386667
2044	0.36
2045	0.333333
2046	0.306667
2047	0.28
2048	0.253333
2049	0.226667
2050	0.2
2051	0.173333
2052	0.146667
2053	0.12
2054	0.0933333
2055	0.0666667
2056	0.04
