ampl.tab 4 1
project_id	la_id	technology	hour	capacity_factor
SIC1	S7	Hydro_RoR_EP	2016010800	0
SIC10	S4	Hydro_RoR_EP	2016010800	0.909091
SIC11	S4	Hydro_RoR_EP	2016010800	1
SIC12	S4	Hydro_RoR_EP	2016010800	0.419355
SIC13	S4	Hydro_RoR_EP	2016010800	0.947368
SIC14	S4	Hydro_RoR_EP	2016010800	0
SIC15	S4	Hydro_RoR_EP	2016010800	1
SIC16	S8	Hydro_RoR_EP	2016010800	1.01124
SIC17	S8	Hydro_RoR_EP	2016010800	0.540541
SIC18	S11	Hydro_RoR_EP	2016010800	0.975
SIC19	S1	Hydro_RoR_EP	2016010800	0.459641
SIC2	S3	Hydro_RoR_EP	2016010800	0.790909
SIC20	S18	Hydro_RoR_EP	2016010800	0.291829
SIC21	S18	Hydro_RoR_EP	2016010800	0.735294
SIC22	S18	Hydro_RoR_EP	2016010800	0.545455
SIC23	S1	Hydro_RoR_EP	2016010800	0
SIC24	S1	Hydro_RoR_EP	2016010800	0.34
SIC25	S3	Hydro_RoR_EP	2016010800	0.768627
SIC26	S1	Hydro_RoR_EP	2016010800	0.5125
SIC27	S1	Hydro_RoR_EP	2016010800	0.264706
SIC28	S8	Hydro_RoR_EP	2016010800	0.985294
SIC29	S4	Hydro_RoR_EP	2016010800	0.242105
SIC3	S3	Hydro_RoR_EP	2016010800	0.640394
SIC30	S4	Hydro_RoR_EP	2016010800	0
SIC31	S1	Hydro_RoR_EP	2016010800	0.480226
SIC32	S4	Hydro_RoR_EP	2016010800	1
SIC33	S4	Hydro_RoR_EP	2016010800	0.876289
SIC34	S1	Hydro_RoR_EP	2016010800	0.875
SIC35	S3	Hydro_RoR_EP	2016010800	0.712727
SIC36	S7	Hydro_RoR_EP	2016010800	0.373333
SIC37	S8	Hydro_RoR_EP	2016010800	0.555556
SIC38	S4	Hydro_RoR_EP	2016010800	1.01852
SIC39	S8	Hydro_RoR_EP	2016010800	1.05789
SIC4	S3	Hydro_RoR_EP	2016010800	0.687075
SIC40	S1	Hydro_RoR_EP	2016010800	0.632653
SIC41	S18	Hydro_RoR_EP	2016010800	0.636364
SIC42	S1	Hydro_RoR_EP	2016010800	0.622
SIC43	S7	Hydro_RoR_EP	2016010800	0.244898
SIC44	S1	Hydro_RoR_EP	2016010800	0.285714
SIC45	S4	Hydro_RoR_EP	2016010800	0.655738
SIC46	S4	Hydro_RoR_EP	2016010800	0.42381
SIC47	S8	Hydro_RoR_EP	2016010800	0.599871
SIC48	S3	Hydro_RoR_EP	2016010800	0
SIC49	S3	Hydro_RoR_EP	2016010800	0
SIC5	S3	Hydro_RoR_EP	2016010800	0.788804
SIC50	S4	Hydro_RoR_EP	2016010800	0.775
SIC51	S8	Hydro_RoR_EP	2016010800	0
SIC52	S8	Hydro_RoR_EP	2016010800	0.428571
SIC53	S18	Hydro_RoR_EP	2016010800	0
SIC6	S4	Hydro_RoR_EP	2016010800	0.385965
SIC7	S4	Hydro_RoR_EP	2016010800	0.467742
SIC70	S7	Wind_EP	2016010800	0
SIC71	S7	Wind_EP	2016010800	0.025
SIC72	S10	Wind_EP	2016010800	0.19697
SIC73	S5	Wind_EP	2016010800	0.0565217
SIC74	S7	Wind_EP	2016010800	0.0458333
SIC8	S4	Hydro_RoR_EP	2016010800	0.703371
SIC9	S4	Hydro_RoR_EP	2016010800	0.857143
SIC1	S7	Hydro_RoR_EP	2016010802	0
SIC10	S4	Hydro_RoR_EP	2016010802	0.913636
SIC11	S4	Hydro_RoR_EP	2016010802	1
SIC12	S4	Hydro_RoR_EP	2016010802	0.419355
SIC13	S4	Hydro_RoR_EP	2016010802	0.947368
SIC14	S4	Hydro_RoR_EP	2016010802	0
SIC15	S4	Hydro_RoR_EP	2016010802	1
SIC16	S8	Hydro_RoR_EP	2016010802	1.01124
SIC17	S8	Hydro_RoR_EP	2016010802	0
SIC18	S11	Hydro_RoR_EP	2016010802	0.975
SIC19	S1	Hydro_RoR_EP	2016010802	0.459641
SIC2	S3	Hydro_RoR_EP	2016010802	0.827273
SIC20	S18	Hydro_RoR_EP	2016010802	0.291829
SIC21	S18	Hydro_RoR_EP	2016010802	0.514706
SIC22	S18	Hydro_RoR_EP	2016010802	0.545455
SIC23	S1	Hydro_RoR_EP	2016010802	0
SIC24	S1	Hydro_RoR_EP	2016010802	0.154286
SIC25	S3	Hydro_RoR_EP	2016010802	0.792157
SIC26	S1	Hydro_RoR_EP	2016010802	0.5
SIC27	S1	Hydro_RoR_EP	2016010802	0.264706
SIC28	S8	Hydro_RoR_EP	2016010802	0.985294
SIC29	S4	Hydro_RoR_EP	2016010802	0.242105
SIC3	S3	Hydro_RoR_EP	2016010802	0.619048
SIC30	S4	Hydro_RoR_EP	2016010802	0
SIC31	S1	Hydro_RoR_EP	2016010802	0.480226
SIC32	S4	Hydro_RoR_EP	2016010802	1
SIC33	S4	Hydro_RoR_EP	2016010802	1.08247
SIC34	S1	Hydro_RoR_EP	2016010802	0.875
SIC35	S3	Hydro_RoR_EP	2016010802	0.718182
SIC36	S7	Hydro_RoR_EP	2016010802	0.375
SIC37	S8	Hydro_RoR_EP	2016010802	0.555556
SIC38	S4	Hydro_RoR_EP	2016010802	1.01852
SIC39	S8	Hydro_RoR_EP	2016010802	1.05789
