ampl.tab 3 10
project_id	la_id	technology	plant_name	capacity_mw	heat_rate	cogen_thermal_demand_mmbtus_per_mwh	start_year	overnight_cost	connect_cost_per_mw	fixed_o_m	variable_o_m	ep_location_id
SIC145	S9	Bio_Gas_Internal_Combustion_Engine_EP	Loma_Los_Colorados	2	15.35	0	2011	2579045	99048.565	0	0	0
SIC146	S9	Bio_Gas_Internal_Combustion_Engine_EP	Loma_Los_Colorados_II	9.8	15.35	0	2011	2579045	99048.565	0	16.95	0
SIC107	S1	Bio_Liquid_Steam_Turbine_Cogen_EP	Valdivia	61	58.9	0	2011	2487604.562415	99048.565	0	0	0
SIC157	S1	Bio_Liquid_Steam_Turbine_Cogen_EP	Cholguan	13	104.52	0	2011	2487604.562415	99048.565	0	0	0
SIC159	S1	Bio_Liquid_Steam_Turbine_Cogen_EP	Nueva_Aldea_3	49	50.53	0	2011	2487604.562415	99048.565	0	0	0
SIC87	S10	Bio_Liquid_Steam_Turbine_Cogen_EP	Arauco	30.1	77.56	0	2011	2487604.562415	99048.565	0	0	0
SIC88	S14	Bio_Liquid_Steam_Turbine_Cogen_EP	Constitucion_A.	8	87.28	0	2011	2487604.562415	99048.565	0	0	0
SIC156	S8	Bio_Liquid_Steam_Turbine_Cogen_EP	Licanten	4	123.59	0	2011	2487604.562415	99048.565	0	0	0
SIC166	S1	Bio_Solid_Steam_Turbine_Cogen_EP	Cabrero	11.1	51.84	0	2011	2487604.562415	99048.565	0	2.76	0
SIC158	S1	Bio_Solid_Steam_Turbine_EP	Nueva_Aldea	14	36.77	0	2011	3316806.08322	99048.565	0	0	0
SIC160	S1	Bio_Solid_Steam_Turbine_EP	Laja	12.7	61.84	0	2011	3316806.08322	99048.565	0	0	0
SIC163	S1	Bio_Solid_Steam_Turbine_EP	Lautaro-Comasa	25	50.53	0	2011	3316806.08322	99048.565	0	8.5	0
