ampl.tab 2 1
year	technology	forced_intermittent_capacity
2011	Central_PV	0
2012	Central_PV	0
2013	Central_PV	0
2014	Central_PV	0
2015	Central_PV	0
2016	Central_PV	0
2017	Central_PV	0
2018	Central_PV	0
2019	Central_PV	0
2020	Central_PV	506
2021	Central_PV	1453
2022	Central_PV	2400
2023	Central_PV	3561
2024	Central_PV	4721
2025	Central_PV	5270
2026	Central_PV	5819
2027	Central_PV	6454
2028	Central_PV	7089
2029	Central_PV	8044
2030	Central_PV	9000
2031	Central_PV	9000
2032	Central_PV	9000
2011	Wind	0
2012	Wind	0
2013	Wind	0
2014	Wind	504
2015	Wind	1768
2016	Wind	3031
2017	Wind	3460
2018	Wind	3889
2019	Wind	4413
2020	Wind	4936
2021	Wind	5112
2022	Wind	5288
2023	Wind	5588
2024	Wind	5888
2025	Wind	6488
2026	Wind	7088
2027	Wind	7088
2028	Wind	7088
2029	Wind	8276
2030	Wind	9464
2031	Wind	9464
2032	Wind	9464
2011	Wind_EP	0
2012	Wind_EP	0
2013	Wind_EP	0
2014	Wind_EP	179
2015	Wind_EP	179
2016	Wind_EP	179
2017	Wind_EP	179
2018	Wind_EP	179
2019	Wind_EP	179
2020	Wind_EP	179
2021	Wind_EP	179
2022	Wind_EP	179
2023	Wind_EP	179
2024	Wind_EP	179
2025	Wind_EP	179
2026	Wind_EP	179
2027	Wind_EP	179
2028	Wind_EP	179
2029	Wind_EP	179
2030	Wind_EP	179
2031	Wind_EP	179
2032	Wind_EP	179
