ampl.tab 3 1
load_area	fuel	year	fuel_price
AZ_APS_E	Coal	2018	1.46
AZ_APS_N	Coal	2018	1.46
AZ_APS_SW	Coal	2018	1.46
AZ_NM_N	Coal	2018	1.46
AZ_NW	Coal	2018	1.46
AZ_PHX	Coal	2018	1.46
AZ_SE	Coal	2018	1.46
CAN_ALB	Coal	2018	1.46
CAN_BC	Coal	2018	1.46
CA_IID	Coal	2018	1.46
CA_LADWP	Coal	2018	1.62
CA_PGE_BAY	Coal	2018	1.62
CA_PGE_CEN	Coal	2018	1.62
CA_PGE_N	Coal	2018	1.62
CA_PGE_S	Coal	2018	1.62
CA_SCE_CEN	Coal	2018	1.62
CA_SCE_S	Coal	2018	1.62
CA_SCE_SE	Coal	2018	1.62
CA_SCE_VLY	Coal	2018	1.62
CA_SDGE	Coal	2018	1.62
CA_SMUD	Coal	2018	1.62
CO_DEN	Coal	2018	1.46
CO_E	Coal	2018	1.46
CO_NW	Coal	2018	1.46
CO_SW	Coal	2018	1.46
ID_E	Coal	2018	1.46
ID_S_OR_E	Coal	2018	1.46
MEX_BAJA	Coal	2018	1.62
MT_NE	Coal	2018	1.46
MT_NW	Coal	2018	1.46
MT_SE	Coal	2018	0.69
MT_SW	Coal	2018	1.46
NM_N	Coal	2018	1.46
NM_S_TX_EPE	Coal	2018	1.46
NV_N	Coal	2018	1.46
NV_S	Coal	2018	1.46
OR_E	Coal	2018	1.46
OR_PDX	Coal	2018	1.46
OR_W	Coal	2018	1.46
OR_WA_BPA	Coal	2018	1.46
UT_N	Coal	2018	1.46
UT_S	Coal	2018	1.46
WA_ID_AVA	Coal	2018	1.46
WA_N_CEN	Coal	2018	1.46
WA_SEATAC	Coal	2018	1.46
WA_W	Coal	2018	1.46
WY_NE	Coal	2018	0.69
WY_NW	Coal	2018	1.46
WY_SE	Coal	2018	0.69
WY_SW	Coal	2018	1.46
AZ_APS_E	Gas	2018	6.24
AZ_APS_N	Gas	2018	6.24
AZ_APS_SW	Gas	2018	6.24
AZ_NM_N	Gas	2018	6.24
AZ_NW	Gas	2018	6.24
AZ_PHX	Gas	2018	6.24
AZ_SE	Gas	2018	6.24
CAN_ALB	Gas	2018	6.24
CAN_BC	Gas	2018	6.24
CA_IID	Gas	2018	6.24
CA_LADWP	Gas	2018	6.68
CA_PGE_BAY	Gas	2018	6.68
CA_PGE_CEN	Gas	2018	6.68
CA_PGE_N	Gas	2018	6.68
CA_PGE_S	Gas	2018	6.68
CA_SCE_CEN	Gas	2018	6.68
CA_SCE_S	Gas	2018	6.68
CA_SCE_SE	Gas	2018	6.68
CA_SCE_VLY	Gas	2018	6.68
CA_SDGE	Gas	2018	6.68
CA_SMUD	Gas	2018	6.68
CO_DEN	Gas	2018	6.24
CO_E	Gas	2018	6.24
CO_NW	Gas	2018	6.24
CO_SW	Gas	2018	6.24
