ampl.tab 2 1
rps_compliance_entity	rps_fuel_category	qualifies
AZ_APS_E	fossilish	0
AZ_APS_E	renewable	1
AZ_APS	fossilish	0
AZ_APS	renewable	1
AZ_NM_N	fossilish	0
AZ_NM_N	renewable	1
AZ_NW	fossilish	0
AZ_NW	renewable	1
AZ_PHX	fossilish	0
AZ_PHX	renewable	1
AZ_SE	fossilish	0
AZ_SE	renewable	1
CAN_ALB	fossilish	0
CAN_ALB	renewable	1
CAN_BC	fossilish	0
CAN_BC	renewable	1
CA_IID	fossilish	0
CA_IID	renewable	1
CA_LADWP	fossilish	0
CA_LADWP	renewable	1
CA_PGE	fossilish	0
CA_PGE	renewable	1
CA_SCE	fossilish	0
CA_SCE	renewable	1
CA_SDGE	fossilish	0
CA_SDGE	renewable	1
CA_SMUD	fossilish	0
CA_SMUD	renewable	1
CO_PSC	fossilish	0
CO_PSC	renewable	1
CO_E	fossilish	0
CO_E	renewable	1
CO_SW	fossilish	0
CO_SW	renewable	1
ID_E	fossilish	0
ID_E	renewable	1
ID_S_OR_E	fossilish	0
ID_S_OR_E	renewable	1
MEX_BAJA	fossilish	0
MEX_BAJA	renewable	1
MT_NE	fossilish	0
MT_NE	renewable	1
MT_NW	fossilish	0
MT_NW	renewable	1
MT_SE	fossilish	0
MT_SE	renewable	1
MT_SW	fossilish	0
MT_SW	renewable	1
NM_N	fossilish	0
NM_N	renewable	1
NM_S_TX_EPE	fossilish	0
NM_S_TX_EPE	renewable	1
NV_ENERGY	fossilish	0
NV_ENERGY	renewable	1
OR_E	fossilish	0
OR_E	renewable	1
OR_PDX	fossilish	0
OR_PDX	renewable	1
OR_W	fossilish	0
OR_W	renewable	1
OR_WA_BPA	fossilish	0
OR_WA_BPA	renewable	1
UT_PACE	fossilish	0
UT_PACE	renewable	1
WA_ID_AVA	fossilish	0
WA_ID_AVA	renewable	1
WA_N_CEN	fossilish	0
WA_N_CEN	renewable	1
WA_SEATAC	fossilish	0
WA_SEATAC	renewable	1
WA_W	fossilish	0
WA_W	renewable	1
WY_NE	fossilish	0
WY_NE	renewable	1
WY_NW	fossilish	0
WY_NW	renewable	1
WY_SE	fossilish	0
WY_SE	renewable	1
WY_SW	fossilish	0
WY_SW	renewable	1
