ampl.tab 1 32
technology	technology_id	min_online_year	fuel	construction_time_years	year_1_cost_fraction	year_2_cost_fraction	year_3_cost_fraction	year_4_cost_fraction	year_5_cost_fraction	year_6_cost_fraction	max_age_years	forced_outage_rate	scheduled_outage_rate	can_build_new	ccs	intermittent	resource_limited	baseload	flexible_baseload	dispatchable	cogen	min_build_capacity	competes_for_space	storage	storage_efficiency	max_store_rate	max_spinning_reserve_fraction_of_capacity	heat_rate_penalty_spinning_reserve	minimum_loading	deep_cycling_penalty	startup_mmbtu_per_mw	startup_cost_dollars_per_mw
CCGT	1	2010	Gas	2	0.25	0.75	0	0	0	0	20	0.04	0.06	1	0	0	0	0	0	1	0	0	0	0	0	0	0.38	0.33	0.4	0.33	9.16	10.3
Gas_Combustion_Turbine	2	2010	Gas	2	0.25	0.75	0	0	0	0	20	0.03	0.05	1	0	0	0	0	0	1	0	0	0	0	0	0	0.5	0.1	0	0	0.22	0.86
Wind	4	2010	Wind	2	0.05	0.95	0	0	0	0	30	0.05	0.006	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Offshore_Wind	5	2010	Wind	2	0.05	0.95	0	0	0	0	30	0.05	0.006	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Residential_PV	6	2010	Solar	1	1	0	0	0	0	0	20	0	0.02	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSP_Trough_6h_Storage	7	2010	Solar	1	1	0	0	0	0	0	20	0.06	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bio_Gas	8	2010	Bio_Gas	1	1	0	0	0	0	0	20	0.11	0.04	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Biomass_IGCC	10	2010	Bio_Solid	2	0.25	0.75	0	0	0	0	40	0.09	0.076	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Coal_IGCC	11	2010	Coal	2	0.2	0.8	0	0	0	0	40	0.08	0.12	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.4	0.29	0	0
Coal_Steam_Turbine	12	2010	Coal	2	0.2	0.8	0	0	0	0	40	0.06	0.1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.4	0.05	0	0
Nuclear	13	2010	Uranium	6	0.56	0.2	0.14	0.06	0.02	0.02	40	0.04	0.06	1	0	0	0	1	0	0	0	1000	0	0	0	0	0	0	1	0	0	0
Geothermal	14	2010	Geothermal	3	0.2	0.4	0.4	0	0	0	30	0.0075	0.0241	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hydro_NonPumped_EP	15	2000	Water	6	0.1	0.2	0.2	0.2	0.2	0.1	30	0.05	0.019	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydro_Pumped_EP	16	2000	Water	6	0.1	0.2	0.2	0.2	0.2	0.1	30	0.03	0.038	0	0	0	1	0	0	0	0	0	0	1	0.74	1	0	0	0	0	0	0
Gas_Combustion_Turbine_EP	17	2000	Gas	1	1	0	0	0	0	0	20	0.03	0.05	0	0	0	1	0	0	1	0	0	0	0	0	0	0.5	0.1	0	0	0.22	0.86
