ampl.tab 1 8
la_id	la_system	ccs_distance_km	present_day_existing_distribution_cost	present_day_max_coincident_demand_mwh_for_distribution	distribution_new_annual_payment_per_mw	existing_transmission_sunk_annual_payment	bio_gas_capacity_limit_mmbtu_per_hour rps_compliance_entity
S1	SIC	0	76848735.08	680.04	332862.906	67233983.39	2.5	S1
S2	SIC	0	1256575.043	14.99	218397.3377	3049511.518	2.5	S2
S3	SIC	0	22354635.75	131.86	141752.5255	26925911.89	2.5	S3
S4	SIC	0	81744278.3	1656.9	109758.9649	106858123.4	2.5	S4
S5	SIC	0	5163039.958	85.94	190706.5451	15337193.29	2.5	S5
S6	SIC	0	36753857.36	512.29	135934.1317	62220236.58	2.5	S6
S7	SIC	0	11556453.25	150.75	182794.8901	21076583.37	2.5	S7
S8	SIC	0	20624620.04	322.07	178131.2258	35405273.82	2.5	S8
S9	SIC	0	22281046.04	329.63	191745.6064	43631315.95	2.5	S9
S10	SIC	0	25464876.6	313.85	238925.7465	34496483.38	2.5	S10
S11	SIC	0	0	11.38	0	34485743.53	2.5	S11
S12	SIC	0	4980180.388	56.62	218397.3377	6544161.689	2.5	S12
S13	SIC	0	3715843.178	75.53	178839.0626	8137816.01	2.5	S13
S14	SIC	0	2206886.913	16.31	327555.2257	1074703.671	2.5	S14
S15	SIC	0	1164699.458	20.21	123723.3351	13387454.58	2.5	S15
S16	SIC	0	4192671.338	57.39	123723.3351	11108356.42	2.5	S16
S17	SIC	0	528634.0501	11.21	123723.3351	4971658.449	2.5	S17
S18	SIC	0	34215829.09	326.45	280381.4796	38507938.25	2.5	S18
S19	SING	0	11195336.09	111.03	149032.5521	21202442.05	2.5	S19
S20	SING	0	3812781.497	39.24	123723.3351	9033633.355	2.5	S20
S21	SING	0	0	2.66	0	0	2.5	S21
S22	SING	0	8328688.894	83.53	123723.3351	10809109.57	2.5	S22
1	SIC2	0	0	0	0	0	2.5	1
