ampl.tab 1 6
load_area	load_area_id	economic_multiplier	max_coincident_load_for_local_td	local_td_new_annual_payment_per_mw	local_td_sunk_annual_payment	transmission_sunk_annual_payment
AZ_APS_E	1	0.98	390.232	61663.4	3.40086e+07	1.13362e+07
AZ_APS_N	2	0.98	1159.34	61663.4	1.03922e+08	3.46406e+07
AZ_APS_SW	3	0.98	971.558	61663.4	8.86497e+07	2.95499e+07
AZ_NM_N	4	1.001213443	572.991	61663.4	6.05573e+07	2.01858e+07
AZ_NW	5	0.980006683	785.378	61663.4	8.49238e+07	2.83079e+07
AZ_PHX	6	0.98	10664.7	61663.4	9.15406e+08	3.05135e+08
AZ_SE	7	0.98	4605.46	61663.4	4.4892e+08	1.4964e+08
CAN_ALB	8	1.1	10068.7	66406.5	1.33263e+09	5.99685e+08
CAN_BC	9	1.05	11147	66406.5	1.21398e+09	5.4629e+08
CA_IID	10	1.079792875	903.576	61663.4	6.80555e+07	2.26852e+07
CA_LADWP	11	1.07	6577.99	128040	1.38613e+09	2.06445e+08
CA_PGE_BAY	12	1.181918396	8532.45	128040	1.90877e+09	2.84285e+08
CA_PGE_CEN	13	1.104276156	6109.61	128040	1.42265e+09	2.11884e+08
CA_PGE_N	14	1.114566494	5322.57	128040	1.30607e+09	1.94521e+08
CA_PGE_S	15	1.033136689	2058.93	128040	4.99107e+08	7.43351e+07
CA_SCE_CEN	16	1.064457265	3856.2	128040	8.09656e+08	1.20587e+08
CA_SCE_S	17	1.069205594	20003.5	128040	4.20139e+09	6.25738e+08
CA_SCE_SE	18	1.070082813	61.5888	128040	1.28983e+07	1.92103e+06
CA_SCE_VLY	19	0.98	806.697	128040	1.69683e+08	2.5272e+07
CA_SDGE	20	1.074556793	4286.32	128040	9.7607e+08	1.45372e+08
CA_SMUD	21	1.08	3632.56	128040	6.78252e+08	1.01016e+08
CO_DEN	22	1.026858045	7345.15	61663.4	7.46315e+08	2.48772e+08
CO_E	23	1.028995846	3626.45	61663.4	4.28388e+08	1.42796e+08
CO_NW	24	1.029881008	1219.32	61663.4	1.35695e+08	4.52318e+07
CO_SW	25	1.03	1125.73	61663.4	1.31402e+08	4.38007e+07
ID_E	26	0.890376835	1419.52	66406.5	1.59854e+08	7.19344e+07
ID_S_OR_E	27	1.015349634	3317.99	66406.5	3.44947e+08	1.55226e+08
MEX_BAJA	28	0.85	1948.57	61663.4	2.12842e+08	7.09472e+07
MT_NE	29	0.88	431.009	66406.5	5.04808e+07	2.27163e+07
MT_NW	30	0.880006431	725.163	66406.5	8.47916e+07	3.81562e+07
MT_SE	31	0.880360939	432.72	66406.5	5.0754e+07	2.28393e+07
MT_SW	32	0.88	647.301	66406.5	7.583e+07	3.41235e+07
NM_N	33	0.906188416	1371.89	61663.4	1.57469e+08	5.24896e+07
NM_S_TX_EPE	34	0.894855309	1654.89	61663.4	1.77999e+08	5.93329e+07
NV_N	35	0.97386596	1991.65	66406.5	2.18249e+08	9.82123e+07
NV_S	36	0.980111548	6344.69	61663.4	4.9068e+08	1.6356e+08
OR_E	37	1.034293506	763.443	66406.5	8.77629e+07	3.94933e+07
OR_PDX	38	1.04	5017.7	66406.5	5.14813e+08	2.31666e+08
OR_W	39	1.030527169	4386.67	66406.5	4.84981e+08	2.18242e+08
OR_WA_BPA	40	1.03137822	1909.68	66406.5	2.12294e+08	9.55323e+07
UT_N	41	1.027748375	5360.78	66406.5	6.18865e+08	2.78489e+08
UT_S	42	1.000444058	1430.27	66406.5	1.61863e+08	7.28385e+07
WA_ID_AVA	43	1.029988824	2785.57	66406.5	2.88461e+08	1.29807e+08
WA_N_CEN	44	1.062229049	1587.38	66406.5	1.46966e+08	6.61349e+07
WA_SEATAC	45	1.078212873	6826.14	66406.5	6.71636e+08	3.02236e+08
WA_W	46	1.036342077	4170.75	66406.5	4.06866e+08	1.8309e+08
WY_NE	47	0.994533687	904.606	61663.4	1.09951e+08	3.66504e+07
WY_NW	48	0.954090587	288.92	66406.5	3.35615e+07	1.51027e+07
WY_SE	49	1.01	999.236	61663.4	1.21475e+08	4.04917e+07
WY_SW	50	1.015588159	261.933	66406.5	3.05264e+07	1.37369e+07
