ampl.tab 2 1
la_id	period	max_la_demand_mwh
S21	2022	855.282066572907
S19	2022	346.550632478531
S17	2018	203.910435033236
S5	2026	154.110262395339
S17	2011	136.302308846644
S3	2022	658.811275204848
S20	2022	1866.97623174064
S5	2018	112.132612855022
S17	2014	168.52939361573
S4	2011	2016.24296922751
1	2022	0
S22	2014	646.459451275869
S4	2014	2486.71417687804
S9	2014	817.141241511809
S16	2022	841.394042420371
S11	2018	0.943345453603432
S13	2014	243.260833132696
S2	2022	87.5592216036673
S18	2014	381.110815113218
S2	2011	31.0307955374413
S12	2011	36.0135861888275
S13	2022	336.330110505695
1	2014	0
S17	2022	224.322409016496
S5	2022	134.298676566554
S9	2022	1155.11942502636
S21	2011	472.175894551289
S16	2026	1024.91156029497
S19	2014	246.078017221819
S18	2022	541.606282506106
S22	2011	518.555464206593
S20	2011	1033.70530346815
S3	2014	455.081942756201
S20	2018	1628.23130593887
S8	2022	774.278463265912
S6	2018	1584.13357741617
S9	2018	971.466113371562
S19	2011	189.552706956641
S21	2026	973.425135055751
S15	2018	154.198337009026
S7	2022	603.43923274289
S7	2026	725.380203390478
S5	2014	94.4126853947944
S9	2011	605.258812557293
S16	2018	674.387028138273
S14	2026	42.7423125011745
S12	2026	140.140870888529
S7	2018	450.351605737703
S13	2026	381.610027576182
S11	2011	0.50206484739265
S19	2026	395.20841571776
S4	2018	3007.98701399803
S18	2026	619.080974903536
S20	2026	2127.21820690524
S10	2018	808.258145061484
S13	2011	191.779557384379
S13	2018	292.277492821947
S22	2026	983.915008061105
S22	2022	875.65380508086
S15	2011	95.2857897091934
S6	2014	1290.91097267598
S15	2022	176.700735207537
S19	2018	303.604812524206
S12	2022	115.899894983873
S8	2011	426.069679197724
S12	2018	98.8773406767893
S10	2026	1021.49277094664
S17	2026	249.850857220018
S11	2026	1.28558275794405
S22	2018	793.430867363033
S1	2011	583.835133444611
S2	2014	51.3022270493178
S3	2026	743.286628817014
S4	2022	3332.67841202697
S14	2022	36.7130257470533
S1	2018	875.04142995793
S8	2018	684.713023098293
S4	2026	3734.90054626187
S2	2018	75.1305690131437
S14	2011	16.9395679516617
S7	2011	202.435065472824
S18	2018	475.08645130906
S5	2011	76.483420516324
S1	2026	1081.76714762575
S2	2026	104.591022650106
S12	2014	63.8809825983988
1	2011	0
S21	2014	611.726491637075
S9	2026	1327.56524640448
S8	2014	555.409456300231
S3	2018	592.611417132134
S15	2026	202.221372456864
S20	2014	1332.95956247796
S7	2014	378.58536464173
S1	2022	965.138690964093
S16	2014	497.610745116905
S6	2022	1809.1520055469
S3	2011	409.707562025714
S6	2026	2062.69825824542
S10	2022	907.107240546017
S18	2011	289.708026832435
S14	2018	31.6518165409936
S15	2014	121.486753853904
S10	2014	664.875398718092
1	2018	0
S6	2011	975.101268693349
S11	2022	1.10163307804118
1	2026	0
S21	2018	750.68468946575
S16	2011	247.059970369616
S11	2014	0.721387492750535
S8	2026	879.91414447802
S14	2014	24.2024856587983
S1	2014	717.123134718723
S10	2011	546.127487439529
