ampl.tab 2 1
province	period	max_system_load
Guangxi	2025	34955.0120110769
Guangdong	2013	66635.9265519092
Shandong	2013	56758.3059346188
Guizhou	2015	21161.4612715449
Anhui	2013	18303.9867601738
Hubei	2013	22222.1320937242
Chongqing	2015	16838.0034530113
Chongqing	2025	23523.1772919539
Qinghai	2015	10705.0473142607
Ningxia	2015	13384.7623838949
Macau	2025	479.309860393348
Jilin	2025	19138.5753228631
Hainan	2015	4724.03378255115
Jilin	2015	14144.4754191005
Anhui	2025	32938.7844825537
Yunnan	2015	24739.0190191495
Jiangsu	2015	94839.8127222111
Heilongjiang	2025	21040.5650302287
West_Inner_Mongolia	2015	31756.0048715939
Guizhou	2025	29850.3310425731
Guangdong	2015	94494.4886152995
West_Inner_Mongolia	2025	43513.3813426927
Tibet	2015	635.396356717406
East_Inner_Mongolia	2013	7931.4505611849
Shandong	2025	104420.069257724
Zhejiang	2025	80505.215984324
Shaanxi	2025	31874.3604645403
Henan	2013	40599.4034660011
Jiangxi	2015	16423.6145247173
Jiangsu	2013	64115.9417230158
Beijing	2025	17875.4273679446
Taiwan	2025	31742.1919073174
Sichuan	2015	37474.5720820505
Liaoning	2013	28568.8647230713
Hebei	2015	74341.3737359365
Hainan	2025	6473.06499312783
Gansu	2015	18758.00548744
Shanghai	2025	33989.4899606351
Hunan	2013	19234.9529266574
Hebei	2013	47369.1722342582
Guizhou	2013	14142.0254062695
Hubei	2025	46996.7352967927
East_Inner_Mongolia	2015	11906.7752063131
Beijing	2015	16023.0385606998
Chongqing	2013	10512.0988349724
Hong_Kong	2015	5768.90459554978
Liaoning	2025	56115.9728668835
East_Inner_Mongolia	2025	16315.1521171819
Jiangsu	2025	108985.880616938
Hong_Kong	2013	5815.25796039192
Sichuan	2013	25298.5074075828
Tibet	2025	1005.79978186622
Tianjin	2013	10890.5534749175
Liaoning	2015	43497.0245065894
Shanghai	2015	30167.5139798003
Ningxia	2013	9185.03783397313
Fujian	2013	22468.1507756295
Hunan	2015	29684.060230124
Heilongjiang	2015	18509.3721304636
Macau	2015	479.309860393348
Tianjin	2025	20404.4811329598
Gansu	2025	28034.5735173871
Henan	2025	75074.0115499608
Taiwan	2013	31742.1919073174
Tianjin	2015	16575.5571317584
Hainan	2013	2837.51002426519
Shaanxi	2015	21327.2168428625
Hunan	2025	41070.1717779246
Sichuan	2025	50362.6912299796
Yunnan	2025	32607.2085435611
Jiangxi	2025	22723.329103747
Shandong	2015	83181.6708728744
Guangxi	2015	26009.8117325843
Qinghai	2025	13307.5329176112
Jilin	2013	9585.25898335873
Gansu	2013	13220.095581356
Guangxi	2013	17485.2847688145
Tibet	2013	363.202828122173
Hong_Kong	2025	5815.25796039192
Shanxi	2025	50819.83891594
Guangdong	2025	109664.711777929
Xinjiang	2015	19324.337022775
West_Inner_Mongolia	2013	19767.4235185549
Macau	2013	479.309860393348
Jiangxi	2013	11213.3402475987
Qinghai	2013	7520.34240037001
Shaanxi	2013	14246.1068312755
Xinjiang	2025	33322.9763657653
Anhui	2015	27556.8637315484
Ningxia	2025	19434.9845983567
Shanxi	2013	26981.3106078154
Hebei	2025	92414.3769839789
Fujian	2025	42378.3874569706
Taiwan	2015	18938.1352025627
Beijing	2013	12573.4838493283
Henan	2015	62807.548565088
Shanxi	2015	42516.3040429604
Fujian	2015	33758.8846916813
Zhejiang	2013	47288.9453742885
Zhejiang	2015	69368.706596409
Xinjiang	2013	12046.3140373314
Shanghai	2013	20972.9252690253
Yunnan	2013	16925.4424976018
Heilongjiang	2013	12229.701947023
Hubei	2015	33316.8698348344
