ampl.tab 2 1
load_area	period	max_system_load
AZ_APS_E	2011	414.24
AZ_APS_E	2015	431.06
AZ_APS_E	2025	476.16
AZ_APS_E	2035	525.97
AZ_APS_E	2045	581.00
AZ_APS_N	2011	1230.66
AZ_APS_N	2015	1280.63
AZ_APS_N	2025	1414.61
AZ_APS_N	2035	1562.61
AZ_APS_N	2045	1726.10
AZ_APS_SW	2011	1031.33
AZ_APS_SW	2015	1073.20
AZ_APS_SW	2025	1185.49
AZ_APS_SW	2035	1309.51
AZ_APS_SW	2045	1446.52
AZ_NM_N	2011	608.24
AZ_NM_N	2015	632.94
AZ_NM_N	2025	699.16
AZ_NM_N	2035	772.30
AZ_NM_N	2045	853.11
AZ_NW	2011	833.69
AZ_NW	2015	867.55
AZ_NW	2025	958.31
AZ_NW	2035	1058.57
AZ_NW	2045	1169.32
AZ_PHX	2011	11320.77
AZ_PHX	2015	11780.44
AZ_PHX	2025	13012.93
AZ_PHX	2035	14374.37
AZ_PHX	2045	15878.25
AZ_SE	2011	4888.78
AZ_SE	2015	5087.29
AZ_SE	2025	5619.53
AZ_SE	2035	6207.46
AZ_SE	2045	6856.89
CAN_ALB	2011	10688.10
CAN_ALB	2015	11122.08
CAN_ALB	2025	12285.70
CAN_ALB	2035	13571.05
CAN_ALB	2045	14990.89
CAN_BC	2011	11832.79
CAN_BC	2015	12313.25
CAN_BC	2025	13601.49
CAN_BC	2035	15024.50
CAN_BC	2045	16596.40
CA_IID	2011	959.16
CA_IID	2015	998.11
CA_IID	2025	1102.53
CA_IID	2035	1217.88
CA_IID	2045	1345.30
CA_LADWP	2011	6982.67
CA_LADWP	2015	7266.19
CA_LADWP	2025	8026.39
CA_LADWP	2035	8866.13
CA_LADWP	2045	9793.73
CA_PGE_BAY	2011	9057.37
CA_PGE_BAY	2015	9425.13
CA_PGE_BAY	2025	10411.21
CA_PGE_BAY	2035	11500.45
CA_PGE_BAY	2045	12703.65
CA_PGE_CEN	2011	6485.48
CA_PGE_CEN	2015	6748.81
CA_PGE_CEN	2025	7454.89
CA_PGE_CEN	2035	8234.84
CA_PGE_CEN	2045	9096.38
CA_PGE_N	2011	5650.02
CA_PGE_N	2015	5879.43
CA_PGE_N	2025	6494.55
CA_PGE_N	2035	7174.03
CA_PGE_N	2045	7924.59
CA_PGE_S	2011	2185.59
CA_PGE_S	2015	2274.34
CA_PGE_S	2025	2512.28
CA_PGE_S	2035	2775.12
CA_PGE_S	2045	3065.46
CA_SCE_CEN	2011	4093.44
CA_SCE_CEN	2015	4259.65
CA_SCE_CEN	2025	4705.30
CA_SCE_CEN	2035	5197.58
CA_SCE_CEN	2045	5741.36
CA_SCE_S	2011	21234.08
CA_SCE_S	2015	22096.27
CA_SCE_S	2025	24408.03
CA_SCE_S	2035	26961.65
CA_SCE_S	2045	29782.44
CA_SCE_SE	2011	65.38
CA_SCE_SE	2015	68.03
CA_SCE_SE	2025	75.15
CA_SCE_SE	2035	83.01
CA_SCE_SE	2045	91.70
CA_SCE_VLY	2011	856.32
CA_SCE_VLY	2015	891.09
CA_SCE_VLY	2025	984.32
CA_SCE_VLY	2035	1087.31
CA_SCE_VLY	2045	1201.06
CA_SDGE	2011	4550.02
CA_SDGE	2015	4734.77
CA_SDGE	2025	5230.13
CA_SDGE	2035	5777.32
CA_SDGE	2045	6381.75
CA_SMUD	2011	3856.03
CA_SMUD	2015	4012.60
CA_SMUD	2025	4432.41
CA_SMUD	2035	4896.14
CA_SMUD	2045	5408.38
CO_DEN	2011	7797.03
CO_DEN	2015	8113.62
CO_DEN	2025	8962.48
