ampl.tab 2 2
period	breakpoint_id	ng_consumption_breakpoint	ng_price_surplus_adjusted
2013	1	178340454.0276	3.6192
2013	2	356680908.0552	3.6768
2013	3	535021362.0828	3.7344
2013	4	713361816.1105	3.792
2013	5	891702270.1381	3.8496
2013	6	1070042724.1657	3.9072
2013	7	1248383178.1933	3.9648
2013	8	1426723632.2209	4.0224
2013	9	1605064086.2485	4.08
2013	10	1783404540.2762	4.1376
2013	11	1961744994.3038	4.1952
2013	12	2140085448.3314	4.2528
2013	13	2318425902.359	4.3104
2013	14	2496766356.3866	4.368
2013	15	2675106810.4142	4.4257
2013	16	2853447264.4418	4.4833
2013	17	3031787718.4695	4.5409
2013	18	3210128172.4971	4.5985
2013	19	3388468626.5247	4.6561
2013	20	3566809080.5523	4.7137
2013	21	0	99999
2015	1	176402684.7185	4.0255
2015	2	352805369.437	4.0845
2015	3	529208054.1555	4.1436
2015	4	705610738.8741	4.2026
2015	5	882013423.5926	4.2617
2015	6	1058416108.3111	4.3207
2015	7	1234818793.0296	4.3798
2015	8	1411221477.7481	4.4388
2015	9	1587624162.4666	4.4979
2015	10	1764026847.1851	4.5569
2015	11	1940429531.9037	4.616
2015	12	2116832216.6222	4.675
2015	13	2293234901.3407	4.7341
2015	14	2469637586.0592	4.7931
2015	15	2646040270.7777	4.8522
2015	16	2822442955.4962	4.9112
2015	17	2998845640.2148	4.9703
2015	18	3175248324.9333	5.0293
2015	19	3351651009.6518	5.0884
2015	20	3528053694.3703	5.1474
2015	21	0	99999
2025	1	216985157.4041	5.0547
2025	2	433970314.8082	5.1389
2025	3	650955472.2123	5.2231
2025	4	867940629.6163	5.3073
2025	5	1084925787.0204	5.3915
2025	6	1301910944.4245	5.4757
2025	7	1518896101.8286	5.5599
2025	8	1735881259.2327	5.6441
2025	9	1952866416.6368	5.7283
2025	10	2169851574.0408	5.8125
2025	11	2386836731.4449	5.8967
2025	12	2603821888.849	5.9809
2025	13	2820807046.2531	6.0651
2025	14	3037792203.6572	6.1493
2025	15	3254777361.0613	6.2334
2025	16	3471762518.4653	6.3176
2025	17	3688747675.8694	6.4018
2025	18	3905732833.2735	6.486
2025	19	4122717990.6776	6.5702
2025	20	4339703148.0817	6.6544
2025	21	0	99999
2035	1	276997554.5547	5.8283
2035	2	553995109.1094	5.941
2035	3	830992663.6642	6.0537
2035	4	1107990218.2189	6.1665
2035	5	1384987772.7736	6.2792
2035	6	1661985327.3283	6.3919
2035	7	1938982881.8831	6.5046
2035	8	2215980436.4378	6.6173
2035	9	2492977990.9925	6.73
2035	10	2769975545.5472	6.8428
2035	11	3046973100.1019	6.9555
2035	12	3323970654.6567	7.0682
2035	13	3600968209.2114	7.1809
2035	14	3877965763.7661	7.2936
2035	15	4154963318.3208	7.4063
2035	16	4431960872.8755	7.519
2035	17	4708958427.4303	7.6318
2035	18	4985955981.985	7.7445
2035	19	5262953536.5397	7.8572
2035	20	5539951091.0944	7.9699
2035	21	0	99999
2045	1	337346201.4865	6.5389
2045	2	674692402.9729	6.6798
2045	3	1012038604.4594	6.8206
2045	4	1349384805.9459	6.9615
2045	5	1686731007.4324	7.1023
2045	6	2024077208.9188	7.2432
2045	7	2361423410.4053	7.3841
2045	8	2698769611.8918	7.5249
2045	9	3036115813.3782	7.6658
2045	10	3373462014.8647	7.8066
2045	11	3710808216.3512	7.9475
2045	12	4048154417.8377	8.0884
2045	13	4385500619.3241	8.2292
2045	14	4722846820.8106	8.3701
2045	15	5060193022.2971	8.5109
2045	16	5397539223.7835	8.6518
2045	17	5734885425.27	8.7927
2045	18	6072231626.7565	8.9335
2045	19	6409577828.243	9.0744
2045	20	6746924029.7294	9.2153
2045	21	0	99999
