ampl.tab 2 1
period	breakpoint_id	ng_consumption_breakpoint
2012	1	184915356.491
2012	2	369830712.982
2012	3	554746069.4731
2012	4	739661425.9641
2012	5	924576782.4551
2012	6	1109492138.9461
2012	7	1294407495.4372
2012	8	1479322851.9282
2012	9	1664238208.4192
2012	10	1849153564.9102
2012	11	2034068921.4013
2012	12	2218984277.8923
2012	13	2403899634.3833
2012	14	2588814990.8743
2012	15	2773730347.3654
2012	16	2958645703.8564
2012	17	3143561060.3474
2012	18	3328476416.8384
2012	19	3513391773.3295
2012	20	3698307129.8205
2015	1	176402684.7185
2015	2	352805369.437
2015	3	529208054.1555
2015	4	705610738.8741
2015	5	882013423.5926
2015	6	1058416108.3111
2015	7	1234818793.0296
2015	8	1411221477.7481
2015	9	1587624162.4666
2015	10	1764026847.1851
2015	11	1940429531.9037
2015	12	2116832216.6222
2015	13	2293234901.3407
2015	14	2469637586.0592
2015	15	2646040270.7777
2015	16	2822442955.4962
2015	17	2998845640.2148
2015	18	3175248324.9333
2015	19	3351651009.6518
2015	20	3528053694.3703
2025	1	216985157.4041
2025	2	433970314.8082
2025	3	650955472.2123
2025	4	867940629.6163
2025	5	1084925787.0204
2025	6	1301910944.4245
2025	7	1518896101.8286
2025	8	1735881259.2327
2025	9	1952866416.6368
2025	10	2169851574.0408
2025	11	2386836731.4449
2025	12	2603821888.849
2025	13	2820807046.2531
2025	14	3037792203.6572
2025	15	3254777361.0613
2025	16	3471762518.4653
2025	17	3688747675.8694
2025	18	3905732833.2735
2025	19	4122717990.6776
2025	20	4339703148.0817
2035	1	276997554.5547
2035	2	553995109.1094
2035	3	830992663.6642
2035	4	1107990218.2189
2035	5	1384987772.7736
2035	6	1661985327.3283
2035	7	1938982881.8831
2035	8	2215980436.4378
2035	9	2492977990.9925
2035	10	2769975545.5472
2035	11	3046973100.1019
2035	12	3323970654.6567
2035	13	3600968209.2114
2035	14	3877965763.7661
2035	15	4154963318.3208
2035	16	4431960872.8755
2035	17	4708958427.4303
2035	18	4985955981.985
2035	19	5262953536.5397
2035	20	5539951091.0944
2045	1	337346201.4865
2045	2	674692402.9729
2045	3	1012038604.4594
2045	4	1349384805.9459
2045	5	1686731007.4324
2045	6	2024077208.9188
2045	7	2361423410.4053
2045	8	2698769611.8918
2045	9	3036115813.3782
2045	10	3373462014.8647
2045	11	3710808216.3512
2045	12	4048154417.8377
2045	13	4385500619.3241
2045	14	4722846820.8106
2045	15	5060193022.2971
2045	16	5397539223.7835
2045	17	5734885425.27
2045	18	6072231626.7565
2045	19	6409577828.243
2045	20	6746924029.7294
