ampl.tab 3 2				
la_system	period	breakpoint_id	ng_consumption_breakpoint	ng_price_surplus_adjusted
SIC	2011	1	64855221.43	13.2875339
SIC	2011	2	101915348	5999
SIC	2011	3	148240506.1	6999
SIC	2011	4	194565664.3	7999
SIC	2011	5	240890822.5	8999
SIC	2011	6	0	9999
SIC	2014	1	64855221.43	8.718600587
SIC	2014	2	101915348	10.21860059
SIC	2014	3	148240506.1	11.71860059
SIC	2014	4	194565664.3	7999
SIC	2014	5	240890822.5	8999
SIC	2014	6	0	9999
SIC	2018	1	64855221.43	11.75318663
SIC	2018	2	101915348	13.25318663
SIC	2018	3	148240506.1	14.75318663
SIC	2018	4	194565664.3	16.25318663
SIC	2018	5	240890822.5	17.75318663
SIC	2018	6	0	9999
SIC	2022	1	64855221.43	13.92109909
SIC	2022	2	101915348	15.42109909
SIC	2022	3	148240506.1	16.92109909
SIC	2022	4	194565664.3	18.42109909
SIC	2022	5	240890822.5	19.92109909
SIC	2022	6	0	9999
SIC	2026	1	64855221.43	14.48635154
SIC	2026	2	101915348	15.98635154
SIC	2026	3	148240506.1	17.48635154
SIC	2026	4	194565664.3	18.98635154
SIC	2026	5	240890822.5	20.48635154
SIC	2026	6	0	9999
SING	2011	1	41692642.35	13.2875339
SING	2011	2	64855221.43	5999
SING	2011	3	92650316.33	6999
SING	2011	4	111180379.6	7999
SING	2011	5	138975474.5	8999
SING	2011	6	0	9999
SING	2014	1	41692642.35	8.718600587
SING	2014	2	64855221.43	10.21860059
SING	2014	3	92650316.33	11.71860059
SING	2014	4	111180379.6	7999
SING	2014	5	138975474.5	8999
SING	2014	6	0	9999
SING	2018	1	41692642.35	11.75318663
SING	2018	2	64855221.43	13.25318663
SING	2018	3	92650316.33	14.75318663
SING	2018	4	111180379.6	16.25318663
SING	2018	5	138975474.5	17.75318663
SING	2018	6	0	9999
SING	2022	1	41692642.35	13.92109909
SING	2022	2	64855221.43	15.42109909
SING	2022	3	92650316.33	16.92109909
SING	2022	4	111180379.6	18.42109909
SING	2022	5	138975474.5	19.92109909
SING	2022	6	0	9999
SING	2026	1	41692642.35	14.48635154
SING	2026	2	64855221.43	15.98635154
SING	2026	3	92650316.33	17.48635154
SING	2026	4	111180379.6	18.98635154
SING	2026	5	138975474.5	20.48635154
SING	2026	6	0	9999
