ampl.tab 2 1
period	breakpoint_id	ng_price_surplus_adjusted
2012	1	3.5499
2012	2	3.6101
2012	3	3.6703
2012	4	3.7305
2012	5	3.7907
2012	6	3.8509
2012	7	3.9111
2012	8	3.9713
2012	9	4.0315
2012	10	4.0917
2012	11	4.1519
2012	12	4.2121
2012	13	4.2723
2012	14	4.3325
2012	15	4.3927
2012	16	4.4529
2012	17	4.5131
2012	18	4.5733
2012	19	4.6335
2012	20	4.6937
2012	21	99999
2015	1	4.0255
2015	2	4.0845
2015	3	4.1436
2015	4	4.2026
2015	5	4.2617
2015	6	4.3207
2015	7	4.3798
2015	8	4.4388
2015	9	4.4979
2015	10	4.5569
2015	11	4.616
2015	12	4.675
2015	13	4.7341
2015	14	4.7931
2015	15	4.8522
2015	16	4.9112
2015	17	4.9703
2015	18	5.0293
2015	19	5.0884
2015	20	5.1474
2015	21	99999
2025	1	5.0547
2025	2	5.1389
2025	3	5.2231
2025	4	5.3073
2025	5	5.3915
2025	6	5.4757
2025	7	5.5599
2025	8	5.6441
2025	9	5.7283
2025	10	5.8125
2025	11	5.8967
2025	12	5.9809
2025	13	6.0651
2025	14	6.1493
2025	15	6.2334
2025	16	6.3176
2025	17	6.4018
2025	18	6.486
2025	19	6.5702
2025	20	6.6544
2025	21	99999
2035	1	5.8283
2035	2	5.941
2035	3	6.0537
2035	4	6.1665
2035	5	6.2792
2035	6	6.3919
2035	7	6.5046
2035	8	6.6173
2035	9	6.73
2035	10	6.8428
2035	11	6.9555
2035	12	7.0682
2035	13	7.1809
2035	14	7.2936
2035	15	7.4063
2035	16	7.519
2035	17	7.6318
2035	18	7.7445
2035	19	7.8572
2035	20	7.9699
2035	21	99999
2045	1	6.5389
2045	2	6.6798
2045	3	6.8206
2045	4	6.9615
2045	5	7.1023
2045	6	7.2432
2045	7	7.3841
2045	8	7.5249
2045	9	7.6658
2045	10	7.8066
2045	11	7.9475
2045	12	8.0884
2045	13	8.2292
2045	14	8.3701
2045	15	8.5109
2045	16	8.6518
2045	17	8.7927
2045	18	8.9335
2045	19	9.0744
2045	20	9.2153
2045	21	99999
