ampl.tab 3 2				
la_system	period	breakpoint_id	ng_consumption_breakpoint	ng_price_surplus_adjusted
SIC	2011	1	64855221.43	13.2875339
SIC	2011	2	101915348	9999
SIC	2011	3	148240506.1	9999
SIC	2011	4	194565664.3	9999
SIC	2011	5	240890822.5	9999
SIC	2011	6	0	9999
SIC	2014	1	64855221.43	8.718600587
SIC	2014	2	101915348	10.21860059
SIC	2014	3	148240506.1	9999
SIC	2014	4	194565664.3	9999
SIC	2014	5	240890822.5	9999
SIC	2014	6	0	9999
SIC	2017	1	64855221.43	11.75318663
SIC	2017	2	101915348	13.25318663
SIC	2017	3	148240506.1	14.75318663
SIC	2017	4	194565664.3	16.25318663
SIC	2017	5	240890822.5	17.75318663
SIC	2017	6	0	9999
SIC	2020	1	64855221.43	13.92109909
SIC	2020	2	101915348	15.42109909
SIC	2020	3	148240506.1	16.92109909
SIC	2020	4	194565664.3	18.42109909
SIC	2020	5	240890822.5	19.92109909
SIC	2020	6	0	9999
SIC	2023	1	64855221.43	14.48635154
SIC	2023	2	101915348	15.98635154
SIC	2023	3	148240506.1	17.48635154
SIC	2023	4	194565664.3	18.98635154
SIC	2023	5	240890822.5	20.48635154
SIC	2023	6	0	9999
SIC	2026	1	64855221.43	14.48635154
SIC	2026	2	101915348	15.98635154
SIC	2026	3	148240506.1	17.48635154
SIC	2026	4	194565664.3	18.98635154
SIC	2026	5	240890822.5	20.48635154
SIC	2026	6	0	9999
SIC	2029	1	64855221.43	14.48635154
SIC	2029	2	101915348	15.98635154
SIC	2029	3	148240506.1	17.48635154
SIC	2029	4	194565664.3	18.98635154
SIC	2029	5	240890822.5	20.48635154
SIC	2029	6	0	9999
SING	2011	1	41692642.35	13.2875339
SING	2011	2	64855221.43	9999
SING	2011	3	92650316.33	9999
SING	2011	4	111180379.6	9999
SING	2011	5	138975474.5	9999
SING	2011	6	0	9999
SING	2014	1	41692642.35	8.718600587
SING	2014	2	64855221.43	10.21860059
SING	2014	3	92650316.33	9999
SING	2014	4	111180379.6	9999
SING	2014	5	138975474.5	9999
SING	2014	6	0	9999
SING	2017	1	41692642.35	11.75318663
SING	2017	2	64855221.43	13.25318663
SING	2017	3	92650316.33	14.75318663
SING	2017	4	111180379.6	16.25318663
SING	2017	5	138975474.5	17.75318663
SING	2017	6	0	9999
SING	2020	1	41692642.35	13.92109909
SING	2020	2	64855221.43	15.42109909
SING	2020	3	92650316.33	16.92109909
SING	2020	4	111180379.6	18.42109909
SING	2020	5	138975474.5	19.92109909
SING	2020	6	0	9999
SING	2023	1	41692642.35	14.48635154
SING	2023	2	64855221.43	15.98635154
SING	2023	3	92650316.33	17.48635154
SING	2023	4	111180379.6	18.98635154
SING	2023	5	138975474.5	20.48635154
SING	2023	6	0	9999
SING	2026	1	41692642.35	14.48635154
SING	2026	2	64855221.43	15.98635154
SING	2026	3	92650316.33	17.48635154
SING	2026	4	111180379.6	18.98635154
SING	2026	5	138975474.5	20.48635154
SING	2026	6	0	9999
SING	2029	1	41692642.35	14.48635154
SING	2029	2	64855221.43	15.98635154
SING	2029	3	92650316.33	17.48635154
SING	2029	4	111180379.6	18.98635154
SING	2029	5	138975474.5	20.48635154
SING	2029	6	0	9999
