ampl.tab 3 8
project_id	load_area	technology	location_id	ep_project_replacement_id	capacity_limit	capacity_limit_conversion	heat_rate	cogen_thermal_demand	connect_cost_per_mw	average_capacity_factor_intermittent
1191184826	AZ_APS_E	Wind	6866	0	30	0	0	0	72541.5	0.2942880094051361
1191184830	AZ_APS_E	Wind	6786	0	60	0	0	0	77892.2	0.3253920078277588
1191184831	AZ_APS_E	Wind	6787	0	30	0	0	0	71602.2	0.30993199348449707
1191184832	AZ_APS_E	Wind	6771	0	90	0	0	0	80259.2	0.3058220148086548
1191185578	AZ_APS_E	Wind	7573	0	30	0	0	0	93452	0.29866600036621094
1191185585	AZ_APS_E	Wind	7664	0	30	0	0	0	107037	0.2950260043144226
1191185586	AZ_APS_E	Wind	7586	0	60	0	0	0	96351.8	0.288765013217926
1191209159	AZ_APS_E	Biomass_IGCC	0	0	0	0.10367000102996826	12.5	0	57566.6	0
1191209219	AZ_APS_E	Bio_Gas	0	0	0	0.07327079772949219	13.5	0	57566.6	0
1191209423	AZ_APS_E	Compressed_Air_Energy_Storage	0	0	100000	0	4.91	0	57566.6	0
1191209520	AZ_APS_E	Gas_Combustion_Turbine	0	0	0	0	10.39	0	57566.6	0
1191209570	AZ_APS_E	Coal_IGCC	0	0	0	0	7.95	0	57566.6	0
1191209620	AZ_APS_E	Coal_Steam_Turbine	0	0	0	0	9	0	57566.6	0
1191209670	AZ_APS_E	Nuclear	0	0	0	0	9.72	0	57566.6	0
1191209720	AZ_APS_E	Battery_Storage	0	0	0	0	0	0	57566.6	0
1191209770	AZ_APS_E	CCGT_CCS	0	0	0	0	10.08	0	57566.6	0
1191209820	AZ_APS_E	Gas_Combustion_Turbine_CCS	0	0	0	0	15.6199	0	57566.6	0
1191209870	AZ_APS_E	Coal_IGCC_CCS	0	0	0	0	10.38	0	57566.6	0
1191209920	AZ_APS_E	Coal_Steam_Turbine_CCS	0	0	0	0	12.1	0	57566.6	0
