ampl.tab 2 1
province	hour	system_load
Macau	2021010500	358.614307797222
Hong_Kong	2021010500	4350.91134243892
Taiwan	2021010500	23749.155023574
Tibet	2021010500	497.740123692502
Jilin	2021010500	10907.6293214904
Jiangxi	2021010500	12693.4686330241
Hunan	2021010500	22942.19015338
Zhejiang	2021010500	52679.4083447843
East_Inner_Mongolia	2021010500	9193.58934834249
Henan	2021010500	47837.7638095084
Guizhou	2021010500	16386.916966266
Guangxi	2021010500	20044.0594763584
Tianjin	2021010500	12662.0821300622
Guangdong	2021010500	71760.2215226343
Liaoning	2021010500	33383.6250086165
Hubei	2021010500	25799.7674429724
Beijing	2021010500	12120.1301329185
Heilongjiang	2021010500	14027.1521433101
West_Inner_Mongolia	2021010500	24519.7934012058
Jiangsu	2021010500	71951.5066011075
Hebei	2021010500	56845.0597425093
Hainan	2021010500	3647.5725720802
Shaanxi	2021010500	16611.0147371673
Gansu	2021010500	14609.9468996588
Shanxi	2021010500	32382.8099858515
Ningxia	2021010500	10394.8749365192
Yunnan	2021010500	19027.7237917072
Anhui	2021010500	20988.858324163
Qinghai	2021010500	8185.60410636282
Sichuan	2021010500	28879.199872204
Shandong	2021010500	63667.0200250904
Shanghai	2021010500	22841.8504901407
Fujian	2021010500	25838.9566491732
Xinjiang	2021010500	15267.9163094634
Chongqing	2021010500	13026.3391874864
Macau	2021010504	332.44931909447
Hong_Kong	2021010504	4033.4629204257
Taiwan	2021010504	22016.3843019911
Tibet	2021010504	461.424325827892
Jilin	2021010504	10111.7938186526
Jiangxi	2021010504	11767.3358598454
Hunan	2021010504	21268.2966886524
Zhejiang	2021010504	48835.8469077757
East_Inner_Mongolia	2021010504	8522.81253825173
Henan	2021010504	44347.4553571516
Guizhou	2021010504	15191.3051683739
Guangxi	2021010504	18581.6175760961
Tianjin	2021010504	11738.2393589206
Guangdong	2021010504	66524.4979482464
Liaoning	2021010504	30947.910224751
Hubei	2021010504	23917.3812442022
Beijing	2021010504	11235.8289181911
Heilongjiang	2021010504	13003.7120033561
West_Inner_Mongolia	2021010504	22730.7958531795
Jiangsu	2021010504	66701.8266066648
Hebei	2021010504	52697.5667015706
Hainan	2021010504	3381.44070543166
Shaanxi	2021010504	15399.0524604559
Gansu	2021010504	13543.9852599087
Shanxi	2021010504	30020.1160301985
Ningxia	2021010504	9636.45069251407
Yunnan	2021010504	17639.4351283039
Anhui	2021010504	19457.4826121657
Qinghai	2021010504	7588.37127345173
Sichuan	2021010504	26772.1340860057
Shandong	2021010504	59021.7874633256
Shanghai	2021010504	21175.2779440101
Fujian	2021010504	23953.7111525021
Xinjiang	2021010504	14153.9483247349
Chongqing	2021010504	12075.919724938
Macau	2021010508	344.762252834953
Hong_Kong	2021010508	4182.85038742119
Taiwan	2021010508	22831.8056776577
Tibet	2021010508	478.51411011634
Jilin	2021010508	10486.3045790465
Jiangxi	2021010508	12203.1629721972
Hunan	2021010508	22056.0111246862
Zhejiang	2021010508	50644.5813902937
East_Inner_Mongolia	2021010508	8838.47215924867
Henan	2021010508	45989.9531696271
Guizhou	2021010508	15753.9459175838
Guangxi	2021010508	19269.8254106877
Tianjin	2021010508	12172.9888234405
Guangdong	2021010508	68988.3674414574
Liaoning	2021010508	32094.1287492519
Hubei	2021010508	24803.2098911306
Beijing	2021010508	11651.9705946605
Heilongjiang	2021010508	13485.3308098369
West_Inner_Mongolia	2021010508	23572.6769073233
Jiangsu	2021010508	69172.2638258298
Hebei	2021010508	54649.3277966106
Hainan	2021010508	3506.67920935388
Shaanxi	2021010508	15969.387551315
Gansu	2021010508	14045.614180496
Shanxi	2021010508	31131.9718179266
Ningxia	2021010508	9993.3561576645
Yunnan	2021010508	18292.7473280279
Anhui	2021010508	20178.1298819895
Qinghai	2021010508	7869.421969969
Sichuan	2021010508	27763.6942852871
Shandong	2021010508	61207.7788807851
Shanghai	2021010508	21959.5472424736
Fujian	2021010508	24840.8853511523
Xinjiang	2021010508	14678.1684625994
Chongqing	2021010508	12523.175865614
Macau	2021010512	415.561648868088
Hong_Kong	2021010512	5041.82865053213
Taiwan	2021010512	27520.4803774889
Tibet	2021010512	576.780407284866
Jilin	2021010512	12639.7422733158
Jiangxi	2021010512	14709.1698248067
Hunan	2021010512	26585.3708608155
Zhejiang	2021010512	61044.8086347196
East_Inner_Mongolia	2021010512	10653.5156728147
Henan	2021010512	55434.3191964395
Guizhou	2021010512	18989.1314604673
Guangxi	2021010512	23227.0219701201
Tianjin	2021010512	14672.7991986507
Guangdong	2021010512	83155.622435308
Liaoning	2021010512	38684.8877809388
Hubei	2021010512	29896.7265552528
Beijing	2021010512	14044.7861477389
Heilongjiang	2021010512	16254.6400041951
West_Inner_Mongolia	2021010512	28413.4948164744
Jiangsu	2021010512	83377.283258331
Hebei	2021010512	65871.9583769633
Hainan	2021010512	4226.80088178958
Shaanxi	2021010512	19248.8155755698
Gansu	2021010512	16929.9815748859
Shanxi	2021010512	37525.1450377482
Ningxia	2021010512	12045.5633656426
Yunnan	2021010512	22049.2939103799
Anhui	2021010512	24321.8532652071
Qinghai	2021010512	9485.46409181466
Sichuan	2021010512	33465.1676075071
Shandong	2021010512	73777.234329157
Shanghai	2021010512	26469.0974300126
Fujian	2021010512	29942.1389406276
Xinjiang	2021010512	17692.4354059186
Chongqing	2021010512	15094.8996561725
Macau	2021010516	395.553118027124
Hong_Kong	2021010516	4799.07385272101
Taiwan	2021010516	26195.4197471565
Tibet	2021010516	549.009489061162
Jilin	2021010516	12031.1618766735
Jiangxi	2021010516	14000.9502889418
Hunan	2021010516	25305.334037793
Zhejiang	2021010516	58105.6131156541
East_Inner_Mongolia	2021010516	10140.5684422778
Henan	2021010516	52765.2584486276
Guizhou	2021010516	18074.839625538
Guangxi	2021010516	22108.6834836434
Tianjin	2021010516	13966.3308416954
Guangdong	2021010516	79151.8318048964
Liaoning	2021010516	36822.2814207214
Hubei	2021010516	28457.2540318522
Beijing	2021010516	13368.5554667864
Heilongjiang	2021010516	15472.0089151171
West_Inner_Mongolia	2021010516	27045.4371795786
Jiangsu	2021010516	79362.8200660366
Hebei	2021010516	62700.3444555868
Hainan	2021010516	4023.2881754745
Shaanxi	2021010516	18322.0204270164
Gansu	2021010516	16114.834028425
Shanxi	2021010516	35718.3781624975
Ningxia	2021010516	11465.5915930916
Yunnan	2021010516	20987.6608688589
Anhui	2021010516	23150.800660878
Qinghai	2021010516	9028.75640153843
Sichuan	2021010516	31853.881195499
Shandong	2021010516	70224.9958767955
Shanghai	2021010516	25194.6589593226
Fujian	2021010516	28500.4798942026
Xinjiang	2021010516	16840.5771065897
Chongqing	2021010516	14368.1079367382
Macau	2021010520	390.166216272002
Hong_Kong	2021010520	4733.71691788222
Taiwan	2021010520	25838.6733427395
Tibet	2021010520	541.532717812454
Jilin	2021010520	11867.3136245023
Jiangxi	2021010520	13810.2761664344
Hunan	2021010520	24960.7094042621
Zhejiang	2021010520	57314.2927720393
East_Inner_Mongolia	2021010520	10002.4675313001
Henan	2021010520	52046.6665569393
Guizhou	2021010520	17828.6846064903
Guangxi	2021010520	21807.5929336422
Tianjin	2021010520	13776.1281895233
Guangdong	2021010520	78073.8902535884
Liaoning	2021010520	36320.8114452041
Hubei	2021010520	28069.704484892
Beijing	2021010520	13186.4937116759
Heilongjiang	2021010520	15261.3009515551
West_Inner_Mongolia	2021010520	26677.1146803467
Jiangsu	2021010520	78282.0051382276
Hebei	2021010520	61846.4500474751
Hainan	2021010520	3968.49639872927
Shaanxi	2021010520	18072.4991377191
Gansu	2021010520	15895.3716509214
Shanxi	2021010520	35231.9418654627
Ningxia	2021010520	11309.445647929
Yunnan	2021010520	20701.8371399644
Anhui	2021010520	22835.5178757629
