ampl.tab 1 8
province	province_id	regional_grid_company	ccs_distance_km	present_day_existing_distribution_cost	present_day_max_coincident_demand_mwh_for_distribution	distribution_new_annual_payment_per_mw	existing_transmission_sunk_annual_payment	bio_gas_capacity_limit_mmbtu_per_hour
Taiwan	33	Taiwan	0	22980000022.9791	31742.1919073174	112000	9192000009.19163	0
Macau	35	Southern_Power	0	347000000.346995	479.309860393348	112000	138800000.138798	0
Fujian	8	East_China	0	16265987769.4616	22468.1507756295	112000	6506395107.78463	0
Jiangsu	9	East_China	0	46417221172.6982	64115.9417230158	112000	18566888469.0793	0
Heilongjiang	20	North_East_Grid	0	8853785266.12836	12229.701947023	112000	3541514106.45135	0
East_Inner_Mongolia	19	North_East_Grid	0	5742033650.68418	7931.4505611849	112000	2296813460.27367	0
Tibet	34	Tibet	654.474229998588	262943435.757792	363.202828122173	112000	105177374.303117	0
Zhejiang	11	East_China	0	34235189836.9491	47288.9453742885	112000	13694075934.7796	0
West_Inner_Mongolia	18	North_China	0	14310775835.4251	19767.4235185549	112000	5724310334.17004	0
Jilin	21	North_East_Grid	0	6939320772.20686	9585.25898335873	112000	2775728308.88274	0
Liaoning	22	North_East_Grid	0	20682645795.5291	28568.8647230713	112000	8273058318.21165	0
Hong_Kong	12	Southern_Power	60.4676584850347	4210000004.21038	5815.25796039192	112000	1684000001.68415	0
Tianjin	17	North_China	0	7884298596.47534	10890.5534749175	112000	3153719438.59014	0
Yunnan	32	Southern_Power	0	12253302170.1673	16925.4424976018	112000	4901320868.0669	0
Shanxi	16	North_China	0	19533323980.838	26981.3106078154	112000	7813329592.33521	0
Hubei	3	Central_China	0	16087880683.0861	22222.1320937242	112000	6435152273.23442	0
Hainan	31	Southern_Power	0	2054236853.37211	2837.51002426519	112000	821694741.348845	0
Ningxia	24	North_West_Grid	0	6649577642.65478	9185.03783397313	112000	2659831057.06191	0
Henan	2	Central_China	0	29392245352.9946	40599.4034660011	112000	11756898141.1978	0
Chongqing	1	Central_China	0	7610313496.13584	10512.0988349724	112000	3044125398.45434	0
Hunan	4	Central_China	0	13925289721.2404	19234.9529266574	112000	5570115888.49615	0
Jiangxi	5	Central_China	0	8117982523.06869	11213.3402475987	112000	3247193009.22748	0
Anhui	7	East_China	0	13251309720.4384	18303.9867601738	112000	5300523888.17538	0
Sichuan	6	Central_China	0	18315045870.338	25298.5074075828	112000	7326018348.13518	0
Beijing	13	North_China	0	9102668775.68297	12573.4838493283	112000	3641067510.27319	0
Hebei	14	North_China	0	34293270679.2967	47369.1722342582	112000	13717308271.7187	0
Shandong	15	North_China	0	41090605068.8089	56758.3059346188	112000	16436242027.5236	0
Gansu	23	North_West_Grid	0	9570788231.96634	13220.095581356	112000	3828315292.78654	0
Qinghai	25	North_West_Grid	0	5444408786.8261	7520.34240037001	112000	2177763514.73044	0
Shaanxi	26	North_West_Grid	0	10313576840.1243	14246.1068312755	112000	4125430736.0497	0
Xinjiang	27	North_West_Grid	0	8721020201.2196	12046.3140373314	112000	3488408080.48784	0
Guangdong	28	Southern_Power	0	48241583258.1793	66635.9265519092	112000	19296633303.2717	0
Guangxi	29	Southern_Power	0	12658604218.7137	17485.2847688145	112000	5063441687.48547	0
Guizhou	30	Southern_Power	0	10238226304.9123	14142.0254062695	112000	4095290521.96492	0
Shanghai	10	East_China	61.5038620351807	15183507949.6514	20972.9252690253	112000	6073403179.86056	0
