ampl.tab 2 1
la_id	fuel_category fuel_qualifies_for_rps
1	renewable	1
S1	renewable	1
S10	renewable	1
S11	renewable	1
S12	renewable	1
S13	renewable	1
S14	renewable	1
S15	renewable	1
S16	renewable	1
S17	renewable	1
S18	renewable	1
S19	renewable	1
S2	renewable	1
S20	renewable	1
S21	renewable	1
S22	renewable	1
S3	renewable	1
S4	renewable	1
S5	renewable	1
S6	renewable	1
S7	renewable	1
S8	renewable	1
S9	renewable	1
1	fossilish	0
1	na	0
S1	fossilish	0
S1	na	0
S10	fossilish	0
S10	na	0
S11	fossilish	0
S11	na	0
S12	fossilish	0
S12	na	0
S13	fossilish	0
S13	na	0
S14	fossilish	0
S14	na	0
S15	fossilish	0
S15	na	0
S16	fossilish	0
S16	na	0
S17	fossilish	0
S17	na	0
S18	fossilish	0
S18	na	0
S19	fossilish	0
S19	na	0
S2	fossilish	0
S2	na	0
S20	fossilish	0
S20	na	0
S21	fossilish	0
S21	na	0
S22	fossilish	0
S22	na	0
S3	fossilish	0
S3	na	0
S4	fossilish	0
S4	na	0
S5	fossilish	0
S5	na	0
S6	fossilish	0
S6	na	0
S7	fossilish	0
S7	na	0
S8	fossilish	0
S8	na	0
S9	fossilish	0
S9	na	0
