ampl.tab 3 1
rps_compliance_entity	rps_compliance_type	rps_compliance_year	rps_compliance_fraction
1	Distributed	2014	0.05
1	Primary	2011	0.05
1	Primary	2012	0.05
1	Primary	2013	0.05
1	Primary	2014	0.05
S1	Distributed	2011	0.05
S1	Distributed	2012	0.05
S1	Distributed	2013	0.05
S1	Distributed	2014	0.05
S1	Primary	2011	0.05
S1	Primary	2012	0.05
S1	Primary	2013	0.05
S1	Primary	2014	0.05
S10	Distributed	2011	0.05
S10	Distributed	2012	0.05
S10	Distributed	2013	0.05
S10	Distributed	2014	0.05
S10	Primary	2011	0.05
S10	Primary	2012	0.05
S10	Primary	2013	0.05
S10	Primary	2014	0.05
S11	Distributed	2011	0.05
S11	Distributed	2012	0.05
S11	Distributed	2013	0.05
S11	Distributed	2014	0.05
S11	Primary	2011	0.05
S11	Primary	2012	0.05
S11	Primary	2013	0.05
S11	Primary	2014	0.05
S12	Distributed	2011	0.05
S12	Distributed	2012	0.05
S12	Distributed	2013	0.05
S12	Distributed	2014	0.05
S12	Primary	2011	0.05
S12	Primary	2012	0.05
S12	Primary	2013	0.05
S12	Primary	2014	0.05
S13	Distributed	2011	0.05
S13	Distributed	2012	0.05
S13	Distributed	2013	0.05
S13	Distributed	2014	0.05
S13	Primary	2011	0.05
S13	Primary	2012	0.05
S13	Primary	2013	0.05
S13	Primary	2014	0.05
S14	Distributed	2011	0.05
S14	Distributed	2012	0.05
S14	Distributed	2013	0.05
S14	Distributed	2014	0.05
S14	Primary	2011	0.05
S14	Primary	2012	0.05
S14	Primary	2013	0.05
S14	Primary	2014	0.05
S15	Distributed	2011	0.05
S15	Distributed	2012	0.05
S15	Distributed	2013	0.05
S15	Distributed	2014	0.05
S15	Primary	2011	0.05
S15	Primary	2012	0.05
S15	Primary	2013	0.05
S15	Primary	2014	0.05
S16	Distributed	2011	0.05
S16	Distributed	2012	0.05
S16	Distributed	2013	0.05
S16	Distributed	2014	0.05
S16	Primary	2011	0.05
S16	Primary	2012	0.05
S16	Primary	2013	0.05
S16	Primary	2014	0.05
S17	Distributed	2011	0.05
S17	Distributed	2012	0.05
S17	Distributed	2013	0.05
S17	Distributed	2014	0.05
S17	Primary	2011	0.05
S17	Primary	2012	0.05
S17	Primary	2013	0.05
S17	Primary	2014	0.05
S18	Distributed	2011	0.05
S18	Distributed	2012	0.05
S18	Distributed	2013	0.05
S18	Distributed	2014	0.05
S18	Primary	2011	0.05
S18	Primary	2012	0.05
S18	Primary	2013	0.05
S18	Primary	2014	0.05
S19	Distributed	2011	0.05
S19	Distributed	2012	0.05
S19	Distributed	2013	0.05
S19	Distributed	2014	0.05
S19	Primary	2011	0.05
S19	Primary	2012	0.05
S19	Primary	2013	0.05
S19	Primary	2014	0.05
S2	Distributed	2011	0.05
S2	Distributed	2012	0.05
S2	Distributed	2013	0.05
S2	Distributed	2014	0.05
S2	Primary	2011	0.05
S2	Primary	2012	0.05
S2	Primary	2013	0.05
S2	Primary	2014	0.05
S20	Distributed	2011	0.05
S20	Distributed	2012	0.05
S20	Distributed	2013	0.05
S20	Distributed	2014	0.05
S20	Primary	2011	0.05
S20	Primary	2012	0.05
S20	Primary	2013	0.05
S20	Primary	2014	0.05
S21	Distributed	2011	0.05
S21	Distributed	2012	0.05
S21	Distributed	2013	0.05
S21	Distributed	2014	0.05
S21	Primary	2011	0.05
S21	Primary	2012	0.05
S21	Primary	2013	0.05
S21	Primary	2014	0.05
S22	Distributed	2011	0.05
S22	Distributed	2012	0.05
S22	Distributed	2013	0.05
S22	Distributed	2014	0.05
S22	Primary	2011	0.05
S22	Primary	2012	0.05
S22	Primary	2013	0.05
S22	Primary	2014	0.05
S3	Distributed	2011	0.05
S3	Distributed	2012	0.05
S3	Distributed	2013	0.05
S3	Distributed	2014	0.05
S3	Primary	2011	0.05
S3	Primary	2012	0.05
S3	Primary	2013	0.05
S3	Primary	2014	0.05
S4	Distributed	2011	0.05
S4	Distributed	2012	0.05
S4	Distributed	2013	0.05
S4	Distributed	2014	0.05
S4	Primary	2011	0.05
S4	Primary	2012	0.05
S4	Primary	2013	0.05
S4	Primary	2014	0.05
S5	Distributed	2011	0.05
S5	Distributed	2012	0.05
S5	Distributed	2013	0.05
S5	Distributed	2014	0.05
S5	Primary	2011	0.05
S5	Primary	2012	0.05
S5	Primary	2013	0.05
S5	Primary	2014	0.05
S6	Distributed	2011	0.05
S6	Distributed	2012	0.05
S6	Distributed	2013	0.05
S6	Distributed	2014	0.05
S6	Primary	2011	0.05
S6	Primary	2012	0.05
S6	Primary	2013	0.05
S6	Primary	2014	0.05
S7	Distributed	2011	0.05
S7	Distributed	2012	0.05
S7	Distributed	2013	0.05
S7	Distributed	2014	0.05
S7	Primary	2011	0.05
S7	Primary	2012	0.05
S7	Primary	2013	0.05
S7	Primary	2014	0.05
S8	Distributed	2011	0.05
S8	Distributed	2012	0.05
S8	Distributed	2013	0.05
S8	Distributed	2014	0.05
S8	Primary	2011	0.05
S8	Primary	2012	0.05
S8	Primary	2013	0.05
S8	Primary	2014	0.05
S9	Distributed	2011	0.05
S9	Distributed	2012	0.05
S9	Distributed	2013	0.05
S9	Distributed	2014	0.05
S9	Primary	2011	0.05
S9	Primary	2012	0.05
S9	Primary	2013	0.05
S9	Primary	2014	0.05
1	Distributed	2015	0.078125
1	Primary	2015	0.078125
S1	Distributed	2015	0.078125
S1	Primary	2015	0.078125
S10	Distributed	2015	0.078125
S10	Primary	2015	0.078125
S11	Distributed	2015	0.078125
S11	Primary	2015	0.078125
S12	Distributed	2015	0.078125
S12	Primary	2015	0.078125
S13	Distributed	2015	0.078125
S13	Primary	2015	0.078125
S14	Distributed	2015	0.078125
S14	Primary	2015	0.078125
S15	Distributed	2015	0.078125
S15	Primary	2015	0.078125
S16	Distributed	2015	0.078125
S16	Primary	2015	0.078125
S17	Distributed	2015	0.078125
S17	Primary	2015	0.078125
S18	Distributed	2015	0.078125
S18	Primary	2015	0.078125
S19	Distributed	2015	0.078125
S19	Primary	2015	0.078125
S2	Distributed	2015	0.078125
S2	Primary	2015	0.078125
S20	Distributed	2015	0.078125
S20	Primary	2015	0.078125
S21	Distributed	2015	0.078125
S21	Primary	2015	0.078125
S22	Distributed	2015	0.078125
S22	Primary	2015	0.078125
S3	Distributed	2015	0.078125
S3	Primary	2015	0.078125
S4	Distributed	2015	0.078125
S4	Primary	2015	0.078125
S5	Distributed	2015	0.078125
S5	Primary	2015	0.078125
S6	Distributed	2015	0.078125
S6	Primary	2015	0.078125
S7	Distributed	2015	0.078125
S7	Primary	2015	0.078125
S8	Distributed	2015	0.078125
S8	Primary	2015	0.078125
S9	Distributed	2015	0.078125
S9	Primary	2015	0.078125
1	Distributed	2016	0.10625
1	Primary	2016	0.10625
S1	Distributed	2016	0.10625
S1	Primary	2016	0.10625
S10	Distributed	2016	0.10625
S10	Primary	2016	0.10625
S11	Distributed	2016	0.10625
S11	Primary	2016	0.10625
S12	Distributed	2016	0.10625
S12	Primary	2016	0.10625
S13	Distributed	2016	0.10625
S13	Primary	2016	0.10625
S14	Distributed	2016	0.10625
S14	Primary	2016	0.10625
S15	Distributed	2016	0.10625
S15	Primary	2016	0.10625
S16	Distributed	2016	0.10625
S16	Primary	2016	0.10625
S17	Distributed	2016	0.10625
S17	Primary	2016	0.10625
S18	Distributed	2016	0.10625
S18	Primary	2016	0.10625
S19	Distributed	2016	0.10625
S19	Primary	2016	0.10625
S2	Distributed	2016	0.10625
S2	Primary	2016	0.10625
S20	Distributed	2016	0.10625
S20	Primary	2016	0.10625
S21	Distributed	2016	0.10625
S21	Primary	2016	0.10625
S22	Distributed	2016	0.10625
S22	Primary	2016	0.10625
S3	Distributed	2016	0.10625
S3	Primary	2016	0.10625
S4	Distributed	2016	0.10625
S4	Primary	2016	0.10625
S5	Distributed	2016	0.10625
S5	Primary	2016	0.10625
S6	Distributed	2016	0.10625
S6	Primary	2016	0.10625
S7	Distributed	2016	0.10625
S7	Primary	2016	0.10625
S8	Distributed	2016	0.10625
S8	Primary	2016	0.10625
S9	Distributed	2016	0.10625
S9	Primary	2016	0.10625
1	Distributed	2017	0.134375
1	Primary	2017	0.134375
S1	Distributed	2017	0.134375
S1	Primary	2017	0.134375
S10	Distributed	2017	0.134375
S10	Primary	2017	0.134375
S11	Distributed	2017	0.134375
S11	Primary	2017	0.134375
S12	Distributed	2017	0.134375
S12	Primary	2017	0.134375
S13	Distributed	2017	0.134375
S13	Primary	2017	0.134375
S14	Distributed	2017	0.134375
S14	Primary	2017	0.134375
S15	Distributed	2017	0.134375
S15	Primary	2017	0.134375
S16	Distributed	2017	0.134375
S16	Primary	2017	0.134375
S17	Distributed	2017	0.134375
S17	Primary	2017	0.134375
S18	Distributed	2017	0.134375
S18	Primary	2017	0.134375
S19	Distributed	2017	0.134375
S19	Primary	2017	0.134375
S2	Distributed	2017	0.134375
S2	Primary	2017	0.134375
S20	Distributed	2017	0.134375
S20	Primary	2017	0.134375
S21	Distributed	2017	0.134375
S21	Primary	2017	0.134375
S22	Distributed	2017	0.134375
S22	Primary	2017	0.134375
S3	Distributed	2017	0.134375
S3	Primary	2017	0.134375
S4	Distributed	2017	0.134375
S4	Primary	2017	0.134375
S5	Distributed	2017	0.134375
S5	Primary	2017	0.134375
S6	Distributed	2017	0.134375
S6	Primary	2017	0.134375
S7	Distributed	2017	0.134375
S7	Primary	2017	0.134375
S8	Distributed	2017	0.134375
S8	Primary	2017	0.134375
S9	Distributed	2017	0.134375
S9	Primary	2017	0.134375
1	Distributed	2018	0.1625
1	Primary	2018	0.1625
S1	Distributed	2018	0.1625
S1	Primary	2018	0.1625
S10	Distributed	2018	0.1625
S10	Primary	2018	0.1625
S11	Distributed	2018	0.1625
S11	Primary	2018	0.1625
S12	Distributed	2018	0.1625
S12	Primary	2018	0.1625
S13	Distributed	2018	0.1625
S13	Primary	2018	0.1625
S14	Distributed	2018	0.1625
S14	Primary	2018	0.1625
S15	Distributed	2018	0.1625
S15	Primary	2018	0.1625
S16	Distributed	2018	0.1625
S16	Primary	2018	0.1625
S17	Distributed	2018	0.1625
S17	Primary	2018	0.1625
S18	Distributed	2018	0.1625
S18	Primary	2018	0.1625
S19	Distributed	2018	0.1625
S19	Primary	2018	0.1625
S2	Distributed	2018	0.1625
S2	Primary	2018	0.1625
S20	Distributed	2018	0.1625
S20	Primary	2018	0.1625
S21	Distributed	2018	0.1625
S21	Primary	2018	0.1625
S22	Distributed	2018	0.1625
S22	Primary	2018	0.1625
S3	Distributed	2018	0.1625
S3	Primary	2018	0.1625
S4	Distributed	2018	0.1625
S4	Primary	2018	0.1625
S5	Distributed	2018	0.1625
S5	Primary	2018	0.1625
S6	Distributed	2018	0.1625
S6	Primary	2018	0.1625
S7	Distributed	2018	0.1625
S7	Primary	2018	0.1625
S8	Distributed	2018	0.1625
S8	Primary	2018	0.1625
S9	Distributed	2018	0.1625
S9	Primary	2018	0.1625
1	Distributed	2019	0.190625
1	Primary	2019	0.190625
S1	Distributed	2019	0.190625
S1	Primary	2019	0.190625
S10	Distributed	2019	0.190625
S10	Primary	2019	0.190625
S11	Distributed	2019	0.190625
S11	Primary	2019	0.190625
S12	Distributed	2019	0.190625
S12	Primary	2019	0.190625
S13	Distributed	2019	0.190625
S13	Primary	2019	0.190625
S14	Distributed	2019	0.190625
S14	Primary	2019	0.190625
S15	Distributed	2019	0.190625
S15	Primary	2019	0.190625
S16	Distributed	2019	0.190625
S16	Primary	2019	0.190625
S17	Distributed	2019	0.190625
