ampl.tab 2 1
load_area	rps_compliance_year	rps_compliance_fraction
AZ_APS_E	2018	0.08
AZ_APS_N	2018	0.08
AZ_APS_SW	2018	0.08
AZ_NM_N	2018	0.129239
AZ_NW	2018	0.0800089
AZ_PHX	2018	0.08
AZ_SE	2018	0.08
CA_IID	2018	0.2
CA_LADWP	2018	0.2
CA_PGE_BAY	2018	0.2
CA_PGE_CEN	2018	0.2
CA_PGE_N	2018	0.2
CA_PGE_S	2018	0.2
CA_SCE_CEN	2018	0.2
CA_SCE_S	2018	0.2
CA_SCE_SE	2018	0.199905
CA_SCE_VLY	2018	0.2
CA_SDGE	2018	0.2
CA_SMUD	2018	0.2
CO_DEN	2018	0.2
CO_E	2018	0.2
CO_NW	2018	0.2
CO_SW	2018	0.2
ID_E	2018	0.000436218
ID_S_OR_E	2018	0.0141253
MT_NE	2018	0.15
MT_NW	2018	0.15
MT_SE	2018	0.149301
MT_SW	2018	0.14539
NM_N	2018	0.15
NM_S_TX_EPE	2018	0.0802483
NV_N	2018	0.199556
NV_S	2018	0.2
OR_E	2018	0.153486
OR_PDX	2018	0.139193
OR_W	2018	0.152277
OR_WA_BPA	2018	0.101925
UT_N	2018	0
UT_S	2018	0.000991342
WA_ID_AVA	2018	0.0586308
WA_N_CEN	2018	0.09
WA_SEATAC	2018	0.0891697
WA_W	2018	0.09
WY_NE	2018	0.063678
CAN_ALB	2018	0
CAN_BC	2018	0
MEX_BAJA	2018	0
WY_NW	2018	0
WY_SE	2018	0
WY_SW	2018	0
AZ_APS_E	2019	0.09
AZ_APS_N	2019	0.09
AZ_APS_SW	2019	0.09
AZ_NM_N	2019	0.132205
AZ_NW	2019	0.0900082
AZ_PHX	2019	0.09
AZ_SE	2019	0.09
CA_IID	2019	0.2
CA_LADWP	2019	0.2
CA_PGE_BAY	2019	0.2
CA_PGE_CEN	2019	0.2
CA_PGE_N	2019	0.2
CA_PGE_S	2019	0.2
CA_SCE_CEN	2019	0.2
CA_SCE_S	2019	0.2
CA_SCE_SE	2019	0.199913
CA_SCE_VLY	2019	0.2
CA_SDGE	2019	0.2
CA_SMUD	2019	0.2
CO_DEN	2019	0.2
CO_E	2019	0.2
CO_NW	2019	0.2
CO_SW	2019	0.2
ID_E	2019	0.000436218
ID_S_OR_E	2019	0.0141253
MT_NE	2019	0.15
MT_NW	2019	0.15
MT_SE	2019	0.149301
MT_SW	2019	0.14539
NM_N	2019	0.15
NM_S_TX_EPE	2019	0.0802483
NV_N	2019	0.199556
NV_S	2019	0.2
OR_E	2019	0.153486
OR_PDX	2019	0.139193
OR_W	2019	0.152277
OR_WA_BPA	2019	0.101925
UT_N	2019	0
UT_S	2019	0.000991342
WA_ID_AVA	2019	0.0586308
WA_N_CEN	2019	0.09
WA_SEATAC	2019	0.0891697
WA_W	2019	0.09
WY_NE	2019	0.063678
CAN_ALB	2019	0
CAN_BC	2019	0
MEX_BAJA	2019	0
WY_NW	2019	0
WY_SE	2019	0
WY_SW	2019	0
AZ_APS_E	2020	0.1
AZ_APS_N	2020	0.1
AZ_APS_SW	2020	0.1
AZ_NM_N	2020	0.170342
AZ_NW	2020	0.100017
AZ_PHX	2020	0.1
AZ_SE	2020	0.1
CA_IID	2020	0.33
