ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
2016010800	2014	20160108	8.0	1	0
2016010802	2014	20160108	8.0	1	2
2016010804	2014	20160108	8.0	1	4
2016010806	2014	20160108	8.0	1	6
2016010808	2014	20160108	8.0	1	8
2016010810	2014	20160108	8.0	1	10
2016010812	2014	20160108	8.0	1	12
2016010814	2014	20160108	8.0	1	14
2016010816	2014	20160108	8.0	1	16
2016010818	2014	20160108	8.0	1	18
2016010820	2014	20160108	8.0	1	20
2016010822	2014	20160108	8.0	1	22
2016011800	2014	20160118	240.0	1	0
2016011802	2014	20160118	240.0	1	2
2016011804	2014	20160118	240.0	1	4
2016011806	2014	20160118	240.0	1	6
2016011808	2014	20160118	240.0	1	8
2016011810	2014	20160118	240.0	1	10
2016011812	2014	20160118	240.0	1	12
2016011814	2014	20160118	240.0	1	14
2016011816	2014	20160118	240.0	1	16
2016011818	2014	20160118	240.0	1	18
2016011820	2014	20160118	240.0	1	20
2016011822	2014	20160118	240.0	1	22
2016022001	2014	20160220	8.0	2	1
2016022003	2014	20160220	8.0	2	3
2016022005	2014	20160220	8.0	2	5
2016022007	2014	20160220	8.0	2	7
2016022009	2014	20160220	8.0	2	9
2016022011	2014	20160220	8.0	2	11
2016022013	2014	20160220	8.0	2	13
2016022015	2014	20160220	8.0	2	15
2016022017	2014	20160220	8.0	2	17
2016022019	2014	20160220	8.0	2	19
2016022021	2014	20160220	8.0	2	21
2016022023	2014	20160220	8.0	2	23
2016022100	2014	20160221	226.0	2	0
2016022102	2014	20160221	226.0	2	2
2016022104	2014	20160221	226.0	2	4
2016022106	2014	20160221	226.0	2	6
2016022108	2014	20160221	226.0	2	8
2016022110	2014	20160221	226.0	2	10
2016022112	2014	20160221	226.0	2	12
2016022114	2014	20160221	226.0	2	14
2016022116	2014	20160221	226.0	2	16
2016022118	2014	20160221	226.0	2	18
2016022120	2014	20160221	226.0	2	20
2016022122	2014	20160221	226.0	2	22
2016030600	2014	20160306	240.0	3	0
2016030602	2014	20160306	240.0	3	2
2016030604	2014	20160306	240.0	3	4
2016030606	2014	20160306	240.0	3	6
2016030608	2014	20160306	240.0	3	8
2016030610	2014	20160306	240.0	3	10
2016030612	2014	20160306	240.0	3	12
2016030614	2014	20160306	240.0	3	14
2016030616	2014	20160306	240.0	3	16
2016030618	2014	20160306	240.0	3	18
2016030620	2014	20160306	240.0	3	20
2016030622	2014	20160306	240.0	3	22
2016032501	2014	20160325	8.0	3	1
2016032503	2014	20160325	8.0	3	3
2016032505	2014	20160325	8.0	3	5
2016032507	2014	20160325	8.0	3	7
2016032509	2014	20160325	8.0	3	9
2016032511	2014	20160325	8.0	3	11
2016032513	2014	20160325	8.0	3	13
2016032515	2014	20160325	8.0	3	15
2016032517	2014	20160325	8.0	3	17
2016032519	2014	20160325	8.0	3	19
2016032521	2014	20160325	8.0	3	21
2016032523	2014	20160325	8.0	3	23
2016040300	2014	20160403	232.0	4	0
2016040302	2014	20160403	232.0	4	2
2016040304	2014	20160403	232.0	4	4
2016040306	2014	20160403	232.0	4	6
2016040308	2014	20160403	232.0	4	8
2016040310	2014	20160403	232.0	4	10
2016040312	2014	20160403	232.0	4	12
2016040314	2014	20160403	232.0	4	14
2016040316	2014	20160403	232.0	4	16
2016040318	2014	20160403	232.0	4	18
2016040320	2014	20160403	232.0	4	20
2016040322	2014	20160403	232.0	4	22
2016042101	2014	20160421	8.0	4	1
2016042103	2014	20160421	8.0	4	3
2016042105	2014	20160421	8.0	4	5
2016042107	2014	20160421	8.0	4	7
2016042109	2014	20160421	8.0	4	9
2016042111	2014	20160421	8.0	4	11
2016042113	2014	20160421	8.0	4	13
2016042115	2014	20160421	8.0	4	15
2016042117	2014	20160421	8.0	4	17
2016042119	2014	20160421	8.0	4	19
2016042121	2014	20160421	8.0	4	21
2016042123	2014	20160421	8.0	4	23
2016051500	2014	20160515	240.0	5	0
2016051502	2014	20160515	240.0	5	2
2016051504	2014	20160515	240.0	5	4
2016051506	2014	20160515	240.0	5	6
2016051508	2014	20160515	240.0	5	8
2016051510	2014	20160515	240.0	5	10
2016051512	2014	20160515	240.0	5	12
2016051514	2014	20160515	240.0	5	14
2016051516	2014	20160515	240.0	5	16
2016051518	2014	20160515	240.0	5	18
2016051520	2014	20160515	240.0	5	20
2016051522	2014	20160515	240.0	5	22
2016052001	2014	20160520	8.0	5	1
2016052003	2014	20160520	8.0	5	3
2016052005	2014	20160520	8.0	5	5
2016052007	2014	20160520	8.0	5	7
2016052009	2014	20160520	8.0	5	9
2016052011	2014	20160520	8.0	5	11
2016052013	2014	20160520	8.0	5	13
2016052015	2014	20160520	8.0	5	15
2016052017	2014	20160520	8.0	5	17
2016052019	2014	20160520	8.0	5	19
2016052021	2014	20160520	8.0	5	21
2016052023	2014	20160520	8.0	5	23
2016061400	2014	20160614	232.0	6	0
2016061402	2014	20160614	232.0	6	2
