ampl.tab 2 2
load_area	hour	system_load	present_day_system_load
AZ_APS_E	2019121602	235	217
AZ_APS_N	2019121602	709	655
AZ_APS_SW	2019121602	596	550
AZ_NM_N	2019121602	445	411
AZ_NW	2019121602	510	471
AZ_PHX	2019121602	6356	5869
AZ_SE	2019121602	3005	2775
CAN_ALB	2019121602	10617	9804
CAN_BC	2019121602	11576	10691
CA_IID	2019121602	436	402
CA_LADWP	2019121602	4563	4214
CA_PGE_BAY	2019121602	6648	6139
CA_PGE_CEN	2019121602	4748	4385
CA_PGE_N	2019121602	4334	4002
CA_PGE_S	2019121602	1654	1527
CA_SCE_CEN	2019121602	2807	2592
CA_SCE_S	2019121602	14544	13431
CA_SCE_SE	2019121602	45	41
CA_SCE_VLY	2019121602	588	543
CA_SDGE	2019121602	3639	3360
CA_SMUD	2019121602	2382	2199
CO_DEN	2019121602	6277	5797
CO_E	2019121602	3394	3134
CO_NW	2019121602	1101	1017
CO_SW	2019121602	1046	966
ID_E	2019121602	1493	1379
ID_S_OR_E	2019121602	3101	2864
MEX_BAJA	2019121602	1535	1417
MT_NE	2019121602	452	417
MT_NW	2019121602	762	704
MT_SE	2019121602	455	420
MT_SW	2019121602	682	630
NM_N	2019121602	1313	1213
NM_S_TX_EPE	2019121602	1359	1255
NV_N	2019121602	1751	1617
NV_S	2019121602	3402	3142
OR_E	2019121602	819	756
OR_PDX	2019121602	5222	4823
OR_W	2019121602	4696	4337
OR_WA_BPA	2019121602	2030	1874
UT_N	2019121602	5422	5007
UT_S	2019121602	1345	1242
WA_ID_AVA	2019121602	2911	2689
WA_N_CEN	2019121602	1572	1452
WA_SEATAC	2019121602	7055	6515
WA_W	2019121602	4361	4027
WY_NE	2019121602	873	806
WY_NW	2019121602	288	266
WY_SE	2019121602	970	896
WY_SW	2019121602	273	252
AZ_APS_E	2019121606	192	178
AZ_APS_N	2019121606	587	542
AZ_APS_SW	2019121606	498	460
AZ_NM_N	2019121606	361	333
AZ_NW	2019121606	470	434
AZ_PHX	2019121606	5210	4811
AZ_SE	2019121606	2518	2325
CAN_ALB	2019121606	9325	8611
CAN_BC	2019121606	10191	9411
CA_IID	2019121606	408	377
CA_LADWP	2019121606	3874	3578
CA_PGE_BAY	2019121606	5375	4964
CA_PGE_CEN	2019121606	4210	3888
CA_PGE_N	2019121606	3898	3600
CA_PGE_S	2019121606	1490	1376
CA_SCE_CEN	2019121606	2316	2138
CA_SCE_S	2019121606	12006	11087
CA_SCE_SE	2019121606	37	34
CA_SCE_VLY	2019121606	485	448
CA_SDGE	2019121606	2652	2449
CA_SMUD	2019121606	1970	1819
CO_DEN	2019121606	4820	4451
CO_E	2019121606	2843	2625
CO_NW	2019121606	891	823
CO_SW	2019121606	870	804
ID_E	2019121606	1207	1115
ID_S_OR_E	2019121606	2540	2346
MEX_BAJA	2019121606	1313	1212
MT_NE	2019121606	368	340
MT_NW	2019121606	621	574
MT_SE	2019121606	370	341
MT_SW	2019121606	555	512
NM_N	2019121606	1005	928
NM_S_TX_EPE	2019121606	1034	955
NV_N	2019121606	1532	1414
NV_S	2019121606	3103	2866
OR_E	2019121606	697	644
OR_PDX	2019121606	4428	4090
OR_W	2019121606	4006	3699
OR_WA_BPA	2019121606	1736	1603
UT_N	2019121606	4344	4012
UT_S	2019121606	1108	1023
WA_ID_AVA	2019121606	2486	2296
WA_N_CEN	2019121606	1396	1289
WA_SEATAC	2019121606	5987	5529
WA_W	2019121606	3671	3390
WY_NE	2019121606	736	680
WY_NW	2019121606	238	220
WY_SE	2019121606	815	753
WY_SW	2019121606	219	203
AZ_APS_E	2019121610	189	174
AZ_APS_N	2019121610	578	534
AZ_APS_SW	2019121610	492	455
AZ_NM_N	2019121610	339	313
AZ_NW	2019121610	476	439
AZ_PHX	2019121610	5109	4718
AZ_SE	2019121610	2441	2255
CAN_ALB	2019121610	8746	8077
CAN_BC	2019121610	8572	7916
CA_IID	2019121610	293	270
CA_LADWP	2019121610	3007	2777
CA_PGE_BAY	2019121610	4270	3943
CA_PGE_CEN	2019121610	3500	3232
CA_PGE_N	2019121610	3281	3030
CA_PGE_S	2019121610	1252	1156
CA_SCE_CEN	2019121610	1770	1634
CA_SCE_S	2019121610	9177	8475
CA_SCE_SE	2019121610	28	26
CA_SCE_VLY	2019121610	371	343
CA_SDGE	2019121610	2014	1860
CA_SMUD	2019121610	1529	1412
CO_DEN	2019121610	4397	4061
CO_E	2019121610	2657	2454
CO_NW	2019121610	826	762
CO_SW	2019121610	812	750
ID_E	2019121610	1183	1092
ID_S_OR_E	2019121610	2458	2270
MEX_BAJA	2019121610	1052	971
MT_NE	2019121610	348	322
MT_NW	2019121610	587	542
MT_SE	2019121610	351	324
MT_SW	2019121610	527	486
NM_N	2019121610	887	820
NM_S_TX_EPE	2019121610	897	829
NV_N	2019121610	1377	1272
NV_S	2019121610	2718	2510
OR_E	2019121610	622	575
OR_PDX	2019121610	3687	3405
OR_W	2019121610	3501	3233
OR_WA_BPA	2019121610	1543	1425
UT_N	2019121610	4180	3861
UT_S	2019121610	1060	979
WA_ID_AVA	2019121610	2175	2009
WA_N_CEN	2019121610	1339	1237
WA_SEATAC	2019121610	4977	4596
WA_W	2019121610	3079	2844
WY_NE	2019121610	694	641
WY_NW	2019121610	227	210
WY_SE	2019121610	770	711
WY_SW	2019121610	212	196
AZ_APS_E	2019121614	258	238
AZ_APS_N	2019121614	772	713
AZ_APS_SW	2019121614	645	596
AZ_NM_N	2019121614	426	393
AZ_NW	2019121614	504	466
AZ_PHX	2019121614	7028	6490
AZ_SE	2019121614	2989	2760
CAN_ALB	2019121614	10049	9280
CAN_BC	2019121614	9823	9072
CA_IID	2019121614	344	318
CA_LADWP	2019121614	3597	3321
CA_PGE_BAY	2019121614	5735	5296
CA_PGE_CEN	2019121614	4280	3953
CA_PGE_N	2019121614	3965	3661
CA_PGE_S	2019121614	1513	1397
CA_SCE_CEN	2019121614	2218	2048
CA_SCE_S	2019121614	11491	10612
CA_SCE_SE	2019121614	35	33
CA_SCE_VLY	2019121614	465	430
CA_SDGE	2019121614	2864	2644
CA_SMUD	2019121614	2006	1853
CO_DEN	2019121614	5617	5187
CO_E	2019121614	3196	2951
CO_NW	2019121614	1017	939
CO_SW	2019121614	981	906
ID_E	2019121614	1553	1434
ID_S_OR_E	2019121614	3193	2949
MEX_BAJA	2019121614	1155	1067
MT_NE	2019121614	449	415
MT_NW	2019121614	757	699
MT_SE	2019121614	453	418
MT_SW	2019121614	681	629
NM_N	2019121614	1144	1056
NM_S_TX_EPE	2019121614	1152	1064
NV_N	2019121614	1618	1494
NV_S	2019121614	3184	2941
OR_E	2019121614	803	741
OR_PDX	2019121614	4884	4510
OR_W	2019121614	4563	4214
OR_WA_BPA	2019121614	2000	1847
UT_N	2019121614	5439	5023
UT_S	2019121614	1341	1238
WA_ID_AVA	2019121614	2725	2517
WA_N_CEN	2019121614	1627	1503
WA_SEATAC	2019121614	6731	6216
WA_W	2019121614	4172	3853
WY_NE	2019121614	837	773
WY_NW	2019121614	282	261
WY_SE	2019121614	934	863
WY_SW	2019121614	276	254
AZ_APS_E	2019121618	203	187
AZ_APS_N	2019121618	610	564
AZ_APS_SW	2019121618	510	471
AZ_NM_N	2019121618	375	347
AZ_NW	2019121618	423	390
AZ_PHX	2019121618	5476	5057
AZ_SE	2019121618	2596	2398
CAN_ALB	2019121618	10119	9345
CAN_BC	2019121618	10835	10006
CA_IID	2019121618	392	362
CA_LADWP	2019121618	4208	3886
CA_PGE_BAY	2019121618	6042	5580
CA_PGE_CEN	2019121618	4467	4125
CA_PGE_N	2019121618	4112	3797
CA_PGE_S	2019121618	1571	1451
CA_SCE_CEN	2019121618	2470	2281
CA_SCE_S	2019121618	12809	11829
CA_SCE_SE	2019121618	39	36
CA_SCE_VLY	2019121618	518	478
CA_SDGE	2019121618	2868	2649
CA_SMUD	2019121618	2179	2012
CO_DEN	2019121618	5602	5173
CO_E	2019121618	3118	2879
CO_NW	2019121618	1000	923
CO_SW	2019121618	959	885
ID_E	2019121618	1378	1272
ID_S_OR_E	2019121618	2897	2676
MEX_BAJA	2019121618	1247	1152
MT_NE	2019121618	423	391
MT_NW	2019121618	714	659
MT_SE	2019121618	425	393
MT_SW	2019121618	638	589
NM_N	2019121618	1101	1016
NM_S_TX_EPE	2019121618	1126	1039
NV_N	2019121618	1611	1487
NV_S	2019121618	2903	2681
OR_E	2019121618	770	711
OR_PDX	2019121618	4776	4411
OR_W	2019121618	4395	4059
OR_WA_BPA	2019121618	1917	1770
UT_N	2019121618	4948	4570
UT_S	2019121618	1223	1130
WA_ID_AVA	2019121618	2729	2520
WA_N_CEN	2019121618	1572	1452
WA_SEATAC	2019121618	6586	6082
WA_W	2019121618	4045	3736
WY_NE	2019121618	805	743
WY_NW	2019121618	265	245
WY_SE	2019121618	894	825
WY_SW	2019121618	249	230
AZ_APS_E	2019121622	181	167
AZ_APS_N	2019121622	548	506
AZ_APS_SW	2019121622	460	425
AZ_NM_N	2019121622	349	322
AZ_NW	2019121622	408	376
AZ_PHX	2019121622	4853	4481
AZ_SE	2019121622	2420	2235
CAN_ALB	2019121622	10021	9254
CAN_BC	2019121622	10126	9351
CA_IID	2019121622	370	341
CA_LADWP	2019121622	4089	3777
CA_PGE_BAY	2019121622	5790	5347
CA_PGE_CEN	2019121622	4261	3935
CA_PGE_N	2019121622	3917	3617
CA_PGE_S	2019121622	1497	1383
CA_SCE_CEN	2019121622	2356	2176
CA_SCE_S	2019121622	12228	11293
CA_SCE_SE	2019121622	37	35
CA_SCE_VLY	2019121622	494	456
CA_SDGE	2019121622	2880	2659
CA_SMUD	2019121622	2103	1942
CO_DEN	2019121622	5542	5118
CO_E	2019121622	3035	2803
CO_NW	2019121622	979	904
CO_SW	2019121622	934	863
ID_E	2019121622	1307	1207
ID_S_OR_E	2019121622	2733	2524
MEX_BAJA	2019121622	1214	1121
MT_NE	2019121622	407	376
MT_NW	2019121622	686	633
MT_SE	2019121622	409	378
MT_SW	2019121622	612	566
NM_N	2019121622	1031	952
NM_S_TX_EPE	2019121622	1053	972
NV_N	2019121622	1507	1392
NV_S	2019121622	2618	2418
OR_E	2019121622	703	649
OR_PDX	2019121622	4324	3993
OR_W	2019121622	3981	3676
OR_WA_BPA	2019121622	1735	1603
UT_N	2019121622	4773	4408
UT_S	2019121622	1157	1068
WA_ID_AVA	2019121622	2596	2397
WA_N_CEN	2019121622	1476	1363
WA_SEATAC	2019121622	5837	5391
WA_W	2019121622	3569	3296
WY_NE	2019121622	781	721
WY_NW	2019121622	257	237
WY_SE	2019121622	867	801
WY_SW	2019121622	240	222
AZ_APS_E	2020121400	196	181
AZ_APS_N	2020121400	606	560
AZ_APS_SW	2020121400	517	478
AZ_NM_N	2020121400	407	375
AZ_NW	2020121400	532	491
AZ_PHX	2020121400	5248	4847
AZ_SE	2020121400	2850	2632
CAN_ALB	2020121400	10563	9754
CAN_BC	2020121400	10836	10007
CA_IID	2020121400	363	335
CA_LADWP	2020121400	4454	4113
CA_PGE_BAY	2020121400	6245	5767
CA_PGE_CEN	2020121400	4358	4025
CA_PGE_N	2020121400	4022	3714
CA_PGE_S	2020121400	1537	1419
CA_SCE_CEN	2020121400	2484	2294
CA_SCE_S	2020121400	12902	11915
CA_SCE_SE	2020121400	39	36
CA_SCE_VLY	2020121400	520	481
CA_SDGE	2020121400	3452	3188
CA_SMUD	2020121400	2055	1898
CO_DEN	2020121400	6143	5673
CO_E	2020121400	3386	3127
CO_NW	2020121400	1090	1007
CO_SW	2020121400	1042	962
ID_E	2020121400	1271	1174
ID_S_OR_E	2020121400	2541	2346
MEX_BAJA	2020121400	1312	1212
MT_NE	2020121400	425	392
MT_NW	2020121400	713	659
MT_SE	2020121400	426	394
MT_SW	2020121400	636	588
NM_N	2020121400	1188	1097
NM_S_TX_EPE	2020121400	1286	1187
NV_N	2020121400	1545	1426
NV_S	2020121400	2711	2504
OR_E	2020121400	678	626
OR_PDX	2020121400	4212	3890
OR_W	2020121400	3824	3531
OR_WA_BPA	2020121400	1654	1528
UT_N	2020121400	5146	4752
UT_S	2020121400	1342	1239
