ampl.tab 2 6
la_start	la_end	transmission_line_id	existing_transfer_capacity_mw	transmission_length_km	transmission_efficiency	new_transmission_builds_allowed	dc_line
1	S18	135	0	755.445554953289	0.999	1	0
1	S4	133	0	2070.13247569471	0.999	1	1
S1	S10	32	963.5	36.0465	0.997760174331902	1	0
S1	S11	33	2600	189.67	0.988214452596834	1	0
S1	S18	36	441.2	34.43025	0.997860603450847	1	0
S1	S8	51	571.1	22.6645	0.998591693261354	1	0
S10	S1	1	963.5	36.0465	0.997760174331902	1	0
S11	S1	2	2600	189.67	0.988214452596834	1	0
S11	S3	60	1400	309.59	0.980762969259524	1	0
S11	S4	61	1400	240.3	0.985068450250537	1	0
S11	S8	52	827.9	37.468	0.997671846416925	1	0
S12	S2	37	178.7	23.16175	0.99856079557882	1	0
S13	S3	43	2000	49.58	0.996919241628887	1	0
S13	S5	45	35.1	61.919	0.996152531714786	1	0
S13	S9	56	637	17.79	0.99889458064901	1	0
S14	S8	53	27.9	76.54	0.995244024894615	1	0
S15	S16	34	826.8	110.9584	0.993105364670325	1	0
S15	S7	49	594.6	70.347	0.995628840073968	1	0
S16	S15	3	826.8	110.9584	0.993105364670325	1	0
S16	S17	35	220	75.3	0.995321074922453	1	0
S17	S16	4	220	75.3	0.995321074922453	1	0
S17	S22	127	0	554.444171339018	1	1	0
S18	1	136	0	755.445554953289	0.999	1	0
S18	S1	5	441.2	34.43025	0.997860603450847	1	0
S18	S2	38	301.7	32.73	0.997966252087807	1	0
S19	S20	39	340	146	0.990927980593335	1	0
S2	S12	6	178.7	23.16175	0.99856079557882	1	0
S2	S18	7	301.7	32.73	0.997966252087807	1	0
S20	S19	8	340	146	0.990927980593335	1	0
S20	S21	40	787	67.85	0.99578399646067	1	0
S20	S22	41	2013.7040128	150.6	0.990642149844906	1	0
S21	S20	9	787	67.85	0.99578399646067	1	0
S21	S22	42	883	26	0.998384434900183	1	0
S22	S17	128	0	554.444171339018	1	1	0
S22	S20	10	2013.7040128	150.6	0.990642149844906	1	0
S22	S21	11	883	26	0.998384434900183	1	0
S3	S11	12	1400	309.59	0.980762969259524	1	0
S3	S13	13	2000	49.58	0.996919241628887	1	0
S3	S4	44	3476	24	0.99850870913863	1	0
S3	S5	46	3000	76.58	0.995241539409846	1	0
S3	S6	47	620	0	1	1	0
S3	S9	57	280	3.2	0.999801161218484	1	0
S4	1	134	0	2070.13247569471	0.999	1	1
S4	S11	14	1400	240.3	0.985068450250537	1	0
S4	S3	15	3476	24	0.99850870913863	1	0
S4	S6	48	1971.2	2.9899	0.999814216227233	1	0
S4	S8	54	256	0	1	1	0
S4	S9	58	345	0	1	1	0
S5	S13	16	35.1	61.919	0.996152531714786	1	0
S5	S3	17	3000	76.58	0.995241539409846	1	0
S5	S7	50	550	74.8431666666667	0.995349461229752	1	0
S5	S9	62	1200	30.1	0.998129672711366	1	0
S6	S3	18	620	0	1	1	0
S6	S4	19	1971.2	2.9899	0.999814216227233	1	0
S6	S8	55	42.2	22.1475	0.998623818151992	1	0
S6	S9	59	354.8	0	1	1	0
S7	S15	20	594.6	70.347	0.995628840073968	1	0
S7	S5	21	550	74.8431666666667	0.995349461229752	1	0
S8	S1	22	571.1	22.6645	0.998591693261354	1	0
S8	S11	23	827.9	37.468	0.997671846416925	1	0
S8	S14	24	27.9	76.54	0.995244024894615	1	0
S8	S4	25	256	0	1	1	0
S8	S6	26	42.2	22.1475	0.998623818151992	1	0
S9	S13	27	637	17.79	0.99889458064901	1	0
S9	S3	28	280	3.2	0.999801161218484	1	0
S9	S4	29	345	0	1	1	0
S9	S5	30	1200	30.1	0.998129672711366	1	0
S9	S6	31	354.8	0	1	1	0
