ep_id,technology,load_area,plant_name,eia_id,start_year,prime_mover,cogen,fuel,capacity_mw,heat_rate,cogen_thermal_demand_mmbtus_per_mwh
5000000,Hydro_NonPumped_EP,AZ_APS_N,Glen_Canyon_Dam,153,1965,HY,0,Water,495,0,0
5000001,Hydro_NonPumped_EP,AZ_APS_N,Glen_Canyon_Dam,153,1966,HY,0,Water,322,0,0
5000002,Hydro_NonPumped_EP,AZ_APS_N,Glen_Canyon_Dam,153,1964,HY,0,Water,495,0,0
5000003,Hydro_Pumped_EP,AZ_APS_N,Waddell,7164,1993,PS,0,Water,40,0,0
5000004,Hydro_NonPumped_EP,AZ_NM_N,Navajo_Dam,584,1989,HY,0,Water,30,0,0
5000005,Hydro_NonPumped_EP,AZ_NW,Davis_Dam,152,1951,HY,0,Water,254.8,0,0
5000006,Hydro_NonPumped_EP,AZ_PHX,Horse_Mesa,145,1927,HY,0,Water,29.7,0,0
5000007,Hydro_Pumped_EP,AZ_PHX,Horse_Mesa,145,1972,PS,0,Water,99.8,0,0
5000008,Hydro_NonPumped_EP,AZ_PHX,Mormon_Flat,148,1926,HY,0,Water,9.2,0,0
5000009,Hydro_Pumped_EP,AZ_PHX,Mormon_Flat,148,1971,PS,0,Water,54.3,0,0
5000010,Hydro_NonPumped_EP,AZ_PHX,Roosevelt,149,1973,HY,0,Water,36,0,0
5000011,Hydro_NonPumped_EP,AZ_PHX,South_Consolidated,100,1981,HY,0,Water,1.4,0,0
5000012,Hydro_NonPumped_EP,AZ_PHX,Stewart_Mountain,150,1930,HY,0,Water,13,0,0
5000013,Hydro_NonPumped_EP,CA_IID,Drop_1,585,1984,HY,0,Water,5.7,0,0
5000014,Hydro_NonPumped_EP,CA_IID,Drop_2,385,1953,HY,0,Water,10,0,0
5000015,Hydro_NonPumped_EP,CA_IID,Drop_3,386,1941,HY,0,Water,4.8,0,0
5000016,Hydro_NonPumped_EP,CA_IID,Drop_3,386,1966,HY,0,Water,5,0,0
5000017,Hydro_NonPumped_EP,CA_IID,Drop_4,387,1950,HY,0,Water,10,0,0
5000018,Hydro_NonPumped_EP,CA_IID,Drop_4,387,1941,HY,0,Water,9.6,0,0
5000019,Hydro_NonPumped_EP,CA_IID,Drop_5,314,1982,HY,0,Water,4,0,0
5000020,Hydro_NonPumped_EP,CA_IID,East_Highline,586,1984,HY,0,Water,2.4,0,0
5000021,Hydro_NonPumped_EP,CA_IID,Pilot_Knob,388,1957,HY,0,Water,33,0,0
5000022,Hydro_NonPumped_EP,CA_IID,Siphon_Drop_Power_Plant,57364,1987,HY,0,Water,4.4,0,0
5000023,Hydro_NonPumped_EP,CA_IID,Whitewater_Hydro_Plant,10162,1986,HY,0,Water,1.3,0,0
5000024,Hydro_NonPumped_EP,CA_LADWP,East_Portal_Generator,50375,1987,HY,0,Water,1.2,0,0
5000025,Hydro_NonPumped_EP,CA_LADWP,Franklin,397,1921,HY,0,Water,2,0,0
5000026,Hydro_NonPumped_EP,CA_LADWP,Greg_Avenue,6643,1979,HY,0,Water,1,0,0
5000027,Hydro_Pumped_EP,CA_LADWP,North_Hollywood,57854,1993,PS,0,Water,5.4,0,0
5000028,Hydro_NonPumped_EP,CA_LADWP,San_Fernando,403,1922,HY,0,Water,5.6,0,0
5000029,Hydro_NonPumped_EP,CA_LADWP,Sepulveda_Canyon,316,1982,HY,0,Water,8.5,0,0
5000030,Hydro_NonPumped_EP,CA_LADWP,Venice,72,1982,HY,0,Water,10.1,0,0
5000808,Hydro_NonPumped_EP,CAN_ALB,Barrier,613822,1947,HY,0,Water,11.3,0,0
5000809,Hydro_NonPumped_EP,CAN_ALB,Bearspaw,613818,1954,HY,0,Water,16,0,0
5000810,Hydro_NonPumped_EP,CAN_ALB,Belly_River_CHD,914758,1991,HY,0,Water,3,0,0
5000811,Hydro_NonPumped_EP,CAN_ALB,Bighorn,608268,1972,HY,0,Water,120,0,0
5000813,Hydro_NonPumped_EP,CAN_ALB,Brazeau,608273,1965,HY,0,Water,162,0,0
5000812,Hydro_NonPumped_EP,CAN_ALB,Brazeau,608273,1967,HY,0,Water,200,0,0
5000814,Hydro_NonPumped_EP,CAN_ALB,Cascade_AB,613814,1942,HY,0,Water,34,0,0
5000815,Hydro_NonPumped_EP,CAN_ALB,Chin_Chute,608330,1957,HY,0,Water,11,0,0
5000816,Hydro_NonPumped_EP,CAN_ALB,Dickson_Dam,608403,1992,HY,0,Water,16.8,0,0
5000817,Hydro_NonPumped_EP,CAN_ALB,Ghost,613812,1954,HY,0,Water,59,0,0
5000818,Hydro_NonPumped_EP,CAN_ALB,Horseshoe,613801,1911,HY,0,Water,18,0,0
5000819,Hydro_NonPumped_EP,CAN_ALB,Interlakes,613797,1955,HY,0,Water,5,0,0
5000820,Hydro_NonPumped_EP,CAN_ALB,Irrican,587595,2004,HY,0,Water,7,0,0
5000821,Hydro_NonPumped_EP,CAN_ALB,Kananaskis,613792,1951,HY,0,Water,16.8,0,0
5000822,Hydro_NonPumped_EP,CAN_ALB,Oldman_River,618215,2003,HY,0,Water,32.2,0,0
5000823,Hydro_NonPumped_EP,CAN_ALB,Pocaterra,613786,1955,HY,0,Water,12.5,0,0
5000824,Hydro_NonPumped_EP,CAN_ALB,Raymond_Reservoir,608332,1994,HY,0,Water,18,0,0
5000825,Hydro_NonPumped_EP,CAN_ALB,Rundle,613779,1960,HY,0,Water,47.3,0,0
5000826,Hydro_NonPumped_EP,CAN_ALB,Spray,613726,1960,HY,0,Water,104,0,0
5000827,Hydro_NonPumped_EP,CAN_ALB,Taylor_Chute,608383,2000,HY,0,Water,12.6,0,0
5000828,Hydro_NonPumped_EP,CAN_ALB,Three_Sisters,613773,2000,HY,0,Water,2.7,0,0
5000829,Hydro_NonPumped_EP,CAN_ALB,Waterton_CHD,914761,1992,HY,0,Water,2.8,0,0
5000830,Hydro_NonPumped_EP,CAN_BC,Aberfeldie,608213,1953,HY,0,Water,24,0,0
5000831,Hydro_NonPumped_EP,CAN_BC,Akolkolex,676433,1995,HY,0,Water,9,0,0
5000832,Hydro_NonPumped_EP,CAN_BC,Alouette,608216,1928,HY,0,Water,9,0,0
