gen_info_scenario_id	technology	prime_mover	fuel	heat_rate_mmbtu_per_mwh	forced_outage_rate	scheduled_outage_rate	storage	storage_efficiency	distributed	max_age_years	year_1_cost_fraction	year_2_cost_fraction	year_3_cost_fraction	year_4_cost_fraction	year_5_cost_fraction	year_6_cost_fraction
8	CCGT	CC	Gas	6.705	0.04	0.06	f	0	f	20	0.25	0.75	0	0	0	0
8	CCGT_CCS	CC	Gas_CCS	10.08	0.04	0.06	f	0	f	20	0.25	0.75	0	0	0	0
8	Gas_Combustion_Turbine	GT	Gas	10.39	0.03	0.05	f	0	f	20	0.25	0.75	0	0	0	0
8	Gas_Combustion_Turbine_CCS	GT	Gas_CCS	15.62	0.03	0.05	f	0	f	20	0.25	0.75	0	0	0	0
8	Gas_Steam_Turbine	ST	Gas		0.1288	0.0915	f	0	f	40	0.2	0.8	0	0	0	0
8	Coal_Steam_Turbine	ST	Coal	9	0.06	0.1	f	0	f	40	0.2	0.8	0	0	0	0
8	Coal_Steam_Turbine_CCS	ST	Coal_CCS	12.1	0.06	0.1	f	0	f	40	0.2	0.8	0	0	0	0
8	Coal_IGCC	CC	Coal	7.95	0.08	0.12	f	0	f	40	0.2	0.8	0	0	0	0
8	Coal_IGCC_CCS	CC	Coal_CCS	10.38	0.08	0.12	f	0	f	40	0.2	0.8	0	0	0	0
8	Biomass_IGCC	CC	Bio_Solid	12.5	0.09	0.076	f	0	f	40	0.25	0.75	0	0	0	0
8	Biomass_IGCC_CCS	CC	Bio_Solid_CCS	16.321	0.09	0.076	f	0	f	40	0.25	0.75	0	0	0	0
8	Bio_Gas	IC	Bio_Gas	13.5	0.11	0.04	f	0	f	20	1	0	0	0	0	0
8	Nuclear	ST	Uranium	9.72	0.04	0.06	f	0	f	40	0.56	0.2	0.14	0.06	0.02	0.02
8	Geothermal	ST	Geothermal	0	0.0075	0.0241	f	0	f	30	0.2	0.4	0.4	0	0	0
8	Residential_PV	PV	Solar	0	0	0.02	f	0	t	20	1	0	0	0	0	0
8	Commercial_PV	PV	Solar	0	0	0.02	f	0	t	20	1	0	0	0	0	0
8	Central_PV	PV	Solar	0	0	0.02	f	0	f	20	1	0	0	0	0	0
8	CSP_Trough_No_Storage	ST	Solar	0	0.06	0	f	0	f	20	1	0	0	0	0	0
8	CSP_Trough_6h_Storage	ST	Solar	0	0.06	0	f	0	f	20	1	0	0	0	0	0
8	Wind	WT	Wind	0	0.05	0.006	f	0	f	30	0.05	0.95	0	0	0	0
8	Offshore_Wind	WT	Wind	0	0.05	0.006	f	0	f	30	0.05	0.95	0	0	0	0
8	Hydro_NonPumped	HY	Water	0	0.05	0.019	f	0	f	30	0.1	0.2	0.2	0.2	0.2	0.1
8	Hydro_Pumped	PS	Water	0	0.03	0.038	t	0.74	f	30	0.1	0.2	0.2	0.2	0.2	0.1
8	Compressed_Air_Energy_Storage	CE	Gas	4.91	0.03	0.04	t	0.817	f	30	0.1	0.2	0.2	0.2	0.2	0.1
8	Battery_Storage	BA	Storage	0	0.02	0.0055	t	0.75	f	10	0.8	0.1	0.1	0	0	0
