ep_id,month,avg_capacity_factor_hydro
5000000,1,0.35949
5000000,2,0.33216
5000000,3,0.30786
5000000,4,0.28677
5000000,5,0.30004
5000000,6,0.38090
5000000,7,0.41540
5000000,8,0.41523
5000000,9,0.28082
5000000,10,0.27986
5000000,11,0.31826
5000000,12,0.37551
5000001,1,0.35949
5000001,2,0.33216
5000001,3,0.30786
5000001,4,0.28677
5000001,5,0.30004
5000001,6,0.38090
5000001,7,0.41540
5000001,8,0.41523
5000001,9,0.28082
5000001,10,0.27986
5000001,11,0.31826
5000001,12,0.37551
5000002,1,0.35949
5000002,2,0.33216
5000002,3,0.30786
5000002,4,0.28677
5000002,5,0.30004
5000002,6,0.38090
5000002,7,0.41540
5000002,8,0.41523
5000002,9,0.28082
5000002,10,0.27986
5000002,11,0.31826
5000002,12,0.37551
5000003,1,0.03031
5000003,2,0.03594
5000003,3,0.03781
5000003,4,0.05000
5000003,5,0.10250
5000003,6,0.26750
5000003,7,0.44781
5000003,8,0.40719
5000003,9,0.10094
5000003,10,0.02688
5000003,11,0.03688
5000003,12,0.03969
5000004,1,0.36750
5000004,2,0.35625
5000004,3,0.37708
5000004,4,0.45333
5000004,5,0.51333
5000004,6,0.57125
5000004,7,0.51542
5000004,8,0.42708
5000004,9,0.33958
5000004,10,0.28750
5000004,11,0.30708
5000004,12,0.34875
5000005,1,0.34130
5000005,2,0.41390
5000005,3,0.56731
5000005,4,0.68892
5000005,5,0.64771
5000005,6,0.64193
5000005,7,0.59493
5000005,8,0.51423
5000005,9,0.49411
5000005,10,0.40301
5000005,11,0.35994
5000005,12,0.29616
5000006,1,0.04714
5000006,2,0.04588
5000006,3,0.14689
5000006,4,0.12037
5000006,5,0.12542
5000006,6,0.18098
5000006,7,0.17887
5000006,8,0.15825
5000006,9,0.15825
5000006,10,0.06061
5000006,11,0.04714
5000006,12,0.06734
5000007,1,0.01190
5000007,2,0.04584
5000007,3,0.09281
5000007,4,0.12725
5000007,5,0.15431
5000007,6,0.14955
5000007,7,0.16721
5000007,8,0.16220
5000007,9,0.15506
5000007,10,0.06012
5000007,11,0.01365
5000007,12,0.00551
5000008,1,0.08152
5000008,2,0.06522
5000008,3,0.16168
5000008,4,0.11821
5000008,5,0.13587
5000008,6,0.19293
5000008,7,0.21467
5000008,8,0.17255
5000008,9,0.16984
5000008,10,0.18750
5000008,11,0.05163
5000008,12,0.08288
5000009,1,0.00345
5000009,2,0.07459
5000009,3,0.10198
5000009,4,0.11786
5000009,5,0.12822
5000009,6,0.15239
5000009,7,0.16920
5000009,8,0.15838
5000009,9,0.15562
5000009,10,0.04397
5000009,11,0.01634
5000009,12,0.00506
5000010,1,0.29028
5000010,2,0.27222
5000010,3,0.30764
5000010,4,0.32639
5000010,5,0.33021
5000010,6,0.34201
5000010,7,0.34653
5000010,8,0.31701
5000010,9,0.24479
5000010,10,0.23021
5000010,11,0.26910
5000010,12,0.27465
5000011,1,0.17857
5000011,2,0.17857
5000011,3,0.17857
5000011,4,0.18750
5000011,5,0.20536
5000011,6,0.21429
5000011,7,0.22321
5000011,8,0.20536
5000011,9,0.15179
5000011,10,0.14286
5000011,11,0.16964
5000011,12,0.16964
5000012,1,0.31827
5000012,2,0.30192
5000012,3,0.33942
5000012,4,0.36250
5000012,5,0.36635
5000012,6,0.38269
5000012,7,0.38077
5000012,8,0.34519
5000012,9,0.26731
5000012,10,0.24904
5000012,11,0.28942
5000012,12,0.29615
5000013,1,0.22807
5000013,2,0.26535
5000013,3,0.36184
5000013,4,0.42763
5000013,5,0.47149
5000013,6,0.50439
5000013,7,0.51754
5000013,8,0.46491
5000013,9,0.35965
5000013,10,0.28728
5000013,11,0.24123
5000013,12,0.23026
5000014,1,0.36000
5000014,2,0.46625
5000014,3,0.56375
5000014,4,0.67500
5000014,5,0.77000
5000014,6,0.71375
5000014,7,0.74875
5000014,8,0.67750
5000014,9,0.53000
5000014,10,0.41000
5000014,11,0.34625
5000014,12,0.34000
5000015,1,0.33036
5000015,2,0.39158
5000015,3,0.48852
5000015,4,0.70791
5000015,5,0.80230
5000015,6,0.80867
5000015,7,0.82526
5000015,8,0.75638
5000015,9,0.52168
5000015,10,0.42730
5000015,11,0.36352
5000015,12,0.34184
5000016,1,0.33036
5000016,2,0.39158
5000016,3,0.48852
5000016,4,0.70791
5000016,5,0.80230
5000016,6,0.80867
5000016,7,0.82526
5000016,8,0.75638
5000016,9,0.52168
5000016,10,0.42730
5000016,11,0.36352
5000016,12,0.34184
5000017,1,0.37309
5000017,2,0.41135
5000017,3,0.59630
5000017,4,0.76020
5000017,5,0.84885
5000017,6,0.84375
5000017,7,0.86862
5000017,8,0.73724
5000017,9,0.58482
5000017,10,0.45344
5000017,11,0.36288
5000017,12,0.32270
5000018,1,0.37309
5000018,2,0.41135
5000018,3,0.59630
5000018,4,0.76020
5000018,5,0.84885
5000018,6,0.84375
5000018,7,0.86862
5000018,8,0.73724
5000018,9,0.58482
5000018,10,0.45344
5000018,11,0.36288
5000018,12,0.32270
5000019,1,0.25000
5000019,2,0.28125
5000019,3,0.41250
5000019,4,0.53125
5000019,5,0.57813
5000019,6,0.57500
5000019,7,0.62188
5000019,8,0.47813
5000019,9,0.40313
5000019,10,0.31875
5000019,11,0.24688
5000019,12,0.24688
5000020,1,0.10938
5000020,2,0.10938
5000020,3,0.13021
5000020,4,0.20313
5000020,5,0.23438
5000020,6,0.24479
5000020,7,0.23958
5000020,8,0.23438
5000020,9,0.17708
5000020,10,0.13021
5000020,11,0.08333
5000020,12,0.07292
5000021,1,0.07083
5000021,2,0.08826
5000021,3,0.11023
5000021,4,0.12992
5000021,5,0.09773
5000021,6,0.10492
5000021,7,0.10909
5000021,8,0.09167
5000021,9,0.06288
5000021,10,0.04659
5000021,11,0.04394
5000021,12,0.06098
5000022,1,0.23580
5000022,2,0.27841
5000022,3,0.37216
5000022,4,0.46875
5000022,5,0.51989
5000022,6,0.52557
5000022,7,0.53409
5000022,8,0.46875
5000022,9,0.35511
5000022,10,0.27273
5000022,11,0.23580
5000022,12,0.23864
5000023,1,0.25000
5000023,2,0.26923
5000023,3,0.31731
5000023,4,0.40385
5000023,5,0.47115
5000023,6,0.49038
5000023,7,0.48077
5000023,8,0.42308
5000023,9,0.29808
5000023,10,0.21154
5000023,11,0.21154
5000023,12,0.21154
5000024,1,0.42708
5000024,2,0.41667
5000024,3,0.51042
5000024,4,0.65625
5000024,5,0.76042
5000024,6,0.77083
