project_id,technology,original_dataset_id,load_area,capacity_limit,capacity_limit_conversion,connect_cost_per_mw,location_id
19300,Compressed_Air_Energy_Storage,,CA_LADWP,70366.7606491661,1,,
19050,Bio_Gas,,NV_N,24.4848318556916,1,,
19051,Bio_Gas,,CA_PGE_N,120.87387490249,1,,
19052,Bio_Gas,,CO_E,77.1400439255877,1,,
19053,Bio_Gas,,CA_SCE_S,196.085522703592,1,,
19054,Bio_Gas,,UT_N,60.0665731663629,1,,
19055,Bio_Gas,,CA_SCE_VLY,24.9791535060293,1,,
19056,Bio_Gas,,MT_SW,2.20170693390297,1,,
19057,Bio_Gas,,OR_E,5.70981899246713,1,,
19058,Bio_Gas,,CO_NW,34.8913221253819,1,,
19059,Bio_Gas,,CA_LADWP,45.8680538610512,1,,
19060,Bio_Gas,,NV_S,44.5458979468147,1,,
19061,Bio_Gas,,WA_ID_AVA,14.6183332628868,1,,
19062,Bio_Gas,,CO_SW,7.02741051099501,1,,
19063,Bio_Gas,,WY_NW,0.31989691266046,1,,
19064,Bio_Gas,,AZ_APS_SW,70.3245475680052,1,,
19065,Bio_Gas,,CA_SDGE,99.9347913325609,1,,
19066,Bio_Gas,,CA_PGE_CEN,127.156074021182,1,,
19067,Bio_Gas,,OR_W,48.5704802525975,1,,
19068,Bio_Gas,,WA_SEATAC,24.6506253964016,1,,
19069,Bio_Gas,,WA_W,144.413678457432,1,,
19070,Bio_Gas,,NM_N,32.6526050610323,1,,
19071,Bio_Gas,,AZ_APS_N,11.7335624968116,1,,
19072,Bio_Gas,,WY_SE,8.92665832100465,1,,
19073,Bio_Gas,,AZ_PHX,27.7549920217199,1,,
19074,Bio_Gas,,OR_PDX,29.7214701799817,1,,
19075,Bio_Gas,,MT_NW,8.4985453907838,1,,
19076,Bio_Gas,,CA_PGE_BAY,168.037589124581,1,,
19077,Bio_Gas,,AZ_NW,0.295674368345651,1,,
19078,Bio_Gas,,WA_N_CEN,10.0439365313332,1,,
19079,Bio_Gas,,WY_SW,0.244417055758871,1,,
19080,Bio_Gas,,CA_SCE_CEN,366.373242276696,1,,
19081,Bio_Gas,,MT_SE,0.577709213506034,1,,
19082,Bio_Gas,,CO_DEN,142.459069693738,1,,
19083,Bio_Gas,,OR_WA_BPA,98.209229295543,1,,
19084,Bio_Gas,,MT_NE,10.7103134240396,1,,
19085,Bio_Gas,,UT_S,16.7515851970667,1,,
19086,Bio_Gas,,CA_SMUD,28.2483956531104,1,,
19087,Bio_Gas,,CA_PGE_S,65.8737381982625,1,,
19088,Bio_Gas,,AZ_APS_E,4.19259182270312,1,,
19089,Bio_Gas,,NM_S_TX_EPE,32.773299570746,1,,
19090,Bio_Gas,,CA_IID,27.1250349773886,1,,
19091,Bio_Gas,,WY_NE,0.653137943927785,1,,
19092,Bio_Gas,,ID_S_OR_E,25.2694175771573,1,,
19093,Bio_Gas,,AZ_SE,28.5699162326898,1,,
19094,Bio_Gas,,CA_SCE_SE,39.2015798783719,1,,
19301,Compressed_Air_Energy_Storage,,CAN_BC,793.697812505627,1,,
19302,Compressed_Air_Energy_Storage,,CA_PGE_BAY,255633.950365645,1,,
19303,Compressed_Air_Energy_Storage,,CA_PGE_CEN,1982389.69120295,1,,
19304,Compressed_Air_Energy_Storage,,CA_PGE_N,2690815.70778302,1,,
19305,Compressed_Air_Energy_Storage,,CA_PGE_S,1451485.4125293,1,,
19306,Compressed_Air_Energy_Storage,,CA_SCE_CEN,3825021.86863413,1,,
19307,Compressed_Air_Energy_Storage,,CA_SCE_S,554241.317929691,1,,
19308,Compressed_Air_Energy_Storage,,CA_SCE_SE,923368.039706594,1,,
19309,Compressed_Air_Energy_Storage,,CA_SCE_VLY,349174.912206048,1,,
19310,Compressed_Air_Energy_Storage,,CA_SDGE,177655.054880238,1,,
