site,generator_type,renewable_id,load_area,capacity_mw,connect_cost_per_mw,timezone_difference_from_utc,site_name_or_notes
Wind_WY_SE_1740,Wind,1740,WY_SE,90,13031.5077539288,-7,
Wind_OR_W_2583,Wind,2583,OR_W,30,14168.4168540686,-8,
Wind_CA_PGE_N_2136,Wind,2136,CA_PGE_N,30,60298.9457706722,-8,
Distributed_PV_CO_SW_107853845,Distributed_PV,107853845,CO_SW,10.9046896,,-7,
Distributed_PV_CO_NW_108453905,Distributed_PV,108453905,CO_NW,21.4498354,,-7,
Distributed_PV_UT_N_111954105,Distributed_PV,111954105,UT_N,73.7868684,,-7,
Distributed_PV_UT_N_112054075,Distributed_PV,112054075,UT_N,20.115018,,-7,
Distributed_PV_UT_N_112054115,Distributed_PV,112054115,UT_N,68.9414194,,-7,
Distributed_PV_ID_S_OR_E_113754255,Distributed_PV,113754255,ID_S_OR_E,10.790731,,-7,
Distributed_PV_ID_E_112054355,Distributed_PV,112054355,ID_E,44.814882,,-7,
Distributed_PV_CO_E_104753835,Distributed_PV,104753835,CO_E,14.9285766,,-7,
Distributed_PV_CO_DEN_105353965,Distributed_PV,105353965,CO_DEN,8.984178,,-7,
Distributed_PV_ID_E_111854335,Distributed_PV,111854335,ID_E,43.7247664,,-7,
Distributed_PV_CO_DEN_104953955,Distributed_PV,104953955,CO_DEN,123.6919012,,-7,
Distributed_PV_CO_DEN_104953995,Distributed_PV,104953995,CO_DEN,27.893355,,-7,
Distributed_PV_CO_DEN_105153995,Distributed_PV,105153995,CO_DEN,24.6892632,,-7,
Distributed_PV_WY_NW_108454295,Distributed_PV,108454295,WY_NW,9.7845384,,-7,
Distributed_PV_CO_DEN_104753955,Distributed_PV,104753955,CO_DEN,20.8111372,,-7,
Distributed_PV_CO_DEN_104853935,Distributed_PV,104853935,CO_DEN,17.8658816,,-7,
Distributed_PV_MT_NW_113954685,Distributed_PV,113954685,MT_NW,52.2292582,,-7,
Distributed_PV_UT_N_111654025,Distributed_PV,111654025,UT_N,167.395466,,-7,
Distributed_PV_WY_SW_109254155,Distributed_PV,109254155,WY_SW,16.5266472,,-7,
Distributed_PV_CO_E_103854035,Distributed_PV,103854035,CO_E,9.7474356,,-7,
Distributed_PV_NM_N_105953565,Distributed_PV,105953565,NM_N,54.9501302,,-7,
Distributed_PV_UT_N_111954115,Distributed_PV,111954115,UT_N,24.222828,,-7,
Distributed_PV_UT_N_112054065,Distributed_PV,112054065,UT_N,125.933087,,-7,
Distributed_PV_CO_DEN_105054045,Distributed_PV,105054045,CO_DEN,44.7071072,,-7,
Distributed_PV_CO_DEN_105154005,Distributed_PV,105154005,CO_DEN,12.009823,,-7,
Distributed_PV_NM_N_106753465,Distributed_PV,106753465,NM_N,12.9983476,,-7,
Distributed_PV_UT_N_111854175,Distributed_PV,111854175,UT_N,50.9377274,,-7,
Distributed_PV_UT_N_111754045,Distributed_PV,111754045,UT_N,13.5319212,,-7,
Distributed_PV_NM_N_105353585,Distributed_PV,105353585,NM_N,12.866721,,-7,
Distributed_PV_NM_S_TX_EPE_108053225,Distributed_PV,108053225,NM_S_TX_EPE,12.4700744,,-7,
Distributed_PV_UT_N_111954125,Distributed_PV,111954125,UT_N,71.4414414,,-7,
Distributed_PV_MT_SE_108554575,Distributed_PV,108554575,MT_SE,79.3708398,,-7,
Distributed_PV_NM_N_106553615,Distributed_PV,106553615,NM_N,10.5204106,,-7,
Distributed_PV_UT_N_111754035,Distributed_PV,111754035,UT_N,47.5021848,,-7,
Distributed_PV_UT_S_113053765,Distributed_PV,113053765,UT_S,18.1335518,,-7,
Distributed_PV_WY_SW_109454155,Distributed_PV,109454155,WY_SW,10.4311872,,-7,
Distributed_PV_ID_S_OR_E_114454255,Distributed_PV,114454255,ID_S_OR_E,30.4499146,,-7,
Distributed_PV_UT_N_111754005,Distributed_PV,111754005,UT_N,11.2333144,,-7,
Distributed_PV_CO_DEN_105253975,Distributed_PV,105253975,CO_DEN,15.1582606,,-7,
Distributed_PV_CO_DEN_105053995,Distributed_PV,105053995,CO_DEN,54.3017146,,-7,
Distributed_PV_AZ_NM_N_108153675,Distributed_PV,108153675,AZ_NM_N,33.4313896,,-7,
Distributed_PV_CO_DEN_105153955,Distributed_PV,105153955,CO_DEN,27.2855758,,-7,
Distributed_PV_CO_DEN_105153965,Distributed_PV,105153965,CO_DEN,127.7007704,,-7,
Distributed_PV_ID_E_111854375,Distributed_PV,111854375,ID_E,137.2035042,,-7,
Distributed_PV_ID_E_112154355,Distributed_PV,112154355,ID_E,44.814882,,-7,
Distributed_PV_NM_N_106653525,Distributed_PV,106653525,NM_N,35.1937726,,-7,
Distributed_PV_AZ_NM_N_108753545,Distributed_PV,108753545,AZ_NM_N,17.8526306,,-7,
Distributed_PV_UT_N_112054155,Distributed_PV,112054155,UT_N,15.3808774,,-7,
Distributed_PV_CO_DEN_105053975,Distributed_PV,105053975,CO_DEN,34.4057798,,-7,
Distributed_PV_CO_DEN_105054055,Distributed_PV,105054055,CO_DEN,104.8171768,,-7,
Distributed_PV_NM_S_TX_EPE_106553195,Distributed_PV,106553195,NM_S_TX_EPE,10.569881,,-7,
Distributed_PV_UT_N_111954085,Distributed_PV,111954085,UT_N,13.3994112,,-7,
Distributed_PV_CO_DEN_104753995,Distributed_PV,104753995,CO_DEN,18.467477,,-7,
Distributed_PV_NM_S_TX_EPE_106753235,Distributed_PV,106753235,NM_S_TX_EPE,65.6074678,,-7,
Distributed_PV_NM_S_TX_EPE_106453185,Distributed_PV,106453185,NM_S_TX_EPE,510.2315218,,-7,
Distributed_PV_UT_N_111854095,Distributed_PV,111854095,UT_N,23.5567444,,-7,
Distributed_PV_ID_S_OR_E_116254365,Distributed_PV,116254365,ID_S_OR_E,138.3501574,,-7,
Distributed_PV_ID_S_OR_E_116554355,Distributed_PV,116554355,ID_S_OR_E,45.8193078,,-7,
Distributed_PV_CO_E_104653825,Distributed_PV,104653825,CO_E,90.2136914,,-7,
Distributed_PV_NM_S_TX_EPE_105953285,Distributed_PV,105953285,NM_S_TX_EPE,32.4684836,,-7,
Distributed_PV_NM_S_TX_EPE_106253165,Distributed_PV,106253165,NM_S_TX_EPE,21.4410014,,-7,
Distributed_PV_UT_N_111954065,Distributed_PV,111954065,UT_N,74.6190312,,-7,
Distributed_PV_WY_SW_110954125,Distributed_PV,110954125,WY_SW,10.1652838,,-7,
Distributed_PV_CO_DEN_104754045,Distributed_PV,104754045,CO_DEN,67.959962,,-7,
Distributed_PV_MT_SW_111154555,Distributed_PV,111154555,MT_SW,24.3014506,,-7,
Distributed_PV_NM_N_106753485,Distributed_PV,106753485,NM_N,12.336681,,-7,
Distributed_PV_NM_S_TX_EPE_108353265,Distributed_PV,108353265,NM_S_TX_EPE,9.315453,,-7,
Distributed_PV_NM_S_TX_EPE_106553185,Distributed_PV,106553185,NM_S_TX_EPE,11.7571706,,-7,
Distributed_PV_UT_N_111954135,Distributed_PV,111954135,UT_N,16.4568586,,-7,
Distributed_PV_WY_SE_104754115,Distributed_PV,104754115,WY_SE,49.7204022,,-7,
Distributed_PV_ID_E_112454285,Distributed_PV,112454285,ID_E,45.4650644,,-7,
Distributed_PV_ID_S_OR_E_115554355,Distributed_PV,115554355,ID_S_OR_E,9.8437262,,-7,
Distributed_PV_ID_S_OR_E_116354365,Distributed_PV,116354365,ID_S_OR_E,40.6399336,,-7,
Distributed_PV_UT_S_110853965,Distributed_PV,110853965,UT_S,9.2112118,,-7,
Distributed_PV_WY_NE_103254405,Distributed_PV,103254405,WY_NE,52.6568238,,-7,
Distributed_PV_CO_E_104653865,Distributed_PV,104653865,CO_E,13.4250298,,-7,
Distributed_PV_CO_DEN_105053955,Distributed_PV,105053955,CO_DEN,36.6363648,,-7,
Distributed_PV_CO_E_104653905,Distributed_PV,104653905,CO_E,11.7023998,,-7,
Distributed_PV_CO_DEN_104853975,Distributed_PV,104853975,CO_DEN,489.9654424,,-7,
Distributed_PV_CO_SW_105253845,Distributed_PV,105253845,CO_SW,13.6317454,,-7,
Distributed_PV_CO_NW_108553905,Distributed_PV,108553905,CO_NW,42.7936628,,-7,
Distributed_PV_MT_NW_114254805,Distributed_PV,114254805,MT_NW,12.5645982,,-7,
Distributed_PV_UT_N_109554045,Distributed_PV,109554045,UT_N,9.3366546,,-7,
Distributed_PV_UT_N_111854045,Distributed_PV,111854045,UT_N,39.0886832,,-7,
Distributed_PV_UT_N_111854065,Distributed_PV,111854065,UT_N,67.2744436,,-7,
Distributed_PV_UT_N_112354055,Distributed_PV,112354055,UT_N,19.8782668,,-7,
Distributed_PV_ID_E_112354325,Distributed_PV,112354325,ID_E,9.2041446,,-7,
Distributed_PV_ID_S_OR_E_116954405,Distributed_PV,116954405,ID_S_OR_E,19.2969896,,-7,
Distributed_PV_CO_DEN_105053985,Distributed_PV,105053985,CO_DEN,115.4268108,,-7,
Distributed_PV_NM_N_107853515,Distributed_PV,107853515,NM_N,9.4497298,,-7,
Distributed_PV_CO_SW_107853725,Distributed_PV,107853725,CO_SW,12.2986948,,-7,
Distributed_PV_CO_DEN_104753975,Distributed_PV,104753975,CO_DEN,1953.3246096,,-7,
Distributed_PV_CO_DEN_104953985,Distributed_PV,104953985,CO_DEN,89.912452,,-7,
Distributed_PV_UT_N_111854075,Distributed_PV,111854075,UT_N,180.0201354,,-7,
Distributed_PV_UT_N_111954055,Distributed_PV,111954055,UT_N,108.4673856,,-7,
Distributed_PV_ID_S_OR_E_116654365,Distributed_PV,116654365,ID_S_OR_E,22.9392478,,-7,
Distributed_PV_CO_DEN_105154015,Distributed_PV,105154015,CO_DEN,62.8035562,,-7,
Distributed_PV_NM_N_106053605,Distributed_PV,106053605,NM_N,9.081352,,-7,
Distributed_PV_CO_NW_106553965,Distributed_PV,106553965,CO_NW,12.2068212,,-7,
Distributed_PV_NM_S_TX_EPE_108553135,Distributed_PV,108553135,NM_S_TX_EPE,11.3269548,,-7,
Distributed_PV_CO_DEN_104953965,Distributed_PV,104953965,CO_DEN,43.039248,,-7,
Distributed_PV_MT_SW_112054655,Distributed_PV,112054655,MT_SW,22.774052,,-7,
Distributed_PV_NM_N_106653515,Distributed_PV,106653515,NM_N,416.200659,,-7,
Distributed_PV_WY_NE_105754475,Distributed_PV,105754475,WY_NE,17.3552764,,-7,
Distributed_PV_WY_SE_105554135,Distributed_PV,105554135,WY_SE,24.0320136,,-7,
Distributed_PV_CO_DEN_104853985,Distributed_PV,104853985,CO_DEN,18.5434494,,-7,
Distributed_PV_MT_SW_112854605,Distributed_PV,112854605,MT_SW,29.9401928,,-7,
Distributed_PV_MT_NE_111254755,Distributed_PV,111254755,MT_NE,50.8873736,,-7,
Distributed_PV_NM_N_106653505,Distributed_PV,106653505,NM_N,34.505604,,-7,
Distributed_PV_CO_DEN_105254005,Distributed_PV,105254005,CO_DEN,83.6341282,,-7,
Distributed_PV_WY_SE_106354285,Distributed_PV,106354285,WY_SE,46.144399,,-7,
Distributed_PV_CO_E_104653885,Distributed_PV,104653885,CO_E,318.810226,,-7,
Distributed_PV_UT_N_111654015,Distributed_PV,111654015,UT_N,35.927878,,-7,
Distributed_PV_UT_N_111854085,Distributed_PV,111854085,UT_N,36.4853034,,-7,
Distributed_PV_CO_DEN_105153985,Distributed_PV,105153985,CO_DEN,180.4839204,,-7,
Distributed_PV_UT_N_111854055,Distributed_PV,111854055,UT_N,75.4476604,,-7,
Distributed_PV_WY_NE_106954475,Distributed_PV,106954475,WY_NE,13.9612536,,-7,
Distributed_PV_CO_E_103154065,Distributed_PV,103154065,CO_E,10.035424,,-7,
Distributed_PV_CO_E_103754035,Distributed_PV,103754035,CO_E,9.7474356,,-7,
Distributed_PV_AZ_PHX_111753335,Distributed_PV,111753335,AZ_PHX,96.9063298,,-7,
Distributed_PV_AZ_PHX_112053355,Distributed_PV,112053355,AZ_PHX,1167.011153,,-7,
Distributed_PV_AZ_SE_110953135,Distributed_PV,110953135,AZ_SE,18.4436252,,-7,
Distributed_PV_AZ_APS_N_112053475,Distributed_PV,112053475,AZ_APS_N,11.1317234,,-7,
Distributed_PV_AZ_APS_SW_112853345,Distributed_PV,112853345,AZ_APS_SW,11.5495716,,-7,
Distributed_PV_AZ_SE_111353305,Distributed_PV,111353305,AZ_SE,15.0655036,,-7,
Distributed_PV_AZ_APS_SW_114453295,Distributed_PV,114453295,AZ_APS_SW,18.0902652,,-7,
Distributed_PV_AZ_NW_114053525,Distributed_PV,114053525,AZ_NW,13.083154,,-7,
Distributed_PV_AZ_SE_110353155,Distributed_PV,110353155,AZ_SE,33.370435,,-7,
Distributed_PV_AZ_APS_SW_112553425,Distributed_PV,112553425,AZ_APS_SW,29.9808292,,-7,
Distributed_PV_AZ_NW_114653585,Distributed_PV,114653585,AZ_NW,11.1016878,,-7,
Distributed_PV_AZ_APS_N_112153395,Distributed_PV,112153395,AZ_APS_N,9.487716,,-7,
Distributed_PV_AZ_PHX_111553345,Distributed_PV,111553345,AZ_PHX,28.1044876,,-7,
Distributed_PV_AZ_APS_SW_114653265,Distributed_PV,114653265,AZ_APS_SW,68.476751,,-7,
Distributed_PV_AZ_APS_N_111753485,Distributed_PV,111753485,AZ_APS_N,9.0036128,,-7,
Distributed_PV_AZ_SE_110953245,Distributed_PV,110953245,AZ_SE,32.442865,,-7,
