fuel,nems_region,nems_scenario,simulation_year,regional_price_adder
Gas,Baja_Mexico,High_growth_AEO_2012,2011,0.2935
Gas,Baja_Mexico,High_growth_AEO_2012,2012,0.4081
Gas,Baja_Mexico,High_growth_AEO_2012,2013,0.0746
Gas,Baja_Mexico,High_growth_AEO_2012,2014,-0.0836
Gas,Baja_Mexico,High_growth_AEO_2012,2015,0.1524
Gas,Baja_Mexico,High_growth_AEO_2012,2016,0.2604
Gas,Baja_Mexico,High_growth_AEO_2012,2017,0.3023
Gas,Baja_Mexico,High_growth_AEO_2012,2018,0.2526
Gas,Baja_Mexico,High_growth_AEO_2012,2019,0.2819
Gas,Baja_Mexico,High_growth_AEO_2012,2020,0.3093
Gas,Baja_Mexico,High_growth_AEO_2012,2021,0.4474
Gas,Baja_Mexico,High_growth_AEO_2012,2022,0.5889
Gas,Baja_Mexico,High_growth_AEO_2012,2023,0.6775
Gas,Baja_Mexico,High_growth_AEO_2012,2024,0.6304
Gas,Baja_Mexico,High_growth_AEO_2012,2025,0.5235
Gas,Baja_Mexico,High_growth_AEO_2012,2026,0.5742
Gas,Baja_Mexico,High_growth_AEO_2012,2027,0.4542
Gas,Baja_Mexico,High_growth_AEO_2012,2028,0.4676
Gas,Baja_Mexico,High_growth_AEO_2012,2029,0.4345
Gas,Baja_Mexico,High_growth_AEO_2012,2030,0.4286
Gas,Baja_Mexico,High_growth_AEO_2012,2031,0.3862
Gas,Baja_Mexico,High_growth_AEO_2012,2032,0.4240
Gas,Baja_Mexico,High_growth_AEO_2012,2033,0.3735
Gas,Baja_Mexico,High_growth_AEO_2012,2034,0.3972
Gas,Baja_Mexico,High_growth_AEO_2012,2035,0.1073
Gas,Baja_Mexico,High_growth_AEO_2012,2036,0.2332
Gas,Baja_Mexico,High_growth_AEO_2012,2037,0.2020
Gas,Baja_Mexico,High_growth_AEO_2012,2038,0.1708
Gas,Baja_Mexico,High_growth_AEO_2012,2039,0.1396
Gas,Baja_Mexico,High_growth_AEO_2012,2040,0.1084
Gas,Baja_Mexico,High_growth_AEO_2012,2041,0.0773
Gas,Baja_Mexico,High_growth_AEO_2012,2042,0.0461
Gas,Baja_Mexico,High_growth_AEO_2012,2043,0.0149
Gas,Baja_Mexico,High_growth_AEO_2012,2044,-0.0163
Gas,Baja_Mexico,High_growth_AEO_2012,2045,-0.0475
Gas,Baja_Mexico,High_growth_AEO_2012,2046,-0.0787
Gas,Baja_Mexico,High_growth_AEO_2012,2047,-0.1099
Gas,Baja_Mexico,High_growth_AEO_2012,2048,-0.1411
Gas,Baja_Mexico,High_growth_AEO_2012,2049,-0.1722
Gas,Baja_Mexico,High_growth_AEO_2012,2050,-0.2034
Gas,Baja_Mexico,High_growth_AEO_2012,2051,-0.2346
Gas,Baja_Mexico,High_growth_AEO_2012,2052,-0.2658
Gas,Baja_Mexico,High_growth_AEO_2012,2053,-0.2970
Gas,Baja_Mexico,High_growth_AEO_2012,2054,-0.3282
Gas,Baja_Mexico,High_growth_AEO_2012,2055,-0.3594
Gas,Baja_Mexico,High_growth_AEO_2012,2056,-0.3906
Gas,Baja_Mexico,High_growth_AEO_2012,2057,-0.4217
Gas,Baja_Mexico,High_growth_AEO_2012,2058,-0.4529
Gas,Baja_Mexico,High_growth_AEO_2012,2059,-0.4841
Gas,Baja_Mexico,High_growth_AEO_2012,2060,-0.5153
Gas,Baja_Mexico,High_TRR_AEO_2012,2011,0.3223
Gas,Baja_Mexico,High_TRR_AEO_2012,2012,0.5185
Gas,Baja_Mexico,High_TRR_AEO_2012,2013,0.3591
Gas,Baja_Mexico,High_TRR_AEO_2012,2014,0.2867
Gas,Baja_Mexico,High_TRR_AEO_2012,2015,0.4318
Gas,Baja_Mexico,High_TRR_AEO_2012,2016,0.5278
Gas,Baja_Mexico,High_TRR_AEO_2012,2017,0.5247
Gas,Baja_Mexico,High_TRR_AEO_2012,2018,0.5430
Gas,Baja_Mexico,High_TRR_AEO_2012,2019,0.5250
Gas,Baja_Mexico,High_TRR_AEO_2012,2020,0.5115
Gas,Baja_Mexico,High_TRR_AEO_2012,2021,0.5007
Gas,Baja_Mexico,High_TRR_AEO_2012,2022,0.5296
Gas,Baja_Mexico,High_TRR_AEO_2012,2023,0.5265
Gas,Baja_Mexico,High_TRR_AEO_2012,2024,0.5303
Gas,Baja_Mexico,High_TRR_AEO_2012,2025,0.5202
Gas,Baja_Mexico,High_TRR_AEO_2012,2026,0.5844
Gas,Baja_Mexico,High_TRR_AEO_2012,2027,0.5885
