fuel,nems_scenario,simulation_year,breakpoint_id,wecc_consumption_breakpoint,price_surplus_adjusted
Gas,High growth,2010,1,205408903.1179,3.5432
Gas,High growth,2010,2,410817806.2358,3.6113
Gas,High growth,2010,3,616226709.3537,3.6794
Gas,High growth,2010,4,821635612.4716,3.7475
Gas,High growth,2010,5,1027044515.5895,3.8156
Gas,High growth,2010,6,1232453418.7074,3.8836
Gas,High growth,2010,7,1437862321.8253,3.9517
Gas,High growth,2010,8,1643271224.9431,4.0198
Gas,High growth,2010,9,1848680128.0610,4.0879
Gas,High growth,2010,10,2054089031.1789,4.1560
Gas,High growth,2010,11,2259497934.2968,4.2241
Gas,High growth,2010,12,2464906837.4147,4.2922
Gas,High growth,2010,13,2670315740.5326,4.3603
Gas,High growth,2010,14,2875724643.6505,4.4284
Gas,High growth,2010,15,3081133546.7684,4.4965
Gas,High growth,2010,16,3286542449.8863,4.5646
Gas,High growth,2010,17,3491951353.0042,4.6326
Gas,High growth,2010,18,3697360256.1221,4.7007
Gas,High growth,2010,19,3902769159.2400,4.7688
Gas,High growth,2010,20,4108178062.3579,4.8369
Gas,High growth,2010,21,,99999.0000
Gas,High growth,2011,1,198830935.7760,3.5822
Gas,High growth,2011,2,397661871.5520,3.6480
Gas,High growth,2011,3,596492807.3280,3.7139
Gas,High growth,2011,4,795323743.1041,3.7797
Gas,High growth,2011,5,994154678.8801,3.8455
Gas,High growth,2011,6,1192985614.6561,3.9113
Gas,High growth,2011,7,1391816550.4321,3.9771
Gas,High growth,2011,8,1590647486.2081,4.0429
Gas,High growth,2011,9,1789478421.9841,4.1088
Gas,High growth,2011,10,1988309357.7602,4.1746
Gas,High growth,2011,11,2187140293.5362,4.2404
Gas,High growth,2011,12,2385971229.3122,4.3062
Gas,High growth,2011,13,2584802165.0882,4.3720
Gas,High growth,2011,14,2783633100.8642,4.4379
Gas,High growth,2011,15,2982464036.6402,4.5037
Gas,High growth,2011,16,3181294972.4162,4.5695
Gas,High growth,2011,17,3380125908.1923,4.6353
Gas,High growth,2011,18,3578956843.9683,4.7011
Gas,High growth,2011,19,3777787779.7443,4.7669
Gas,High growth,2011,20,3976618715.5203,4.8328
Gas,High growth,2011,21,,99999.0000
Gas,High growth,2012,1,181050401.6572,3.6196
Gas,High growth,2012,2,362100803.3143,3.6793
Gas,High growth,2012,3,543151204.9715,3.7389
Gas,High growth,2012,4,724201606.6287,3.7985
Gas,High growth,2012,5,905252008.2859,3.8582
Gas,High growth,2012,6,1086302409.9430,3.9178
Gas,High growth,2012,7,1267352811.6002,3.9775
Gas,High growth,2012,8,1448403213.2574,4.0371
Gas,High growth,2012,9,1629453614.9146,4.0967
Gas,High growth,2012,10,1810504016.5717,4.1564
Gas,High growth,2012,11,1991554418.2289,4.2160
Gas,High growth,2012,12,2172604819.8861,4.2756
Gas,High growth,2012,13,2353655221.5433,4.3353
Gas,High growth,2012,14,2534705623.2004,4.3949
Gas,High growth,2012,15,2715756024.8576,4.4545
Gas,High growth,2012,16,2896806426.5148,4.5142
Gas,High growth,2012,17,3077856828.1720,4.5738
Gas,High growth,2012,18,3258907229.8291,4.6334
Gas,High growth,2012,19,3439957631.4863,4.6931
Gas,High growth,2012,20,3621008033.1435,4.7527
Gas,High growth,2012,21,,99999.0000
Gas,High growth,2013,1,177462415.7721,3.7317
Gas,High growth,2013,2,354924831.5442,3.7899
Gas,High growth,2013,3,532387247.3163,3.8481
Gas,High growth,2013,4,709849663.0884,3.9063
Gas,High growth,2013,5,887312078.8606,3.9645
Gas,High growth,2013,6,1064774494.6327,4.0227
Gas,High growth,2013,7,1242236910.4048,4.0809
Gas,High growth,2013,8,1419699326.1769,4.1391
Gas,High growth,2013,9,1597161741.9490,4.1973
Gas,High growth,2013,10,1774624157.7211,4.2555
Gas,High growth,2013,11,1952086573.4932,4.3137
Gas,High growth,2013,12,2129548989.2653,4.3719
Gas,High growth,2013,13,2307011405.0375,4.4301
Gas,High growth,2013,14,2484473820.8096,4.4883
Gas,High growth,2013,15,2661936236.5817,4.5465
Gas,High growth,2013,16,2839398652.3538,4.6047
Gas,High growth,2013,17,3016861068.1259,4.6629
Gas,High growth,2013,18,3194323483.8980,4.7210
Gas,High growth,2013,19,3371785899.6701,4.7792
Gas,High growth,2013,20,3549248315.4422,4.8374
Gas,High growth,2013,21,,99999.0000
Gas,High growth,2014,1,172401553.7140,3.7601
Gas,High growth,2014,2,344803107.4280,3.8162
Gas,High growth,2014,3,517204661.1420,3.8724
Gas,High growth,2014,4,689606214.8559,3.9286
Gas,High growth,2014,5,862007768.5699,3.9847
Gas,High growth,2014,6,1034409322.2839,4.0409
Gas,High growth,2014,7,1206810875.9979,4.0970
Gas,High growth,2014,8,1379212429.7119,4.1532
Gas,High growth,2014,9,1551613983.4259,4.2094
Gas,High growth,2014,10,1724015537.1399,4.2655
Gas,High growth,2014,11,1896417090.8538,4.3217
Gas,High growth,2014,12,2068818644.5678,4.3778
Gas,High growth,2014,13,2241220198.2818,4.4340
Gas,High growth,2014,14,2413621751.9958,4.4902
Gas,High growth,2014,15,2586023305.7098,4.5463
Gas,High growth,2014,16,2758424859.4238,4.6025
Gas,High growth,2014,17,2930826413.1378,4.6586
Gas,High growth,2014,18,3103227966.8518,4.7148
Gas,High growth,2014,19,3275629520.5657,4.7710
Gas,High growth,2014,20,3448031074.2797,4.8271
Gas,High growth,2014,21,,99999.0000
Gas,High growth,2015,1,171439111.3513,3.8652
Gas,High growth,2015,2,342878222.7026,3.9215
Gas,High growth,2015,3,514317334.0539,3.9777
Gas,High growth,2015,4,685756445.4052,4.0340
Gas,High growth,2015,5,857195556.7565,4.0903
Gas,High growth,2015,6,1028634668.1079,4.1465
Gas,High growth,2015,7,1200073779.4592,4.2028
Gas,High growth,2015,8,1371512890.8105,4.2591
Gas,High growth,2015,9,1542952002.1618,4.3153
Gas,High growth,2015,10,1714391113.5131,4.3716
Gas,High growth,2015,11,1885830224.8644,4.4278
Gas,High growth,2015,12,2057269336.2157,4.4841
Gas,High growth,2015,13,2228708447.5670,4.5404
Gas,High growth,2015,14,2400147558.9183,4.5966
Gas,High growth,2015,15,2571586670.2696,4.6529
Gas,High growth,2015,16,2743025781.6210,4.7092
Gas,High growth,2015,17,2914464892.9723,4.7654
Gas,High growth,2015,18,3085904004.3236,4.8217
Gas,High growth,2015,19,3257343115.6749,4.8779
Gas,High growth,2015,20,3428782227.0262,4.9342
Gas,High growth,2015,21,,99999.0000
Gas,High growth,2016,1,171361559.8696,3.9579
Gas,High growth,2016,2,342723119.7392,4.0149
Gas,High growth,2016,3,514084679.6088,4.0719
Gas,High growth,2016,4,685446239.4783,4.1289
Gas,High growth,2016,5,856807799.3479,4.1859
Gas,High growth,2016,6,1028169359.2175,4.2429
Gas,High growth,2016,7,1199530919.0871,4.2999
Gas,High growth,2016,8,1370892478.9567,4.3569
Gas,High growth,2016,9,1542254038.8263,4.4139
Gas,High growth,2016,10,1713615598.6958,4.4709
Gas,High growth,2016,11,1884977158.5654,4.5278
Gas,High growth,2016,12,2056338718.4350,4.5848
Gas,High growth,2016,13,2227700278.3046,4.6418
Gas,High growth,2016,14,2399061838.1742,4.6988
Gas,High growth,2016,15,2570423398.0438,4.7558
Gas,High growth,2016,16,2741784957.9133,4.8128
Gas,High growth,2016,17,2913146517.7829,4.8698
Gas,High growth,2016,18,3084508077.6525,4.9268
