breakpoint_id,load_area,year,price_dollars_per_mmbtu,breakpoint_mmbtu_per_year
1,AZ_APS_E,2007,1.7220,431224
2,AZ_APS_E,2007,4.1569,817766
3,AZ_APS_E,2007,4.2605,3962463
4,AZ_APS_E,2007,4.7465,7063433
5,AZ_APS_E,2007,552.4730,7088314
6,AZ_APS_E,2007,1186.5920,7098691
7,AZ_APS_E,2007,1220.7155,7106468
8,AZ_APS_E,2007,1597.7912,7115385
9,AZ_APS_E,2007,999999999.0000,
1,AZ_APS_E,2008,1.7220,431224
2,AZ_APS_E,2008,4.2249,794420
3,AZ_APS_E,2008,4.2582,3927089
4,AZ_APS_E,2008,4.7394,7028058
5,AZ_APS_E,2008,544.6871,7053233
6,AZ_APS_E,2008,1177.5778,7063611
7,AZ_APS_E,2008,1214.7289,7071388
8,AZ_APS_E,2008,1589.9596,7080305
9,AZ_APS_E,2008,999999999.0000,
1,AZ_APS_E,2009,1.7220,431224
2,AZ_APS_E,2009,4.0761,848474
3,AZ_APS_E,2009,4.2732,3982646
4,AZ_APS_E,2009,4.7459,7083616
5,AZ_APS_E,2009,548.4220,7108822
6,AZ_APS_E,2009,1186.4684,7119199
7,AZ_APS_E,2009,1224.2153,7126976
8,AZ_APS_E,2009,1602.3696,7135893
9,AZ_APS_E,2009,999999999.0000,
1,AZ_APS_E,2010,1.7220,431224
2,AZ_APS_E,2010,3.5963,804824
3,AZ_APS_E,2010,4.3462,7078814
4,AZ_APS_E,2010,592.3227,7104030
5,AZ_APS_E,2010,1021.7520,7114407
6,AZ_APS_E,2010,1328.6826,7122184
7,AZ_APS_E,2010,1706.5849,7131101
8,AZ_APS_E,2010,999999999.0000,
1,AZ_APS_E,2011,1.7220,431224
2,AZ_APS_E,2011,3.8552,654455
3,AZ_APS_E,2011,4.1299,872106
4,AZ_APS_E,2011,4.2919,3986113
5,AZ_APS_E,2011,4.7408,7087082
6,AZ_APS_E,2011,567.1778,7112328
7,AZ_APS_E,2011,1002.7885,7122706
8,AZ_APS_E,2011,1310.0741,7130483
9,AZ_APS_E,2011,1688.4128,7139400
10,AZ_APS_E,2011,999999999.0000,
1,AZ_APS_E,2012,1.7220,431224
2,AZ_APS_E,2012,3.8255,659254
3,AZ_APS_E,2012,4.1057,881704
4,AZ_APS_E,2012,4.2958,3995711
5,AZ_APS_E,2012,4.7418,7096681
6,AZ_APS_E,2012,567.5713,7121968
7,AZ_APS_E,2012,1003.6357,7132345
8,AZ_APS_E,2012,1311.3335,7140122
9,AZ_APS_E,2012,1690.1792,7149039
10,AZ_APS_E,2012,999999999.0000,
1,AZ_APS_E,2013,1.7220,431224
2,AZ_APS_E,2013,3.8065,662428
3,AZ_APS_E,2013,4.0903,887978
4,AZ_APS_E,2013,4.2983,4001985
5,AZ_APS_E,2013,4.7425,7103029
6,AZ_APS_E,2013,567.7991,7128347
7,AZ_APS_E,2013,1004.1522,7138724
8,AZ_APS_E,2013,1312.1229,7146501
9,AZ_APS_E,2013,1691.3041,7155418
10,AZ_APS_E,2013,999999999.0000,
1,AZ_APS_E,2014,1.7220,431224
2,AZ_APS_E,2014,3.4758,896322
3,AZ_APS_E,2014,4.3625,4025985
4,AZ_APS_E,2014,4.7494,7127040
5,AZ_APS_E,2014,549.4782,7152378
6,AZ_APS_E,2014,1192.2709,7162756
7,AZ_APS_E,2014,1231.6484,7170532
8,AZ_APS_E,2014,1612.0935,7179449
9,AZ_APS_E,2014,999999999.0000,
1,AZ_APS_E,2015,1.7220,431224
2,AZ_APS_E,2015,3.7895,658171
3,AZ_APS_E,2015,3.8596,921175
4,AZ_APS_E,2015,4.3175,4035193
5,AZ_APS_E,2015,4.7460,7136163
6,AZ_APS_E,2015,551.3326,7136249
7,AZ_APS_E,2015,565.1785,7161617
8,AZ_APS_E,2015,1003.5580,7171994
9,AZ_APS_E,2015,1324.8986,7179771
10,AZ_APS_E,2015,1705.8296,7188688
11,AZ_APS_E,2015,999999999.0000,
1,AZ_APS_E,2016,1.6837,377401
2,AZ_APS_E,2016,2.7279,639971
3,AZ_APS_E,2016,3.5970,886679
4,AZ_APS_E,2016,4.3143,4041470
5,AZ_APS_E,2016,4.8221,7142439
