breakpoint_id,load_area,price_dollars_per_mbtu,mbtus_per_year,breakpoint_mbtus_per_year
1,AZ_APS_E,1.38709677419355,90102.5195312117,340899.941210385
2,AZ_APS_E,2.08064516129032,322097.399380844,662997.340591229
3,AZ_APS_E,2.19354838709677,189658.922094151,852656.262685381
4,AZ_APS_E,2.9247311827957,93414.0959505472,946070.358635928
5,AZ_APS_E,3.46774193548387,614894.523687162,1560964.88232309
6,AZ_APS_E,3.65591397849462,86903.4165401428,1647868.29886323
7,AZ_APS_E,4.16129032258065,65354.2457214401,1713222.54458467
1,AZ_APS_N,1.38709677419355,289934.611383141,991826.745355414
2,AZ_APS_N,2.08064516129032,286146.003754087,1277972.7491095
3,AZ_APS_N,2.19354838709677,156546.607927776,1434519.35703728
4,AZ_APS_N,2.9247311827957,77105.045637195,1511624.40267447
5,AZ_APS_N,3.46774193548387,217901.478563186,1729525.88123766
6,AZ_APS_N,3.65591397849462,71731.0576078023,1801256.93884546
7,AZ_APS_N,3.82290934645116,21241.4377606041,1822498.37660606
8,AZ_APS_N,4.16129032258065,210296.465112382,2032794.84171845
9,AZ_APS_N,5.43921293042867,12362.5640387371,2045157.40575718
1,AZ_APS_SW,1.38709677419355,1914572.51183476,6121329.56252202
2,AZ_APS_SW,2.08064516129032,1395497.82956925,7516827.39209127
3,AZ_APS_SW,3.46774193548387,279519.09432191,7796346.48641318
4,AZ_APS_SW,3.82290934645116,1200940.3410205,8997286.82743368
5,AZ_APS_SW,4.16129032258065,1388700.86353851,10385987.6909722
6,AZ_APS_SW,5.43921293042867,698950.804993477,11084938.4959657
1,AZ_NM_N,1.38709677419355,305326.5025592,590935.443173538
2,AZ_NM_N,2.08064516129032,488973.164270153,1079908.60744369
3,AZ_NM_N,2.19354838709677,224102.231027651,1304010.83847134
4,AZ_NM_N,2.9247311827957,109943.13883932,1413953.97731066
5,AZ_NM_N,3.46774193548387,678880.686013492,2092834.66332416
6,AZ_NM_N,3.65591397849462,102581.09494236,2195415.75826652
7,AZ_NM_N,3.82290934645116,326225.881973348,2521641.64023986
8,AZ_NM_N,4.16129032258065,80844.5294594829,2602486.16969935
1,AZ_NW,1.38709677419355,83981.8176137408,101668.817057893
