carbon_cap_scenario_id,year,carbon_emissions_relative_to_base
1,2010,1.266666667
1,2011,1.24
1,2012,1.213333333
1,2013,1.186666667
1,2014,1.16
1,2015,1.133333333
1,2016,1.106666667
1,2017,1.08
1,2018,1.053333333
1,2019,1.026666667
1,2020,1
1,2021,0.973333333
1,2022,0.946666667
1,2023,0.92
1,2024,0.893333333
1,2025,0.866666667
1,2026,0.84
1,2027,0.813333333
1,2028,0.786666667
1,2029,0.76
1,2030,0.733333333
1,2031,0.706666667
1,2032,0.68
1,2033,0.653333333
1,2034,0.626666667
1,2035,0.6
1,2036,0.573333333
1,2037,0.546666667
1,2038,0.52
1,2039,0.493333333
1,2040,0.466666667
1,2041,0.44
1,2042,0.413333333
1,2043,0.386666667
1,2044,0.36
1,2045,0.333333333
1,2046,0.306666667
1,2047,0.28
1,2048,0.253333333
1,2049,0.226666667
1,2050,0.2
1,2051,0.173333333
1,2052,0.146666667
1,2053,0.12
1,2054,0.093333333
1,2055,0.066666667
1,2056,0.04
1,2057,0.013333333
1,2058,0
1,2059,0
1,2060,0
1,2061,0
1,2062,0
1,2063,0
1,2064,0
1,2065,0
1,2066,0
1,2067,0
1,2068,0
1,2069,0
1,2070,0
1,2071,0
1,2072,0
1,2073,0
1,2074,0
1,2075,0
1,2076,0
1,2077,0
1,2078,0
1,2079,0
1,2080,0
1,2081,0
1,2082,0
1,2083,0
1,2084,0
1,2085,0
1,2086,0
1,2087,0
1,2088,0
1,2089,0
1,2090,0
1,2091,0
1,2092,0
1,2093,0
1,2094,0
1,2095,0
1,2096,0
1,2097,0
1,2098,0
1,2099,0
1,2100,0
0,2010,10000000000
0,2011,10000000000
0,2012,10000000000
0,2013,10000000000
0,2014,10000000000
0,2015,10000000000
0,2016,10000000000
0,2017,10000000000
0,2018,10000000000
0,2019,10000000000
0,2020,10000000000
0,2021,10000000000
0,2022,10000000000
0,2023,10000000000
0,2024,10000000000
0,2025,10000000000
0,2026,10000000000
0,2027,10000000000
0,2028,10000000000
0,2029,10000000000
0,2030,10000000000
0,2031,10000000000
0,2032,10000000000
0,2033,10000000000
0,2034,10000000000
0,2035,10000000000
0,2036,10000000000
0,2037,10000000000
0,2038,10000000000
0,2039,10000000000
0,2040,10000000000
0,2041,10000000000
0,2042,10000000000
0,2043,10000000000
0,2044,10000000000
0,2045,10000000000
0,2046,10000000000
0,2047,10000000000
0,2048,10000000000
0,2049,10000000000
0,2050,10000000000
0,2051,10000000000
0,2052,10000000000
0,2053,10000000000
0,2054,10000000000
0,2055,10000000000
0,2056,10000000000
0,2057,10000000000
0,2058,10000000000
0,2059,10000000000
0,2060,10000000000
0,2061,10000000000
0,2062,10000000000
0,2063,10000000000
0,2064,10000000000
0,2065,10000000000
0,2066,10000000000
0,2067,10000000000
0,2068,10000000000
0,2069,10000000000
0,2070,10000000000
0,2071,10000000000
0,2072,10000000000
0,2073,10000000000
0,2074,10000000000
0,2075,10000000000
0,2076,10000000000
0,2077,10000000000
0,2078,10000000000
0,2079,10000000000
0,2080,10000000000
0,2081,10000000000
0,2082,10000000000
0,2083,10000000000
0,2084,10000000000
0,2085,10000000000
0,2086,10000000000
0,2087,10000000000
0,2088,10000000000
0,2089,10000000000
0,2090,10000000000
0,2091,10000000000
0,2092,10000000000
0,2093,10000000000
0,2094,10000000000
0,2095,10000000000
0,2096,10000000000
0,2097,10000000000
0,2098,10000000000
0,2099,10000000000
0,2100,10000000000
