load_area,compliance_year,compliance_fraction
AZ_APS_E,2010,0.025
AZ_APS_E,2011,0.03
AZ_APS_E,2012,0.035
AZ_APS_E,2013,0.04
AZ_APS_E,2014,0.045
AZ_APS_E,2015,0.05
AZ_APS_E,2016,0.06
AZ_APS_E,2017,0.07
AZ_APS_E,2018,0.08
AZ_APS_E,2019,0.09
AZ_APS_E,2020,0.1
AZ_APS_E,2021,0.11
AZ_APS_E,2022,0.12
AZ_APS_E,2023,0.13
AZ_APS_E,2024,0.14
AZ_APS_E,2025,0.15
AZ_APS_E,2026,0.15
AZ_APS_E,2027,0.15
AZ_APS_E,2028,0.15
AZ_APS_E,2029,0.15
AZ_APS_E,2030,0.15
AZ_APS_E,2031,0.15
AZ_APS_E,2032,0.15
AZ_APS_E,2033,0.15
AZ_APS_E,2034,0.15
AZ_APS_E,2035,0.15
AZ_APS_N,2010,0.025
AZ_APS_N,2011,0.03
AZ_APS_N,2012,0.035
AZ_APS_N,2013,0.04
AZ_APS_N,2014,0.045
AZ_APS_N,2015,0.05
AZ_APS_N,2016,0.06
AZ_APS_N,2017,0.07
AZ_APS_N,2018,0.08
AZ_APS_N,2019,0.09
AZ_APS_N,2020,0.1
AZ_APS_N,2021,0.11
AZ_APS_N,2022,0.12
AZ_APS_N,2023,0.13
AZ_APS_N,2024,0.14
AZ_APS_N,2025,0.15
AZ_APS_N,2026,0.15
AZ_APS_N,2027,0.15
AZ_APS_N,2028,0.15
AZ_APS_N,2029,0.15
AZ_APS_N,2030,0.15
AZ_APS_N,2031,0.15
AZ_APS_N,2032,0.15
AZ_APS_N,2033,0.15
AZ_APS_N,2034,0.15
AZ_APS_N,2035,0.15
AZ_APS_SW,2010,0.025
AZ_APS_SW,2011,0.03
AZ_APS_SW,2012,0.035
AZ_APS_SW,2013,0.04
AZ_APS_SW,2014,0.045
AZ_APS_SW,2015,0.05
AZ_APS_SW,2016,0.06
AZ_APS_SW,2017,0.07
AZ_APS_SW,2018,0.08
AZ_APS_SW,2019,0.09
AZ_APS_SW,2020,0.1
AZ_APS_SW,2021,0.11
AZ_APS_SW,2022,0.12
AZ_APS_SW,2023,0.13
AZ_APS_SW,2024,0.14
AZ_APS_SW,2025,0.15
AZ_APS_SW,2026,0.15
AZ_APS_SW,2027,0.15
AZ_APS_SW,2028,0.15
AZ_APS_SW,2029,0.15
AZ_APS_SW,2030,0.15
AZ_APS_SW,2031,0.15
AZ_APS_SW,2032,0.15
AZ_APS_SW,2033,0.15
AZ_APS_SW,2034,0.15
AZ_APS_SW,2035,0.15
