project_id,technology,original_dataset_id,load_area,capacity_limit,capacity_limit_conversion,connect_cost_per_mw,location_id,avg_capacity_factor
1000000,Residential_PV,1000000,CA_IID,2996.214,1,,102896,0.182940972629678
1000001,Commercial_PV,1000001,CA_PGE_CEN,1144.588,1,,102896,0.190695110808108
1000018,Residential_PV,1000018,CO_DEN,47.294,1,,103473,0.187859027082448
1000019,Commercial_PV,1000019,UT_N,34.188,1,,103473,0.195059741662353
1000078,Residential_PV,1000078,UT_N,87.633,1,,100337,0.195590480292114
1000079,Commercial_PV,1000079,WY_SW,41.9131,1,,100337,0.203832474778738
1000080,Residential_PV,1000080,WY_SE,180.83,1,,100310,0.196941798320027
1000081,Commercial_PV,1000081,OR_E,84.9114,1,,100310,0.204843864459551
1000082,Residential_PV,1000082,AZ_NW,18.083,1,,100352,0.196532112974681
1000083,Commercial_PV,1000083,WA_ID_AVA,8.4708,1,,100352,0.205528268695422
1000084,Residential_PV,1000084,OR_PDX,100.152,1,,100513,0.183250621449511
1000085,Commercial_PV,1000085,UT_N,44.6361,1,,100513,0.192110185675644
1000086,Residential_PV,1000086,CAN_ALB,148.837,1,,100634,0.18601922297133
1000087,Commercial_PV,1000087,MT_NE,69.3888,1,,100634,0.194559083557735
1000088,Residential_PV,1000088,AZ_NM_N,54.249,1,,100280,0.185558395544271
1000089,Commercial_PV,1000089,WA_ID_AVA,25.4752,1,,100280,0.192954534567979
1000090,Residential_PV,1000090,AZ_NM_N,82.069,1,,104137,0.215589730728585
1000091,Commercial_PV,1000091,CA_PGE_S,55.3584,1,,104137,0.224062854364613
1000092,Residential_PV,1000092,CA_PGE_S,19.474,1,,104184,0.20560616657511
1000093,Commercial_PV,1000093,CA_PGE_S,13.6325,1,,104184,0.21318491550141
1000094,Residential_PV,1000094,CA_PGE_S,26.429,1,,103740,0.21392846359203
1000095,Commercial_PV,1000095,UT_N,18.2725,1,,103740,0.222622512982206
1000096,Residential_PV,1000096,UT_N,30.602,1,,103814,0.213481537038532
1000097,Commercial_PV,1000097,CA_PGE_S,21.5354,1,,103814,0.222607541232378
1000098,Residential_PV,1000098,UT_N,2249.247,1,,104042,0.214199904437518
1000099,Commercial_PV,1000099,CA_PGE_S,880.3174,1,,104042,0.223413107059539
1000114,Residential_PV,1000114,UT_S,577.265,1,,100021,0.141718868746828
1000115,Commercial_PV,1000115,AZ_NW,129.5476,1,,100021,0.147411875757264
1000116,Residential_PV,1000116,NM_N,19.474,1,,100384,0.144367393513939
1000117,Commercial_PV,1000117,AZ_APS_N,4.1436,1,,100384,0.149467152550423
1000118,Residential_PV,1000118,CA_PGE_N,23.647,1,,100283,0.131116714486463
1000119,Commercial_PV,1000119,CO_NW,5.1795,1,,100283,0.135710764760701
1000120,Residential_PV,1000120,OR_PDX,4956.133,1,,100076,0.131221450592177
1000121,Commercial_PV,1000121,NV_N,1079.0625,1,,100076,0.13649727480154
1000122,Residential_PV,1000122,OR_WA_BPA,150.228,1,,103039,0.165413534770632
1000123,Commercial_PV,1000123,CA_PGE_S,65.87,1,,103039,0.171502327162786
1000146,Residential_PV,1000146,CA_PGE_S,506.324,1,,100656,0.182472311400242
1000147,Commercial_PV,1000147,CA_PGE_S,229.2382,1,,100656,0.19126073432646
1000148,Residential_PV,1000148,CAN_ALB,744.185,1,,100710,0.189156772594581
1000149,Commercial_PV,1000149,NV_N,347.5262,1,,100710,0.197651145639674
1000156,Residential_PV,1000156,WY_NE,16.692,1,,100877,0.198028147038811
1000157,Commercial_PV,1000157,CA_PGE_S,8.3316,1,,100877,0.207017929528355
1000158,Residential_PV,1000158,UT_N,47.294,1,,101305,0.220800276222163
1000159,Commercial_PV,1000159,CA_PGE_S,22.5258,1,,101305,0.230519239507461
1000160,Residential_PV,1000160,UT_N,20.865,1,,100952,0.221903178592037
1000161,Commercial_PV,1000161,CA_PGE_S,10.239,1,,100952,0.231151095903461
1000162,Residential_PV,1000162,CAN_ALB,63.986,1,,100643,0.184747729521246
1000163,Commercial_PV,1000163,WY_NE,29.7585,1,,100643,0.193658533253421
1000164,Residential_PV,1000164,WY_NE,47.294,1,,101116,0.223918510703186
1000165,Commercial_PV,1000165,WY_NE,21.8988,1,,101116,0.233793797436856
1000170,Residential_PV,1000170,WY_NE,461.812,1,,101209,0.223116574223733
1000171,Commercial_PV,1000171,WY_NE,223.468,1,,101209,0.232550628983443
1000172,Residential_PV,1000172,UT_S,2562.222,1,,100792,0.201767690828828
1000173,Commercial_PV,1000173,WY_NE,1251.2976,1,,100792,0.210467617453788
1000198,Residential_PV,1000198,UT_S,7841.067,1,,100874,0.198313588779154
1000199,Commercial_PV,1000199,CO_DEN,3821.6078,1,,100874,0.20710207446575
1000282,Residential_PV,1000282,OR_PDX,132.145,1,,104056,0.183878804249471
1000283,Commercial_PV,1000283,CA_PGE_S,89.984,1,,104056,0.190717028596734
1000284,Residential_PV,1000284,CA_PGE_S,286.546,1,,102011,0.210444348821416
1000285,Commercial_PV,1000285,CA_PGE_S,140.832,1,,102011,0.220449214683285
1000286,Residential_PV,1000286,CA_PGE_S,75.114,1,,102951,0.207465173131073
1000287,Commercial_PV,1000287,WY_SW,36.43,1,,102951,0.21744398391416
1000288,Residential_PV,1000288,WA_SEATAC,6466.759,1,,102859,0.208496307375896
1000289,Commercial_PV,1000289,CA_IID,3088.915,1,,102859,0.218511490730203
1000298,Residential_PV,1000298,CA_IID,560.573,1,,100045,0.151675849012921
1000299,Commercial_PV,1000299,WY_SW,195.8385,1,,100045,0.157782678702388
1000300,Residential_PV,1000300,NM_N,23.647,1,,100179,0.157897875423337
1000301,Commercial_PV,1000301,WY_SE,7.524,1,,100179,0.164074477831486
1000302,Residential_PV,1000302,WY_SE,37.557,1,,100059,0.140639363231565
1000303,Commercial_PV,1000303,UT_N,11.6088,1,,100059,0.145839071934912
1000304,Residential_PV,1000304,WY_SE,146.055,1,,100050,0.135205556778073
1000305,Commercial_PV,1000305,AZ_NM_N,36.2497,1,,100050,0.140309581372211
1000306,Residential_PV,1000306,NV_N,25.038,1,,100012,0.135857094910186
