"Energy Prices by Sector and Source"
"http://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2017&region=1-9&cases=ref2017&start=2015&end=2050&f=A&linechart=ref2017-d120816a.3-3-AEO2017.1-9&map=ref2017-d120816a.4-3-AEO2017.1-9&ctype=linechart&sourcekey=0"
"Sun Feb 26 2017 16:19:17 GMT-0800 (PST)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Residential,"",""3-AEO2017.2.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Propane,"Energy Prices: Residential: Propane": Reference case,""3-AEO2017.3.ref2017-d120816a,"2016 $/MMBtu",19.169197,18.14432,18.309446,19.486088,19.521965,19.463192,19.477669,19.894545,20.163565,20.253122,20.211281,20.248318,20.43939,20.495325,20.518013,20.677078,21.088518,21.397169,21.456667,21.684856,21.789034,22.113525,22.26259,22.559284,22.979412,23.136072,23.389015,23.522127,23.713387,23.878086,23.956085,24.136032,24.32748,24.552126,24.66765,24.884501,"0.9%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,""3-AEO2017.4.ref2017-d120816a,"2016 $/MMBtu",19.262711,15.112387,18.12742,20.143669,21.310692,21.968328,22.44742,22.812775,23.147541,23.458578,23.939669,24.322033,24.575531,24.569738,24.831076,25.270985,25.679537,26.146179,26.113092,26.439417,26.585903,27.115734,27.200624,27.363945,27.706024,27.908136,27.968679,28.018518,28.093573,28.221287,28.321854,28.514688,28.784407,28.826206,29.014177,29.290783,"2.0%"
Natural Gas,"Energy Prices: Residential: Natural Gas": Reference case,""3-AEO2017.5.ref2017-d120816a,"2016 $/MMBtu",11.529643,10.94827,11.85993,11.779492,11.840181,11.748522,11.817258,11.8248,11.871612,11.977055,12.295646,12.550402,14.680089,14.823668,14.947639,14.978456,15.313076,15.364903,15.396556,15.471243,15.573754,15.670308,15.714008,15.736211,15.792204,15.829006,15.858445,15.941837,16.049099,16.178442,16.31505,16.415445,16.531078,16.728605,16.880787,17.020527,"1.3%"
Electricity,"Energy Prices: Residential: Electricity": Reference case,""3-AEO2017.6.ref2017-d120816a,"2016 $/MMBtu",42.549797,42.745327,42.912651,42.400406,42.41114,42.814842,43.466831,44.7435,47.05682,46.91526,47.571259,48.882992,49.229454,49.635036,49.730251,49.907429,50.44392,50.878143,51.187016,51.505646,51.859367,52.132504,52.444744,52.786877,53.135578,53.56382,54.05653,54.61874,55.183052,55.729633,56.431072,57.167286,57.984016,59.004398,60.062908,61.039066,"1.1%"
Commercial,"",""3-AEO2017.8.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Propane,"Energy Prices: Commercial: Propane": Reference case,""3-AEO2017.9.ref2017-d120816a,"2016 $/MMBtu",16.138397,15.315327,15.412938,16.34409,16.373581,16.327209,16.339939,16.680645,16.902925,16.981089,16.953495,16.98929,17.148769,17.199263,17.222935,17.356117,17.692612,17.946106,17.998707,18.187269,18.275808,18.542421,18.667448,18.912167,19.256119,19.388235,19.598322,19.711386,19.871975,20.011461,20.08074,20.232933,20.394627,20.583099,20.683516,20.86599,"0.9%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil": Reference case,""3-AEO2017.10.ref2017-d120816a,"2016 $/MMBtu",17.792418,13.958486,16.750183,18.249559,19.047518,19.343861,19.433908,19.558355,19.882776,20.160511,20.724628,21.094866,21.386568,21.422632,21.702309,22.173264,22.563982,23.011417,23.012245,23.32198,23.477385,23.973665,24.018547,24.158253,24.456348,24.618181,24.677698,24.665482,24.709959,24.780342,24.897644,25.067728,25.326775,25.377298,25.601522,25.845976,"1.8%"
Residual Fuel Oil,"Energy Prices: Commercial: Residual Fuel": Reference case,""3-AEO2017.11.ref2017-d120816a,"2016 $/MMBtu",10.75734,7.947031,10.310668,11.39582,11.816583,11.883921,11.781401,11.565806,11.934414,12.215469,12.615698,12.943501,13.07142,13.12968,13.378054,13.706194,14.03424,14.404155,14.390217,14.65388,14.788163,15.210591,15.292677,15.392271,15.596806,15.767769,15.944415,15.897738,15.939733,16.018177,16.110401,16.257013,16.468456,16.502373,16.658726,16.870508,"2.2%"
Natural Gas,"Energy Prices: Commercial: Natural Gas": Reference case,""3-AEO2017.12.ref2017-d120816a,"2016 $/MMBtu",8.688383,8.77984,9.98036,10.61285,11.128276,11.473453,11.518209,11.539571,11.59091,11.698866,12.019407,12.267299,14.270652,14.418455,14.549405,14.582635,14.890111,14.934489,14.95634,15.020841,15.112295,15.197248,15.229078,15.234439,15.277207,15.302244,15.321922,15.393315,15.488749,15.604412,15.72882,15.818354,15.922672,16.105045,16.245733,16.372759,"1.8%"
Electricity,"Energy Prices: Commercial: Electricity": Reference case,""3-AEO2017.13.ref2017-d120816a,"2016 $/MMBtu",40.936512,40.246159,39.795795,39.628311,39.382133,39.664974,39.900654,42.152119,43.308437,43.123127,44.279869,44.939278,45.045475,45.111721,44.82172,44.781036,44.835373,44.821659,44.675346,44.591354,44.524857,44.379684,44.232792,44.11488,43.9856,43.866177,43.786507,43.744675,43.680126,43.570312,43.557949,43.535782,43.531898,43.624146,43.723156,43.763638,"0.2%"
Industrial,"",""3-AEO2017.15.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Propane,"Energy Prices: Industrial: Propane": Reference case,""3-AEO2017.16.ref2017-d120816a,"2016 $/MMBtu",12.432567,11.486302,11.623864,12.693905,12.731725,12.68311,12.702192,13.092695,13.347389,13.436819,13.405002,13.445812,13.628523,13.686171,13.713145,13.865706,14.251221,14.541925,14.602118,14.818295,14.919645,15.225351,15.368734,15.648922,16.043821,16.195143,16.435875,16.565504,16.74954,16.909071,16.989075,17.163548,17.348976,17.565224,17.680386,17.889818,"1.3%"
Distillate Fuel Oil,"Energy Prices: Industrial: Distillate Fuel Oil": Reference case,""3-AEO2017.17.ref2017-d120816a,"2016 $/MMBtu",17.866863,14.01432,16.806017,18.386152,19.288986,19.691471,19.883133,20.133362,20.456095,20.728399,21.306063,21.674318,21.972254,22.015146,22.297815,22.773836,23.161646,23.605946,23.612307,23.919336,24.076195,24.566999,24.605356,24.741211,25.032133,25.187389,25.246742,25.2244,25.263887,25.324919,25.44495,25.611324,25.868629,25.920574,26.150713,26.389923,"1.9%"
