"Energy Prices by Sector and Source"
"http://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2017&region=1-0&cases=ref2017&start=2015&end=2050&f=A&linechart=ref2017-d120816a.3-3-AEO2017.1-0&map=ref2017-d120816a.4-3-AEO2017.1-0&ctype=map&sourcekey=0"
"Sun Feb 26 2017 16:12:52 GMT-0800 (PST)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Residential,"",""3-AEO2017.2.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Propane,"Energy Prices: Residential: Propane": Reference case,""3-AEO2017.3.ref2017-d120816a,"2016 $/MMBtu",17.184412,16.263573,16.397436,17.438732,17.475536,17.428226,17.4468,17.826811,18.074665,18.161694,18.130722,18.170431,18.348232,18.404335,18.430588,18.579037,18.954205,19.237103,19.295675,19.506044,19.604681,19.902164,20.041687,20.314373,20.698662,20.845921,21.080189,21.206345,21.385456,21.540733,21.618574,21.788351,21.968801,22.179237,22.291304,22.49511,"1.0%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,""3-AEO2017.4.ref2017-d120816a,"2016 $/MMBtu",19.634769,15.397496,18.464792,20.410494,21.563337,22.123236,22.575739,22.918959,23.252182,23.573334,24.051325,24.423056,24.622868,24.662119,24.884859,25.342878,25.752234,26.244236,26.165781,26.476198,26.685349,27.214535,27.290157,27.455814,27.824551,28.022886,28.067589,28.119337,28.181475,28.279947,28.373405,28.545261,28.884415,28.904381,29.091379,29.366758,"1.9%"
Natural Gas,"Energy Prices: Residential: Natural Gas": Reference case,""3-AEO2017.5.ref2017-d120816a,"2016 $/MMBtu",10.253384,9.906977,10.574829,10.586123,10.718263,10.856133,10.95848,11.034643,11.121727,11.258823,11.416968,11.564607,12.014927,12.158852,12.295285,12.373274,12.478399,12.531823,12.546276,12.642503,12.833148,12.934406,13.036543,13.095948,13.178403,13.184379,13.244925,13.347949,13.473885,13.595931,13.727216,13.841277,13.945392,14.099751,14.194308,14.341732,"1.1%"
Electricity,"Energy Prices: Residential: Electricity": Reference case,""3-AEO2017.6.ref2017-d120816a,"2016 $/MMBtu",37.601784,36.472187,36.573151,36.304783,36.830456,37.577583,37.926647,39.024101,39.613174,39.576019,40.10141,40.535049,40.599533,40.651196,40.736168,40.798012,40.75864,40.691265,40.582863,40.528629,40.635975,40.648232,40.642311,40.669216,40.683689,40.691776,40.692844,40.779121,40.916676,41.072399,41.239594,41.387787,41.561947,41.775227,41.959103,42.18185,"0.4%"
Commercial,"",""3-AEO2017.8.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Propane,"Energy Prices: Commercial: Propane": Reference case,""3-AEO2017.9.ref2017-d120816a,"2016 $/MMBtu",15.331513,14.538057,14.653405,15.550644,15.582355,15.541624,15.557618,15.885061,16.098639,16.173615,16.146866,16.181095,16.33427,16.382612,16.405161,16.533051,16.856535,17.100204,17.150597,17.331806,17.416782,17.67312,17.793219,18.028521,18.359369,18.486324,18.688353,18.79698,18.951372,19.085459,19.151951,19.298288,19.453796,19.635111,19.731628,19.90719,"0.9%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil": Reference case,""3-AEO2017.10.ref2017-d120816a,"2016 $/MMBtu",17.249289,13.521711,16.223455,17.783859,18.618309,18.905111,19.028109,19.187138,19.516356,19.808754,20.366598,20.727541,20.97406,21.036976,21.310904,21.774679,22.164431,22.617449,22.606552,22.912296,23.082394,23.586447,23.635334,23.749687,24.074053,24.222233,24.27376,24.251501,24.269955,24.320154,24.430609,24.604479,24.913937,24.940777,25.137478,25.39546,"1.9%"
Residual Fuel Oil,"Energy Prices: Commercial: Residual Fuel": Reference case,""3-AEO2017.11.ref2017-d120816a,"2016 $/MMBtu",7.284222,5.375137,6.99917,8.490479,9.244523,9.639741,9.870689,9.965075,10.330639,10.610407,11.006936,11.332155,11.461662,11.522861,11.77037,12.096164,12.421888,12.78862,12.779139,13.041836,13.177608,13.596054,13.68047,13.782143,13.986794,14.15868,14.335944,14.293571,14.338469,14.419138,14.513432,14.660881,14.872679,14.908896,15.066206,15.277892,"3.1%"
Natural Gas,"Energy Prices: Commercial: Natural Gas": Reference case,""3-AEO2017.12.ref2017-d120816a,"2016 $/MMBtu",8.027487,7.188942,7.884544,8.423895,9.036637,9.651396,9.760841,9.822009,9.892345,10.011601,10.143672,10.261351,10.642441,10.760195,10.872075,10.927891,11.001761,11.029101,11.01684,11.084704,11.245085,11.313262,11.380205,11.413391,11.464202,11.435534,11.466439,11.539823,11.634418,11.726623,11.82956,11.915136,11.9835,12.09708,12.155505,12.268317,"1.6%"
Electricity,"Energy Prices: Commercial: Electricity": Reference case,""3-AEO2017.13.ref2017-d120816a,"2016 $/MMBtu",31.625525,30.379494,30.731916,30.592075,31.013109,31.531366,31.745655,32.792923,33.129017,33.06332,33.608349,33.962215,34.051575,34.127949,34.181995,34.261181,34.209648,34.117405,33.987141,33.89172,33.961231,33.974224,33.906696,33.873699,33.82024,33.746807,33.638962,33.635647,33.679314,33.727818,33.77343,33.804199,33.850689,33.891464,33.913597,33.983944,"0.3%"
Industrial,"",""3-AEO2017.15.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Propane,"Energy Prices: Industrial: Propane": Reference case,""3-AEO2017.16.ref2017-d120816a,"2016 $/MMBtu",12.432567,11.486302,11.623864,12.693905,12.731726,12.68311,12.702192,13.092693,13.347389,13.436818,13.405002,13.445813,13.628523,13.686172,13.713145,13.865707,14.251221,14.541924,14.602119,14.818296,14.919645,15.225351,15.368735,15.648922,16.043821,16.195145,16.435875,16.565502,16.74954,16.909071,16.989077,17.163549,17.348974,17.565222,17.680386,17.88982,"1.3%"
Distillate Fuel Oil,"Energy Prices: Industrial: Distillate Fuel Oil": Reference case,""3-AEO2017.17.ref2017-d120816a,"2016 $/MMBtu",17.254925,13.528607,16.23147,17.860735,18.77298,19.145321,19.340759,19.608435,19.93898,20.227049,20.802374,21.167858,21.423479,21.49719,21.782495,22.250616,22.640028,23.088877,23.092621,23.400442,23.565115,24.067848,24.115,24.226227,24.541077,24.685961,24.742397,24.713196,24.728901,24.773605,24.890703,25.065605,25.367104,25.402533,25.603401,25.860102,"1.9%"
Residual Fuel Oil,"Energy Prices: Industrial: Residual Fuel Oil": Reference case,""3-AEO2017.18.ref2017-d120816a,"2016 $/MMBtu",7.012877,5.152251,6.743593,8.467139,9.716954,10.610882,11.314981,11.899247,12.264726,12.548619,12.952366,13.287874,13.420078,13.479761,13.728095,14.054952,14.38307,14.749321,14.731542,14.99033,15.121952,15.538843,15.618747,15.715231,15.918995,16.08857,16.26404,16.217907,16.261112,16.338989,16.431501,16.577496,16.790157,16.827093,16.982973,17.195143,"3.6%"
Natural Gas,"Energy Prices: Industrial: Natural Gas": Reference case,""3-AEO2017.19.ref2017-d120816a,"2016 $/MMBtu",3.733873,3.499452,4.08165,4.463335,4.892812,5.317353,5.322992,5.264147,5.276204,5.366693,5.484766,5.606857,5.704663,5.80163,5.883106,5.903458,5.928794,5.913937,5.855205,5.853712,5.944662,5.948611,5.959501,5.953694,5.9763,5.931029,5.935826,5.992979,6.080459,6.140417,6.219264,6.27954,6.345654,6.461967,6.499812,6.582108,"1.9%"
Metallurgical Coal,"Energy Prices: Industrial: Metallurgical Coal": Reference case,""3-AEO2017.20.ref2017-d120816a,"2016 $/MMBtu",5.432101,5.641108,5.793669,5.884714,5.994853,6.128782,6.216723,6.294888,6.380916,6.474765,6.579695,6.70039,6.803322,6.909495,6.999988,7.097431,7.151695,7.2125,7.258253,7.303838,7.355175,7.414402,7.457453,7.487201,7.466303,7.399225,7.332831,7.315969,7.299148,7.281168,7.262234,7.237094,7.214451,7.189675,7.16036,7.134016,"0.7%"
Other Industrial Coal,"Energy Prices: Industrial: Other Industrial Coal": Reference case,""3-AEO2017.21.ref2017-d120816a,"2016 $/MMBtu",3.404708,3.340508,3.347758,3.396603,3.422524,3.451195,3.455649,3.462835,3.462186,3.459815,3.461059,3.463057,3.453495,3.451116,3.445263,3.449376,3.446886,3.441498,3.436069,3.432972,3.429151,3.43291,3.426531,3.428482,3.433878,3.446824,3.455554,3.458084,3.464379,3.47352,3.481369,3.49251,3.505877,3.519158,3.533593,3.55106,"0.2%"
Coal to Liquids,"Energy Prices: Industrial: Coal to Liquids": Reference case,""3-AEO2017.22.ref2017-d120816a,"2016 $/MMBtu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","- -"
