"Energy Prices by Sector and Source"
"http://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2017&region=1-7&cases=ref2017&start=2015&end=2050&f=A&linechart=ref2017-d120816a.3-3-AEO2017.1-7&map=ref2017-d120816a.4-3-AEO2017.1-7&ctype=map&sourcekey=0"
"Sun Feb 26 2017 16:17:21 GMT-0800 (PST)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
Residential,"",""3-AEO2017.2.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Propane,"Energy Prices: Residential: Propane": Reference case,""3-AEO2017.3.ref2017-d120816a,"2016 $/MMBtu",17.774294,16.823992,16.977108,18.068127,18.101395,18.046898,18.06032,18.446859,18.696304,18.779343,18.740549,18.774889,18.952059,19.003923,19.02496,19.172449,19.553951,19.840141,19.895309,20.106895,20.203489,20.50437,20.642591,20.917692,21.307247,21.452509,21.687048,21.810471,21.987814,22.140528,22.212849,22.379704,22.557222,22.765518,22.872637,23.073708,"0.9%"
Distillate Fuel Oil,"Energy Prices: Residential: Distillate Fuel Oil": Reference case,""3-AEO2017.4.ref2017-d120816a,"2016 $/MMBtu",17.680748,13.865429,16.638514,18.662268,19.806688,20.416161,20.885265,21.240969,21.575735,21.886789,22.367876,22.750242,22.95763,22.997946,23.259283,23.699192,24.107744,24.574387,24.5413,24.867624,25.014114,25.543945,25.628838,25.792158,26.134237,26.336351,26.396898,26.446735,26.521793,26.615023,26.737484,26.910622,27.212639,27.25444,27.440355,27.702871,"2.1%"
Natural Gas,"Energy Prices: Residential: Natural Gas": Reference case,""3-AEO2017.5.ref2017-d120816a,"2016 $/MMBtu",10.588407,10.073526,10.609773,10.607358,10.97367,11.391918,11.270394,11.152928,11.187237,11.318093,11.437325,11.64146,11.815187,11.968017,12.116044,12.211999,12.360928,12.408983,12.400537,12.442293,12.589746,12.632887,12.684927,12.736443,12.828307,12.854334,12.920889,13.055773,13.227802,13.337987,13.481208,13.602421,13.746856,13.94373,14.028069,14.157918,"1.0%"
Electricity,"Energy Prices: Residential: Electricity": Reference case,""3-AEO2017.6.ref2017-d120816a,"2016 $/MMBtu",32.620255,29.289036,29.277464,27.972944,28.811996,30.3375,30.712637,31.594063,31.611822,31.425833,32.028877,32.402481,32.539116,32.62674,32.860851,32.906956,32.922535,32.441811,32.173817,31.913601,31.862411,31.957121,31.908367,31.906755,32.003002,31.984184,31.983553,32.012852,32.226078,32.504032,32.744267,32.977406,33.256409,33.615883,33.927155,34.024097,"0.4%"
Commercial,"",""3-AEO2017.8.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Propane,"Energy Prices: Commercial: Propane": Reference case,""3-AEO2017.9.ref2017-d120816a,"2016 $/MMBtu",15.065786,14.297421,14.388544,15.257808,15.285338,15.24205,15.253937,15.571996,15.779502,15.85247,15.82671,15.860126,16.009007,16.056143,16.078245,16.202574,16.516705,16.753347,16.802456,16.978485,17.061138,17.310032,17.42675,17.655203,17.976295,18.099628,18.295755,18.401304,18.55122,18.681435,18.746109,18.888186,19.039133,19.21508,19.308821,19.479168,"0.9%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil": Reference case,""3-AEO2017.10.ref2017-d120816a,"2016 $/MMBtu",16.824629,13.195422,15.838229,17.276167,17.963472,18.102802,18.074364,18.099976,18.428202,18.717564,19.281334,19.655037,19.875856,19.970531,20.255413,20.716898,21.109518,21.561172,21.561283,21.87289,22.030806,22.542233,22.597717,22.711456,23.022205,23.174768,23.232933,23.217066,23.233923,23.276802,23.395107,23.567806,23.864138,23.907084,24.089083,24.34897,"1.8%"
Residual Fuel Oil,"Energy Prices: Commercial: Residual Fuel": Reference case,""3-AEO2017.11.ref2017-d120816a,"2016 $/MMBtu",7.016466,5.192556,6.737296,8.764181,10.126676,11.135747,11.974958,12.701097,13.069703,13.350759,13.75099,14.078791,14.206709,14.264969,14.513343,14.841486,15.16953,15.539445,15.525507,15.78917,15.923453,16.345879,16.427969,16.527563,16.732096,16.903059,17.079704,17.033028,17.075022,17.153465,17.245693,17.392303,17.603746,17.637665,17.794016,18.005796,"3.7%"
Natural Gas,"Energy Prices: Commercial: Natural Gas": Reference case,""3-AEO2017.12.ref2017-d120816a,"2016 $/MMBtu",7.470984,6.77627,7.624883,8.218582,9.028884,9.850133,9.773746,9.681411,9.727506,9.871906,10.006927,10.199404,10.358138,10.502326,10.636931,10.716914,10.837233,10.870996,10.845046,10.867411,10.987104,11.010365,11.04054,11.071325,11.142502,11.148536,11.195276,11.306178,11.452495,11.540686,11.658255,11.754692,11.873453,12.040542,12.102644,12.207613,"1.7%"
Electricity,"Energy Prices: Commercial: Electricity": Reference case,""3-AEO2017.13.ref2017-d120816a,"2016 $/MMBtu",24.417175,24.740896,25.326536,24.679483,25.549318,27.054064,27.422197,28.299818,28.320967,28.13666,28.78767,29.234426,29.415918,29.554802,29.842682,29.935553,29.897913,29.412531,29.169485,28.937773,28.908899,29.044159,29.003744,29.012152,29.125046,29.065691,29.056412,29.065556,29.261881,29.508745,29.700115,29.871265,30.067513,30.324108,30.53194,30.492495,"0.6%"
Industrial,"",""3-AEO2017.15.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Propane,"Energy Prices: Industrial: Propane": Reference case,""3-AEO2017.16.ref2017-d120816a,"2016 $/MMBtu",12.432567,11.486302,11.623864,12.693905,12.731725,12.68311,12.702192,13.092695,13.347389,13.436819,13.405002,13.445812,13.628523,13.686171,13.713145,13.865706,14.251221,14.541925,14.602118,14.818295,14.919645,15.225351,15.368734,15.648922,16.043821,16.195143,16.435875,16.565504,16.74954,16.909071,16.989075,17.163548,17.348976,17.565224,17.680386,17.889818,"1.3%"
Distillate Fuel Oil,"Energy Prices: Industrial: Distillate Fuel Oil": Reference case,""3-AEO2017.17.ref2017-d120816a,"2016 $/MMBtu",16.936296,13.269867,15.931286,17.552597,18.444273,18.785845,18.955187,19.205889,19.533049,19.818871,20.39613,20.768421,20.99143,21.094975,21.383698,21.848703,22.238726,22.687931,22.693459,23.002663,23.162441,23.670868,23.721556,23.827206,24.132843,24.277323,24.3351,24.308512,24.315874,24.350538,24.468166,24.640795,24.936199,24.97933,25.16069,25.420147,"1.9%"
