load_area,primary_nerc_subregion,primary_state,economic_multiplier,rps_compliance_entity
AZ_APS_E,AZNMSNV,AZ,0.94,AZ_APS_E
AZ_APS_N,AZNMSNV,AZ,0.94,AZ_APS
AZ_APS_SW,AZNMSNV,AZ,0.94,AZ_APS
AZ_NM_N,AZNMSNV,NM,0.96,AZ_NM_N
AZ_NW,AZNMSNV,AZ,0.96,AZ_NW
AZ_PHX,AZNMSNV,AZ,0.94,AZ_PHX
AZ_SE,AZNMSNV,AZ,0.94,AZ_SE
CA_IID,CA,CA,1.12,CA_IID
CA_LADWP,CA,CA,1.12,CA_LADWP
CAN_ALB,NWPP_CAN,AB,1.05,CAN_ALB
CAN_BC,NWPP_CAN,BC,1.05,CAN_BC
CA_PGE_BAY,CA,CA,1.25,CA_PGE
CA_PGE_CEN,CA,CA,1.09,CA_PGE
CA_PGE_N,CA,CA,1.09,CA_PGE
CA_PGE_S,CA,CA,1.05,CA_PGE
CA_SCE_CEN,CA,CA,1.12,CA_SCE
CA_SCE_S,CA,CA,1.12,CA_SCE
CA_SCE_SE,CA,CA,1.12,CA_SCE
CA_SCE_VLY,CA,CA,1.05,CA_SCE
CA_SDGE,CA,CA,1.12,CA_SDGE
CA_SMUD,CA,CA,1.09,CA_SMUD
CO_DEN,RMPA,CO,0.94,CO_PSC
CO_E,RMPA,CO,0.94,CO_E
CO_NW,RMPA,CO,0.94,CO_PSC
CO_SW,RMPA,CO,0.94,CO_SW
ID_E,NWPP,ID,0.95,ID_E
ID_S_OR_E,NWPP,ID,0.95,ID_S_OR_E
MEX_BAJA,MX,BCN,0.94,MEX_BAJA
MT_NE,NWPP,MT,0.95,MT_NE
MT_NW,NWPP,MT,0.96,MT_NW
MT_SE,NWPP,MT,0.95,MT_SE
MT_SW,NWPP,MT,0.95,MT_SW
NM_N,AZNMSNV,NM,0.96,NM_N
NM_S_TX_EPE,AZNMSNV,TX,0.96,NM_S_TX_EPE
NV_N,NWPP,NV,1.05,NV_ENERGY
NV_S,AZNMSNV,NV,1.05,NV_ENERGY
OR_E,NWPP,OR,1.04,OR_E
OR_PDX,NWPP,OR,1.04,OR_PDX
OR_W,NWPP,OR,1.04,OR_W
OR_WA_BPA,NWPP,WA,1.04,OR_WA_BPA
UT_N,NWPP,UT,0.95,UT_N
UT_S,NWPP,UT,0.95,UT_S
WA_ID_AVA,NWPP,WA,0.96,WA_ID_AVA
WA_N_CEN,NWPP,WA,1.05,WA_N_CEN
WA_SEATAC,NWPP,WA,1.05,WA_SEATAC
WA_W,NWPP,WA,1.05,WA_W
WY_NE,RMPA,SD,0.90,WY_NE
WY_NW,NWPP,WY,0.98,WY_NW
WY_SE,RMPA,WY,0.98,WY_SE
WY_SW,NWPP,WY,0.95,WY_SW
