transmission_line_id,load_area_start,load_area_end,existing_transfer_capacity_mw,transmission_length_km,transmission_efficiency,new_transmission_builds_allowed,first_line_direction,is_dc_line,transmission_derating_factor,terrain_multiplier
374,AZ_APS_E,AZ_APS_N,500,374.127131818543,0.976752817805358,1,1,0,0.59,1.123
355,AZ_APS_E,AZ_NM_N,3050,255.786216033525,0.984106181398537,1,1,0,0.59,0.986
363,AZ_APS_E,AZ_PHX,3000,260.672180238579,0.983802581658205,1,1,0,0.59,1.294
384,AZ_APS_E,AZ_SE,6000,307.176888707973,0.980912913043577,1,1,0,0.59,1.257
391,AZ_APS_E,NM_S_TX_EPE,750,645.297989260515,0.959903041906484,1,1,0,0.59,0.901
1527,AZ_APS_N,AZ_APS_E,500,374.127131818543,0.976752817805358,1,0,0,0.59,1.123
1536,AZ_APS_N,AZ_APS_SW,3450,371.839097531316,0.976894989664651,1,0,0,0.59,1.014
1532,AZ_APS_N,AZ_NM_N,1900,289.658731672981,0.982001440855841,1,0,0,0.59,0.851
1566,AZ_APS_N,AZ_NW,850,510.939718039563,0.968251677824035,1,1,0,0.59,0.930
1540,AZ_APS_N,AZ_PHX,1950,381.010816142502,0.976325085491821,1,0,0,0.59,1.044
1544,AZ_APS_N,NV_S,3000,369.84583424947,0.97701884530284,0,0,0,0.59,0.957
1556,AZ_APS_N,UT_S,400,861.023929456511,0.946498453440873,1,1,0,0.59,0.893
815,AZ_APS_SW,AZ_APS_N,3450,371.839097531316,0.976894989664651,1,1,0,0.59,1.014
831,AZ_APS_SW,AZ_NW,750,322.994082548482,0.979930078184125,1,1,0,0.59,0.803
804,AZ_APS_SW,AZ_PHX,5900,107.118360164281,0.993343973683421,1,1,0,0.59,0.765
825,AZ_APS_SW,AZ_SE,0,258.668804302018,0.983927065667625,1,1,0,0.59,0.711
801,AZ_APS_SW,CA_IID,1975,307.897548272137,0.980868133334319,1,1,0,0.59,0.716
814,AZ_APS_SW,CA_SCE_S,1500,529.7570712623,0.967082421703359,0,1,0,0.59,0.825
833,AZ_APS_SW,CA_SCE_SE,625,387.999525390483,0.97589082723206,1,1,0,0.59,0.714
809,AZ_APS_SW,MEX_BAJA,50,314.757120322485,0.980441899288003,1,1,0,0.59,0.695
808,AZ_APS_SW,NV_S,1500,464.087966338574,0.97116291070532,0,1,0,0.59,0.820
596,AZ_NM_N,AZ_APS_E,3050,255.786216033525,0.984106181398537,1,0,0,0.59,0.986
619,AZ_NM_N,AZ_APS_N,1900,289.658731672981,0.982001440855841,1,1,0,0.59,0.851
620,AZ_NM_N,CO_SW,1250,264.817917221901,0.983544977505002,1,1,0,0.59,1.306
634,AZ_NM_N,NM_N,2950,251.530720253276,0.984370605647191,1,1,0,0.59,0.736
636,AZ_NM_N,NM_S_TX_EPE,0,625.807727474455,0.961114110626786,1,1,0,0.59,0.783
625,AZ_NM_N,UT_S,750,571.36519778353,0.964497012585033,1,1,0,0.59,0.914
2335,AZ_NW,AZ_APS_N,850,510.939718039563,0.968251677824035,1,0,0,0.59,0.930
2320,AZ_NW,AZ_APS_SW,750,322.994082548482,0.979930078184125,1,0,0,0.59,0.803
